carId,seriesId,seriesName,seasonYear,teamId,teamName,entrant,carNumber,class,chassis,engine,tireSupplier,driverCount,sessionCount,qualifyingRows,resultRows,lapRows,bryceObservedRows,bryceObserved,provenanceRefCount,sourceState,sourceHash
car_froc_2024_101,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,101,Formula Regional Oceania,Toyota FT60,,,1,12,0,12,0,0,no,12,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_13,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,13,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_14,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,14,Formula Regional Oceania,Toyota FT60,,,2,50,0,50,0,0,no,50,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_15,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,15,Formula Regional Oceania,Toyota FT60,,,2,48,0,48,0,0,no,48,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_16,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,16,Formula Regional Oceania,Toyota FT60,,,1,50,0,50,0,0,no,50,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_17,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,17,Formula Regional Oceania,Toyota FT60,,,2,10,0,10,0,0,no,10,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_19,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,19,Formula Regional Oceania,Toyota FT60,,,1,39,0,39,0,0,no,39,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_20,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,20,Formula Regional Oceania,Toyota FT60,,,1,48,0,48,0,0,no,48,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_22,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,22,Formula Regional Oceania,Toyota FT60,,,1,50,0,50,0,0,no,50,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_23,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,23,Formula Regional Oceania,Toyota FT60,,,2,51,0,51,0,0,no,51,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_27,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,27,Formula Regional Oceania,Toyota FT60,,,1,20,0,20,0,20,yes,20,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_3,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,3,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_31,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,31,Formula Regional Oceania,Toyota FT60,,,1,48,0,48,0,0,no,48,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_32,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,32,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_39,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,39,Formula Regional Oceania,Toyota FT60,,,1,47,0,47,0,0,no,47,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_4,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,4,Formula Regional Oceania,Toyota FT60,,,2,50,0,50,0,0,no,50,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_41,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,41,Formula Regional Oceania,Toyota FT60,,,1,51,0,51,0,0,no,51,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_48,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,48,Formula Regional Oceania,Toyota FT60,,,1,38,0,38,0,0,no,38,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_5,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,5,Formula Regional Oceania,Toyota FT60,,,2,49,0,49,0,0,no,49,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_51,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,51,Formula Regional Oceania,Toyota FT60,,,1,21,0,21,0,0,no,21,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_6,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,6,Formula Regional Oceania,Toyota FT60,,,1,29,0,29,0,0,no,29,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_69,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,69,Formula Regional Oceania,Toyota FT60,,,1,17,0,17,0,0,no,17,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_7,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,7,Formula Regional Oceania,Toyota FT60,,,1,29,0,29,0,0,no,29,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_71,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,71,Formula Regional Oceania,Toyota FT60,,,1,19,0,19,0,0,no,19,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_739,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,739,Formula Regional Oceania,Toyota FT60,,,1,48,0,48,0,0,no,48,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_77,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,77,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_8,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,8,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_87,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,87,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_88,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,88,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_froc_2024_9,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,,,,9,Formula Regional Oceania,Toyota FT60,,,1,1,0,1,0,0,no,1,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_bvm_racing_84,series_euroformula_open,Euroformula Open,2023,team_bvm_racing,BVM Racing,BVM Racing,84,Euroformula Open,Dallara F320,Spiess,Hankook,1,28,7,21,0,0,no,28,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_15,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,15,Euroformula Open,Dallara F320,Spiess,Hankook,1,8,2,6,0,0,no,8,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_20,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,20,Euroformula Open,Dallara F320,Spiess,Hankook,1,4,1,3,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_21,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,21,Euroformula Open,Dallara F320,Spiess,Hankook,1,8,2,6,0,0,no,8,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_26,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,26,R,Dallara F320,Spiess,Hankook,1,4,1,3,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_39,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,39,R,Dallara F320,Spiess,Hankook,1,4,1,3,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_5,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,5,Euroformula Open,Dallara F320,Spiess,Hankook,1,12,3,9,0,0,no,12,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_69,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,69,Euroformula Open,Dallara F320,Spiess,Hankook,1,8,2,6,0,0,no,8,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_77,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,77,Euroformula Open,Dallara F320,Spiess,Hankook,1,4,1,3,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_cryptotower_racing_team_99,series_euroformula_open,Euroformula Open,2023,team_cryptotower_racing_team,CryptoTower Racing Team,CryptoTower Racing Team,99,Euroformula Open,Dallara F320,Spiess,Hankook,1,4,1,3,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_effective_racing_7,series_euroformula_open,Euroformula Open,2023,team_effective_racing,Effective Racing,Effective Racing,7,GC,Dallara F320,HWA,Hankook,1,18,5,13,0,0,no,18,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_nv_racing_212,series_euroformula_open,Euroformula Open,2023,team_nv_racing,NV Racing,NV Racing,212,GC,Dallara F320,Spiess,Hankook,1,13,4,9,0,0,no,13,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_noda_racing_10,series_euroformula_open,Euroformula Open,2023,team_noda_racing,Noda Racing,Noda Racing,10,R,Dallara F320,Spiess,Hankook,1,16,4,12,0,0,no,16,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_team_motopark_11,series_euroformula_open,Euroformula Open,2023,team_team_motopark,Team Motopark,Team Motopark,11,Euroformula Open,Dallara F320,Spiess,Hankook,1,8,2,6,0,0,no,8,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_team_motopark_19,series_euroformula_open,Euroformula Open,2023,team_team_motopark,Team Motopark,Team Motopark,19,Euroformula Open,Dallara F320,Spiess,Hankook,1,28,7,21,0,0,no,28,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_team_motopark_23,series_euroformula_open,Euroformula Open,2023,team_team_motopark,Team Motopark,Team Motopark,23,Euroformula Open,Dallara F320,Spiess,Hankook,1,24,6,18,0,24,yes,24,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_team_motopark_26,series_euroformula_open,Euroformula Open,2023,team_team_motopark,Team Motopark,Team Motopark,26,R,Dallara F320,Spiess,Hankook,1,20,5,15,0,0,no,20,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_euroformula_2023_team_motopark_73,series_euroformula_open,Euroformula Open,2023,team_team_motopark,Team Motopark,Team Motopark,73,Euroformula Open,Dallara F320,Spiess,Hankook,1,28,7,21,0,0,no,28,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_greg_peluso_03,series_frp_f1600,F1600 Championship Series,2019,,,Heritage Security & Service,03,F16M,Van Diemen,Honda,,1,4,0,4,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_matt_gidman_04,series_frp_f1600,F1600 Championship Series,2019,,,Fortress Racing,04,F16,Van Diemen,Honda,,1,6,0,6,0,0,no,6,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_john_robinsonii_05,series_frp_f1600,F1600 Championship Series,2019,,,Lee Racing,05,F16M,SwiftDB6,Honda,,1,4,0,4,0,0,no,4,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_burton_august_07,series_frp_f1600,F1600 Championship Series,2019,,,Rice Race Prep,07,F16,Mygale,Honda,,1,6,0,6,0,0,no,6,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_burton_kyle_august_07,series_frp_f1600,F1600 Championship Series,2019,,,Monro,07,F16,Mygale,Honda,,1,31,0,31,0,0,no,31,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_christopher_kierce_11,series_frp_f1600,F1600 Championship Series,2019,,,ATC Technologies Inc.,11,F16,Van Diemen,Honda,,1,6,0,6,0,0,no,6,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
car_frp_f1600_2019_driver_steve_roux_11,series_frp_f1600,F1600 Championship Series,2019,,,Steve Roux Racing,11,F16,Wyvern,Honda,,1,6,0,6,0,0,no,6,canonical_car_dimension_with_entrant_and_observed_usage_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
