driverId,driverName,nationality,hometown,seriesIds,seasonYears,teamCount,carCount,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,bestObservedFinish,medianObservedFinish,sharedRaceSessionWithBryceCount,sameTeamAsBryceEventCount,cohortLabel,provenanceRefCount,sourceState,sourceHash
driver_1,1,,,series_formula_ford,2020,0,1,1,1,0,1,0,1,1.0,1,0,shared_race_field,1,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_aaron_telitz,Aaron Telitz,United States,"Birchwood, WI",series_imsa_weathertech,2025,1,1,1,1,0,1,188,35,35.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_adam_adelson,Adam Adelson,United States,"Los Angeles, CA",series_imsa_weathertech,2025,1,1,1,1,0,1,162,26,26.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_adam_fathers,Adam FATHERS,,,series_formula_ford,2020,0,2,2,7,0,7,0,9,11.0,3,0,shared_race_field,7,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_adam_higgins,Adam HIGGINS,,,series_formula_ford,2020,0,1,1,5,0,5,0,3,8.0,0,0,observed_competitor_or_codriver,5,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_adrian_campfield,Adrian CAMPFIELD,,,series_formula_ford,2020,0,1,1,3,0,3,0,8,11.0,2,0,shared_race_field,3,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_albert_costa,Albert Costa,ESP,Andorra,series_imsa_weathertech,2025,1,1,1,1,0,1,170,21,21.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_alec_udell,Alec Udell,United States,"Austin, TX",series_imsa_weathertech,2025,1,1,1,1,0,1,60,50,50.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_alessandro_pier_guidi,Alessandro Pier Guidi,ITA,"Tortona, Italy",series_imsa_weathertech,2025,1,1,1,1,0,1,106,46,46.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_alessandro_de_tullio,Alessandro de Tullio,,,series_indy_nxt,2026,1,1,8,32,15,32,293,1,4.0,8,0,shared_race_field,32,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
