qualifyingId,sessionId,sessionName,sessionType,eventId,eventName,seasonYear,seriesId,seriesName,trackId,trackName,trackType,trackArchetype,driverId,driverName,teamId,teamName,carId,carNumber,position,fieldSize,qualifyingPercentile,bestLapTimeSeconds,gapToPoleSeconds,laps,sessionSegment,penaltyApplied,gridPositionResulting,linkedRaceResultCount,linkedRaceSessionIds,bestRaceSessionId,bestRaceFinishPosition,bestRaceStartPosition,bestStartToFinishDelta,qualifyToBestRaceFinishDelta,bestRaceFieldSize,bestRaceFinishPercentile,conversionSourceState,conversionCaveat,provenanceRefCount,sourceHash
qualifying_euroformula_2023_01-portimao-qualifying_driver_bryce_aron,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_bryce_aron,Bryce Aron,team_team_motopark,Team Motopark,car_euroformula_2023_team_motopark_23,23,5,10,0.5556,97.765,0.571,11,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_cian_shields,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_cian_shields,Cian Shields,team_team_motopark,Team Motopark,car_euroformula_2023_team_motopark_73,73,6,10,0.4444,98.054,0.86,14,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_enzo_trulli,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_enzo_trulli,Enzo Trulli,team_cryptotower_racing_team,CryptoTower Racing Team,car_euroformula_2023_cryptotower_racing_team_15,15,1,10,1.0,97.194,,14,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_francesco_simonazzi,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_francesco_simonazzi,Francesco Simonazzi,team_bvm_racing,BVM Racing,car_euroformula_2023_bvm_racing_84,84,3,10,0.7778,97.71,0.516,15,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_jakob_bergmeister,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_jakob_bergmeister,Jakob Bergmeister,team_team_motopark,Team Motopark,car_euroformula_2023_team_motopark_26,26,7,10,0.3333,98.52,1.326,13,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_juju_noda,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_juju_noda,Juju Noda,team_noda_racing,Noda Racing,car_euroformula_2023_noda_racing_10,10,8,10,0.2222,98.917,1.723,14,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_noel_leon,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_noel_leon,Noel Leon,team_team_motopark,Team Motopark,car_euroformula_2023_team_motopark_19,19,4,10,0.6667,97.76,0.566,11,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_paolo_brajnik,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_paolo_brajnik,Paolo Brajnik,team_nv_racing,NV Racing,car_euroformula_2023_nv_racing_212,212,9,10,0.1111,100.035,2.841,16,,no,,2,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_tim_tramnitz,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_tim_tramnitz,Tim Tramnitz,team_cryptotower_racing_team,CryptoTower Racing Team,car_euroformula_2023_cryptotower_racing_team_77,77,2,10,0.8889,97.472,0.278,12,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
qualifying_euroformula_2023_01-portimao-qualifying_driver_vladimir_netusil,session_euroformula_2023_01-portimao-qualifying,Qualifying,qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,2023,series_euroformula_open,Euroformula Open,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,road,road_long_high_corner_count,driver_vladimir_netusil,Vladimir Netusil,team_effective_racing,Effective Racing,car_euroformula_2023_effective_racing_7,7,10,10,0.0,38256.168,,1,,no,,3,session_euroformula_2023_01-portimao-race-1;session_euroformula_2023_01-portimao-race-2;session_euroformula_2023_01-portimao-race-3,,,,,,,,same_event_multi_race_result_ambiguous,multiple same-event race results; direct qualifying conversion ambiguous,1,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
