sessionId,eventId,eventName,seriesId,seriesName,seasonYear,trackId,trackName,sessionName,fieldSize,positionMin,positionMax,sameEventRaceJoinRows,ambiguousSameEventRaceJoinRows,sameEventRaceJoinShare,medianQualifyToBestRaceFinishDelta,bryceQualifyingRows,bryceBestQualifyingPosition,sourceHash
session_euroformula_2023_01-portimao-qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,series_euroformula_open,Euroformula Open,2023,track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,Qualifying,10,1,10,0,10,0.0,,1,5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_02-spa_francorchamps-qualifying,event_euroformula_2023_r2_spa_francorchamps,Euroformula Open 2023 Round 2 - Spa-Francorchamps,series_euroformula_open,Euroformula Open,2023,track_circuit_de_spa_francorchamps,Circuit de Spa-Francorchamps,Qualifying,10,1,10,0,10,0.0,,1,5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_03-hungaroring-qualifying,event_euroformula_2023_r3_hungaroring,Euroformula Open 2023 Round 3 - Hungaroring,series_euroformula_open,Euroformula Open,2023,track_hungaroring,Hungaroring,Qualifying,10,1,10,1,9,0.1,,1,7,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_04-paul_ricard-qualifying,event_euroformula_2023_r4_paul_ricard,Euroformula Open 2023 Round 4 - Paul Ricard,series_euroformula_open,Euroformula Open,2023,track_circuit_paul_ricard,Circuit Paul Ricard,Qualifying,7,1,8,0,7,0.0,,1,3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_05-red_bull_ring-qualifying,event_euroformula_2023_r5_red_bull_ring,Euroformula Open 2023 Round 5 - Red Bull Ring,series_euroformula_open,Euroformula Open,2023,track_red_bull_ring,Red Bull Ring,Qualifying,9,1,9,0,9,0.0,,1,5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_06-monza-qualifying,event_euroformula_2023_r6_monza,Euroformula Open 2023 Round 6 - Monza,series_euroformula_open,Euroformula Open,2023,track_autodromo_nazionale_monza,Autodromo Nazionale Monza,Qualifying,7,1,7,0,7,0.0,,1,4,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_07-barcelona-qualifying,event_euroformula_2023_r7_barcelona,Euroformula Open 2023 Round 7 - Barcelona,series_euroformula_open,Euroformula Open,2023,track_circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,Qualifying,8,1,8,1,7,0.125,,0,,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212005_qualifying,event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,series_gb3,GB3 Championship,2021,track_brands_hatch_gp,Brands Hatch GP,Qualifying,19,1,19,0,19,0.0,,1,12,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212005_qualifying_2nd_fastest,event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,series_gb3,GB3 Championship,2021,track_brands_hatch_gp,Brands Hatch GP,Qualifying 2nd Fastest,19,1,19,0,19,0.0,,1,12,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212505_qualifying,event_gb3_2021_r2_silverstone,GB3 2021 Round 2 - Silverstone,series_gb3,GB3 Championship,2021,track_silverstone_gp,Silverstone GP,Qualifying,16,1,16,0,16,0.0,,1,12,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
