resultId,sessionId,sessionName,sessionType,raceNumber,eventId,eventName,seasonYear,seriesId,seriesName,trackId,trackName,trackType,driverId,driverName,teamId,teamName,carId,carNumber,class,resultGrain,gridPosition,startPosition,finishPosition,classifiedPosition,finishPercentile,finishPercentileSourceState,fieldSize,classFieldSize,classFinishPosition,classFinishPercentile,startToFinishDelta,lapsCompleted,lapsScheduled,lapsLed,points,status,statusRaw,bestLapRank,pitStops,penaltyRefCount,incidentRefCount,provenanceRefCount,sourceResultId,sourceState,sourceHash
result_froc_2024_r1_practice_1_driver_nikita_johnson,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_nikita_johnson,Nikita Johnson,,,car_froc_2024_17,17,Formula Regional Oceania,driver,,,1,1,1,finish_percentile_bounded_0_1,17,,,,,0,,,,running,1,,,0,0,1,1:1-2024-1-Practice1-tab:17,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_arvid_lindblad,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_arvid_lindblad,Arvid Lindblad,,,car_froc_2024_4,4,Formula Regional Oceania,driver,,,2,2,0.9412,finish_percentile_bounded_0_1,17,,,,,0,,,,running,2,,,0,0,1,1:1-2024-1-Practice1-tab:4,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_michael_shin,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_michael_shin,Michael Shin,,,car_froc_2024_23,23,Formula Regional Oceania,driver,,,3,3,0.8824,finish_percentile_bounded_0_1,17,,,,,0,,,,running,3,,,0,0,1,1:1-2024-1-Practice1-tab:23,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_will_brown,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_will_brown,Will Brown,,,car_froc_2024_87,87,Formula Regional Oceania,driver,,,4,4,0.8235,finish_percentile_bounded_0_1,17,,,,,0,,,,running,4,,,0,0,1,1:1-2024-1-Practice1-tab:87,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_patrick_heuzenroeder,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_patrick_heuzenroeder,Patrick Heuzenroeder,,,car_froc_2024_5,5,Formula Regional Oceania,driver,,,5,5,0.7647,finish_percentile_bounded_0_1,17,,,,,0,,,,running,5,,,0,0,1,1:1-2024-1-Practice1-tab:5,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_enzo_yeh,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_enzo_yeh,Enzo Yeh,,,car_froc_2024_77,77,Formula Regional Oceania,driver,,,6,6,0.7059,finish_percentile_bounded_0_1,17,,,,,0,,,,running,6,,,0,0,1,1:1-2024-1-Practice1-tab:77,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_zack_scoular,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_zack_scoular,Zack Scoular,,,car_froc_2024_3,3,Formula Regional Oceania,driver,,,7,7,0.6471,finish_percentile_bounded_0_1,17,,,,,0,,,,running,7,,,0,0,1,1:1-2024-1-Practice1-tab:3,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_sebastian_manson,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_sebastian_manson,Sebastian Manson,,,car_froc_2024_69,69,Formula Regional Oceania,driver,,,8,8,0.5882,finish_percentile_bounded_0_1,17,,,,,0,,,,running,8,,,0,0,1,1:1-2024-1-Practice1-tab:69,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_josh_pierson,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_josh_pierson,Josh Pierson,,,car_froc_2024_14,14,Formula Regional Oceania,driver,,,9,9,0.5294,finish_percentile_bounded_0_1,17,,,,,0,,,,running,9,,,0,0,1,1:1-2024-1-Practice1-tab:14,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
result_froc_2024_r1_practice_1_driver_matias_zagazeta,session_froc_2024_r1_practice_1,Practice 1,practice,,event_froc_2024_r1_taupo_international_motorsport_park,FROC 2024 Round 1 - Taupo International Motorsport Park,2024,series_froc,Castrol Toyota Formula Regional Oceania Championship,track_taupo_international_motorsport_park,Taupo International Motorsport Park,road,driver_matias_zagazeta,Matias Zagazeta,,,car_froc_2024_8,8,Formula Regional Oceania,driver,,,10,10,0.4706,finish_percentile_bounded_0_1,17,,,,,0,,,,running,10,,,0,0,1,1:1-2024-1-Practice1-tab:8,canonical_full_field_result_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
