teamId,teamName,seriesId,seriesName,seasonYear,carCount,driverCount,qualifyingRows,resultRows,bryceRows,sourceState,sourceHash
team_75_express,75 Express,series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,2025,1,4,0,4,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_a_j_foyt_enterprises,A.J. Foyt Enterprises,series_indy_nxt,INDY NXT,2026,2,2,30,64,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_abel_motorsports,Abel Motorsports,series_indy_nxt,INDY NXT,2024,4,5,62,156,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_abel_motorsports,Abel Motorsports,series_indy_nxt,INDY NXT,2025,3,3,67,166,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_abel_motorsports,Abel Motorsports,series_indy_nxt,INDY NXT,2026,4,4,60,128,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_abel_motorsports_w_miller_vinatieri_motorsports,Abel Motorsports w/ Miller Vinatieri Motorsports,series_indy_nxt,INDY NXT,2024,1,1,23,57,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_abel_motorsports_w_miller_vinatieri_motorsports,Abel Motorsports w/ Miller Vinatieri Motorsports,series_indy_nxt,INDY NXT,2025,1,1,21,54,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,2025,2,8,0,8,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_af_corse,Af Corse,series_imsa_weathertech,IMSA WeatherTech SportsCar Championship,2025,3,12,0,12,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_andretti_global,Andretti Global,series_indy_nxt,INDY NXT,2024,4,4,92,227,80,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
team_andretti_global,Andretti Global,series_indy_nxt,INDY NXT,2025,4,4,89,221,0,team_series_season_observed_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
