trackId,trackName,canonicalName,country,region,city,trackType,configuration,lengthKm,lengthMi,cornerCount,direction,temporary,archetype,weatherJoinReady,metadataConfidenceTier,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,weatherRows,mediaRows,bryceQualifyingRows,bryceResultRows,bryceBestFinish,isRoadAmerica,provenanceRefCount,sourceState,sourceHash
track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,Autodromo Internacional do Algarve,Portugal,Algarve,Portimao,road,Grand Prix Circuit,4.653,2.891,15,clockwise,no,road_long_high_corner_count,yes,high,1,4,10,29,0,0,4,1,3,4,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_autodromo_nazionale_monza,Autodromo Nazionale Monza,Autodromo Nazionale Monza,Italy,Lombardy,Monza,road,Grand Prix Circuit,5.793,3.6,11,clockwise,no,road_long_medium_corner_count,yes,high,1,4,7,21,0,0,4,1,3,5,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_barber_motorsports_park,Barber Motorsports Park,Barber Motorsports Park,United States,Alabama,Leeds,road,Full course,3.83,2.38,16,clockwise,no,road_medium_high_corner_count,yes,high,4,21,167,362,2882,9,80,8,17,3,no,22,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_brands_hatch_gp,Brands Hatch GP,Brands Hatch Circuit,United Kingdom,Kent,West Kingsdown,road,Grand Prix,3.916,2.433,9,clockwise,no,road_medium_medium_corner_count,yes,high,2,15,38,312,0,6,19,2,15,4,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_brands_hatch_indy,Brands Hatch Indy,Brands Hatch Circuit,United Kingdom,Kent,West Kingsdown,road,Indy,1.944,1.208,7,clockwise,no,road_short_low_corner_count,yes,high,3,18,0,386,176,18,4,0,11,1,no,4,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_cadwell_park_full,Cadwell Park,Cadwell Park Circuit,United Kingdom,Lincolnshire,Louth,road,Full Circuit,3.5195,2.1869,18,clockwise,no,road_medium_high_corner_count,yes,high,1,3,0,45,27,3,2,0,3,1,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_circuit_paul_ricard,Circuit Paul Ricard,Circuit Paul Ricard,France,Provence-Alpes-Cote d Azur,Le Castellet,road,Grand Prix Circuit,5.842,3.63,15,clockwise,no,road_long_high_corner_count,yes,high,1,4,7,21,0,0,4,1,3,1,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_circuit_de_barcelona_catalunya,Circuit de Barcelona-Catalunya,Circuit de Barcelona-Catalunya,Spain,Catalonia,Montmelo,road,Grand Prix Circuit,4.657,2.894,14,clockwise,no,road_long_medium_corner_count,yes,high,1,4,8,22,0,0,4,0,0,,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_circuit_de_spa_francorchamps,Circuit de Spa-Francorchamps,Circuit de Spa-Francorchamps,Belgium,Wallonia,Stavelot,road,Grand Prix Circuit,7.004,4.352,19,clockwise,no,road_long_high_corner_count,yes,high,1,4,10,30,0,0,4,1,3,1,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
track_daytona_international_speedway,Daytona International Speedway,Daytona International Speedway,United States,Florida,Daytona Beach,road,Sports car road course,5.7293,3.56,12,clockwise,no,road_long_medium_corner_count,yes,official,1,1,0,236,37885,1,4,0,1,6,no,2,canonical_track_dimension_with_observed_event_session_context,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
