trackId,trackName,lengthMi,lengthSource,lat,lon,country,coordsSource
track_autodromo_internacional_do_algarve,Autodromo Internacional do Algarve,2.891,Algarve International Circuit official site | https://www.autodromodoalgarve.com/,37.227,-8.6267,Portugal,Wikipedia circuit profile | https://en.wikipedia.org/wiki/Algarve_International_Circuit
track_autodromo_nazionale_monza,Autodromo Nazionale Monza,3.6,Formula 1 official circuit profile | https://www.formula1.com/en/information/italy-autodromo-nazionalemonza.FiJN1jnQlRLeHqOxIt13m,45.6156,9.2811,Italy,Autodromo Nazionale Monza official site | https://www.monzanet.it/
track_barber_motorsports_park,Barber Motorsports Park,2.38,IMSA official circuit or event profile | https://www.imsa.com/nascar-tracks/barber-motorsports-park/,33.5325,-86.6189,United States,Just Track It circuit guide | https://justtrackit.net/tracks/barber-motorsports/guide
track_brands_hatch_gp,Brands Hatch Circuit,2.433,MotorSport Vision official circuit layout | https://www.brandshatch.co.uk/circuit-information.aspx,51.3569,0.2631,United Kingdom,MotorSport Vision official circuit layout | https://www.brandshatch.co.uk/circuit-information.aspx
track_brands_hatch_indy,Brands Hatch Circuit,1.208,MotorSport Vision official circuit layout | https://www.brandshatch.co.uk/about/circuit-map,51.3569,0.2631,United Kingdom,MotorSport Vision official circuit layout | https://www.brandshatch.co.uk/about/circuit-map
track_cadwell_park_full,Cadwell Park Circuit,2.187,British Racing and Sports Car Club circuit guide | https://brscc.co.uk/circuits/cadwell-park-circuit/,53.3106,-0.0586,United Kingdom,RacingCircuits.info circuit profile | https://www.racingcircuits.info/europe/united-kingdom/cadwell-park.html
track_circuit_paul_ricard,Circuit Paul Ricard,3.63,Circuit Paul Ricard official site | https://www.circuitpaulricard.com/,43.2506,5.7917,France,Wikipedia circuit profile | https://en.wikipedia.org/wiki/Circuit_Paul_Ricard
track_circuit_de_spa_francorchamps,Circuit de Spa-Francorchamps,4.352,Formula 1 official circuit profile | https://www.formula1.com/en/racing/2026/Belgium,50.4372,5.9714,Belgium,Circuit de Spa-Francorchamps official site | https://www.spa-francorchamps.be/
track_spa_gp,Circuit de Spa-Francorchamps,4.352,Formula 1 official circuit profile | https://www.formula1.com/en/information/belgium-circuit-de-spa-francorchamps.3LltuYaAXVRU8iezEsjzGw/,50.4372,5.9714,Belgium,Paddock Weather circuit directory | https://www.paddockweather.com/circuits.php?id=79
track_daytona_international_speedway,Daytona International Speedway,3.56,IMSA official circuit or event profile | https://www.imsa.com/events/2025-rolex-24-at-daytona/,29.1852,-81.0705,United States,IMSA Al Kamel official results | https://imsa.results.alkamelcloud.com/Results/25_2025/02_Daytona%20International%20Speedway/01_IMSA%20WeatherTech%20SportsCar%20Championship/202501251340_Race/24_Hour%2024/03_Results_Race_Official.JSON
track_streets_of_detroit,Detroit Downtown Street Circuit,1.645,INDYCAR official circuit profile | https://www.indycar.com/schedule/2025/detroit,42.3299,-83.0409,United States,Detroit Grand Prix official site | https://www.detroitgp.com/event-info/fast-facts
track_donington_park_gp,Donington Park,2.498,MotorSport Vision official circuit information | https://www.donington-park.co.uk/circuit-information.aspx,52.8306,-1.3753,United Kingdom,MotorSport Vision official circuit information | https://www.donington-park.co.uk/circuit-information.aspx
track_euromarque_motorsport_park,Euromarque Motorsport Park,2.069,MotorSport New Zealand circuit map | https://motorsport.org.nz/wp-content/uploads/CRO004-Circuit-Maps.pdf,-43.5311,172.4807,New Zealand,Wikipedia circuit profile | https://en.wikipedia.org/wiki/Euromarque_Motorsport_Park
track_streets_of_arlington,Grand Prix of Arlington Street Circuit,2.73,INDYCAR official circuit profile or track map | https://www.indycar.com/-/media/IndyCar/Schedules/TrackMaps/Arlington_TrackMap.jpg,32.7473,-97.0945,United States,Grand Prix of Arlington official site | https://www.gparlington.com/
track_highlands_motorsport_park,Highlands Motorsport Park,2.485,MotorSport New Zealand circuit map | https://motorsport.org.nz/wp-content/uploads/CRO004h_Highlands_CRO_Map.pdf,-45.0591,169.1703,New Zealand,My Racing Career circuit directory | https://www.myracingcareer.com/test/en/track/ota/
track_hungaroring,Hungaroring,2.722,Formula 1 official circuit profile | https://www.formula1.com/en/information/hungary-hungaroring-budapest.3Sz0BTKiIf7ov9bnezZ5dU,47.583,19.2526,Hungary,Hungaroring official site | https://hungaroring.hu/
track_indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,2.439,INDYCAR official circuit profile | https://www.indycar.com/Schedule/2024/Indianapolis,39.7936,-86.2353,United States,Indianapolis Motor Speedway official site | https://www.indianapolismotorspeedway.com/
track_iowa_speedway,Iowa Speedway,0.894,INDY NXT official test result | https://www.indycar.com/-/media/Files/2025/INXT/00-TESTS/IOWA/indynxt-results-pcomb-p2.pdf,41.6779,-93.0147,United States,Iowa Speedway official site | https://www.iowaspeedway.com/
track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,2.54,Michelin Raceway Road Atlanta official site | https://www.michelinracewayroadatlanta.com/,34.146667,-83.817778,United States,Michelin Raceway Road Atlanta official site | https://www.michelinracewayroadatlanta.com/
track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,2.258,Mid-Ohio Sports Car Course official site | https://midohio.com/info-m,40.6893,-82.6355,United States,Mid-Ohio Sports Car Course official site | https://midohio.com/info-m
