sessionId,eventId,sessionName,lapsInSummary,reason,sourceRef
session_indy_nxt_2024_6536,event_indy_nxt_2024_5480,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6536
session_indy_nxt_2024_6537,event_indy_nxt_2024_5470,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6537
session_indy_nxt_2024_6538,event_indy_nxt_2024_5471,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6538
session_indy_nxt_2024_6539,event_indy_nxt_2024_5481,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6539
session_indy_nxt_2024_6540,event_indy_nxt_2024_5482,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6540
session_indy_nxt_2024_6541,event_indy_nxt_2024_5472,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6541
session_indy_nxt_2024_6542,event_indy_nxt_2024_5473,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6542
session_indy_nxt_2024_6543,event_indy_nxt_2024_5483,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6543
session_indy_nxt_2024_6544,event_indy_nxt_2024_5474,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6544
session_indy_nxt_2024_6545,event_indy_nxt_2024_5477,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6545
session_indy_nxt_2025_6589,event_indy_nxt_2025_5484,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6589
session_indy_nxt_2025_6590,event_indy_nxt_2025_5485,Combined Qualifications - Race 2,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6590
session_indy_nxt_2025_6591,event_indy_nxt_2025_5486,Combined Qualifications - Race 1,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6591
session_indy_nxt_2025_6592,event_indy_nxt_2025_5487,Combined Qualifications,9,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6592
session_indy_nxt_2025_6594,event_indy_nxt_2025_5491,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6594
session_indy_nxt_2025_6595,event_indy_nxt_2025_5492,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6595
session_indy_nxt_2025_6597,event_indy_nxt_2025_5494,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6597
session_indy_nxt_2025_6598,event_indy_nxt_2025_5495,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6598
session_indy_nxt_2025_6600,event_indy_nxt_2025_5497,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6600
session_indy_nxt_2026_6770,event_indy_nxt_2026_5534,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6770
session_indy_nxt_2026_6787,event_indy_nxt_2026_5536,Combined Qualifications,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6787
session_indy_nxt_2026_6807,event_indy_nxt_2026_5533,Combined Qualifying - Race 1,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6807
session_indy_nxt_2026_6810,event_indy_nxt_2026_5535,Combined Qualifying - Race 2,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6810
session_indy_nxt_2026_6829,event_indy_nxt_2026_5539,Combined Qualifying - Race 1,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6829
session_indy_nxt_2026_6832,event_indy_nxt_2026_5548,Combined Qualifying - Race 2,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6832
session_indy_nxt_2026_6854,event_indy_nxt_2026_5532,Combined Qualifying,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6854
session_indy_nxt_2026_6872,event_indy_nxt_2026_5545,Combined Qualifying - Race 1,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6872
session_indy_nxt_2026_6875,event_indy_nxt_2026_5537,Combined Qualifying - Race 2,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6875
session_indy_nxt_2026_6894,event_indy_nxt_2026_5544,Combined Qualifying - Race 1,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6894
session_indy_nxt_2026_6897,event_indy_nxt_2026_5543,Combined Qualifying - Race 2,0,aggregate classification; not a second physical qualifying session,source_indynxt_events_session_6897
