sessionId,eventId,eventStartDate,seriesId,seasonYear,trackId,trackName,country,status,canonicalLaps,personalLaps,lengthMi,personalMiles,confidenceClass,sourceGrain,metricGrain,attributionMethod,sourceRef
session_frp_f1600_2019_r1_04_race_1,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,2019,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,running,14,14,2.54,35.560,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r1_04_race_1_pdf
session_frp_f1600_2019_r1_05_race_2,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,2019,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,running,15,15,2.54,38.100,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r1_05_race_2_pdf
session_frp_f1600_2019_r1_06_race_3,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,2019,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,running,18,18,2.54,45.720,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r1_06_race_3_pdf
session_frp_f1600_2019_r2_04_race_1,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,2019,track_watkins_glen_international,Watkins Glen International,United States,running,14,14,3.37,47.180,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r2_04_race_1_pdf
session_frp_f1600_2019_r2_05_race_2,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,2019,track_watkins_glen_international,Watkins Glen International,United States,running,9,9,3.37,30.330,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r2_05_race_2_pdf
session_frp_f1600_2019_r2_06_race_3,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,2019,track_watkins_glen_international,Watkins Glen International,United States,dns,0,0,3.37,0.000,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r2_06_race_3_pdf
session_frp_f1600_2019_r3_04_race_1,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,2019,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,running,18,18,2.258,40.644,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r3_04_race_1_pdf
session_frp_f1600_2019_r3_05_race_2,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,2019,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,running,18,18,2.258,40.644,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r3_05_race_2_pdf
session_frp_f1600_2019_r3_06_race_3,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,2019,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,running,18,18,2.258,40.644,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r3_06_race_3_pdf
session_frp_f1600_2019_r4_02_race_1,event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,series_frp_f1600,2019,track_virginia_international_raceway,Virginia International Raceway,United States,running,13,13,3.27,42.510,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r4_02_race_1_pdf
