sessionId,eventId,eventStartDate,seriesId,seriesName,seasonYear,sessionType,sessionName,trackId,trackName,country,lapsFloor,lengthMi,milesFloor,confidenceClass,sourceGrain,metricGrain,lapField,semanticNote,sourceRef
session_frp_f1600_2019_r1_01_practice_1,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 1,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,12,2.54,30.480,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r1_01_practice_1_pdf
session_frp_f1600_2019_r1_02_practice_2,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 2,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,6,2.54,15.240,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r1_02_practice_2_pdf
session_frp_f1600_2019_r1_03_qualifying,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,F1600 Championship Series,2019,qualifying,Qualifying,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,,2.54,,unknown,driver_result,driver_physical_session,,bestLapNumber is zero/absent and does not prove zero completed laps,source_frp_f1600_2019_r1_03_qualifying_pdf
session_frp_f1600_2019_r1_04_race_1,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,14,2.54,35.560,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r1_04_race_1_pdf
session_frp_f1600_2019_r1_05_race_2,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,15,2.54,38.100,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r1_05_race_2_pdf
session_frp_f1600_2019_r1_06_race_3,event_frp_f1600_2019_r1_road_atlanta,2019-04-18,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_michelin_raceway_road_atlanta,Michelin Raceway Road Atlanta,United States,18,2.54,45.720,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r1_06_race_3_pdf
session_frp_f1600_2019_r2_01_practice_1,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 1,track_watkins_glen_international,Watkins Glen International,United States,9,3.37,30.330,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r2_01_practice_1_pdf
session_frp_f1600_2019_r2_02_practice_2,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 2,track_watkins_glen_international,Watkins Glen International,United States,,3.37,,unknown,driver_result,driver_physical_session,,bestLapNumber is zero/absent and does not prove zero completed laps,source_frp_f1600_2019_r2_02_practice_2_pdf
session_frp_f1600_2019_r2_03_qualifying,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,F1600 Championship Series,2019,qualifying,Qualifying,track_watkins_glen_international,Watkins Glen International,United States,6,3.37,20.220,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r2_03_qualifying_pdf
session_frp_f1600_2019_r2_04_race_1,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_watkins_glen_international,Watkins Glen International,United States,14,3.37,47.180,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r2_04_race_1_pdf
session_frp_f1600_2019_r2_05_race_2,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_watkins_glen_international,Watkins Glen International,United States,9,3.37,30.330,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r2_05_race_2_pdf
session_frp_f1600_2019_r2_06_race_3,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_watkins_glen_international,Watkins Glen International,United States,0,3.37,0.000,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r2_06_race_3_pdf
session_frp_f1600_2019_r3_01_practice_1,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 1,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,15,2.258,33.870,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r3_01_practice_1_pdf
