fromEventId,fromEventStartDate,fromTrackName,fromCountry,toEventId,toEventStartDate,toTrackName,toCountry,greatCircleMiles,greatCircleConfidence,travelModeProxy,routeFactorLow,routeFactorBase,routeFactorHigh,routeAdjustedLowMiles,routeAdjustedBaseMiles,routeAdjustedHighMiles,routeAdjustedConfidence,actualTravelConfidence
event_frp_f1600_2019_r1_road_atlanta,2019-04-18,Michelin Raceway Road Atlanta,United States,event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,Watkins Glen International,United States,677.7,observed_exact,drive_proxy,1.12,1.18,1.28,759.0,799.7,867.5,modeled_range,unknown
event_frp_f1600_2019_r2_watkins_glen_international,2019-05-10,Watkins Glen International,United States,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,Mid-Ohio Sports Car Course,United States,316.4,observed_exact,drive_proxy,1.12,1.18,1.28,354.4,373.4,405.0,modeled_range,unknown
event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,Mid-Ohio Sports Car Course,United States,event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,Virginia International Raceway,United States,340.0,observed_exact,drive_proxy,1.12,1.18,1.28,380.8,401.2,435.2,modeled_range,unknown
event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,Virginia International Raceway,United States,event_frp_f1600_2019_r5_pittsburgh_international_race_complex,2019-08-02,Pittsburgh International Race Complex,United States,302.6,observed_exact,drive_proxy,1.12,1.18,1.28,338.9,357.0,387.3,modeled_range,unknown
event_frp_f1600_2019_r5_pittsburgh_international_race_complex,2019-08-02,Pittsburgh International Race Complex,United States,event_frp_f1600_2019_r6_summit_point,2019-08-23,Summit Point Motorsports Park Main Circuit,United States,167.8,observed_exact,drive_proxy,1.12,1.18,1.28,187.9,198.0,214.7,modeled_range,unknown
event_frp_f1600_2019_r6_summit_point,2019-08-23,Summit Point Motorsports Park Main Circuit,United States,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,New Jersey Motorsports Park Thunderbolt Raceway,United States,156.0,observed_exact,drive_proxy,1.12,1.18,1.28,174.7,184.1,199.7,modeled_range,unknown
event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,New Jersey Motorsports Park Thunderbolt Raceway,United States,event_formula_ford_2020_national_oulton_park,2020-07-18,Oulton Park,United Kingdom,3430.7,observed_exact,flight_proxy,1.03,1.08,1.15,3533.7,3705.2,3945.3,modeled_range,unknown
event_formula_ford_2020_national_oulton_park,2020-07-18,Oulton Park,United Kingdom,event_formula_ford_2020_champion_cadwell,2020-08-22,Cadwell Park Circuit,United Kingdom,106.0,observed_exact,drive_proxy,1.12,1.18,1.28,118.8,125.1,135.7,modeled_range,unknown
event_formula_ford_2020_champion_cadwell,2020-08-22,Cadwell Park Circuit,United Kingdom,event_formula_ford_2020_champion_brands,2020-09-12,Brands Hatch Circuit,United Kingdom,135.7,observed_exact,drive_proxy,1.12,1.18,1.28,151.9,160.1,173.7,modeled_range,unknown
event_formula_ford_2020_champion_brands,2020-09-12,Brands Hatch Circuit,United Kingdom,event_formula_ford_2020_national_brands_hatch,2020-09-26,Brands Hatch Circuit,United Kingdom,0.0,observed_exact,same_venue,1.0,1.0,1.0,0.0,0.0,0.0,modeled_range,unknown
