sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,eventStartDate,totalRaceLaps,cautionCount,cautionLapsTotal,openingThird,middleThird,finalThird,unknownThird,ranToFlagCount,medianDurationLaps,categories,sourceHash
session_indy_nxt_2024_6324,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2024-03-08,45,2,5,0,0,2,0,0,2.5,Contact:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6314,2024,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,2024-04-26,35,2,3,1,0,1,0,1,1.5,Off course:1;Spin:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6315,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2024-05-10,35,2,7,0,1,1,0,0,3.5,Contact:1;Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6325,2024,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2024-05-10,35,0,0,0,0,0,0,0,,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2024-05-31,45,4,14,1,1,2,0,1,3.0,Contact:2;Off course:1;Spin:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,2024-06-07,20,3,4,1,1,1,0,0,1.0,Contact:2;Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6317,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2024-06-21,35,1,2,1,0,0,0,0,2.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6327,2024,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2024-06-22,35,1,1,0,1,0,0,0,1.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6318,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,2024-07-05,35,1,3,1,0,0,0,0,3.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6319,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,2024-07-12,55,2,28,1,0,1,0,1,14.0,Contact:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6320,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,world_wide_technology_raceway,2024-08-16,75,3,19,2,0,1,0,0,7.0,Contact:3,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6321,2024,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,2024-08-23,35,1,2,1,0,0,0,0,2.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6322,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,2024-08-30,90,1,3,1,0,0,0,0,3.0,Spin:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6323,2024,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,2024-09-14,65,1,6,0,0,1,0,0,6.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2025-02-28,44,4,11,2,1,1,0,1,3.0,Contact:4,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6445,2025,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,2025-05-02,35,2,5,2,0,0,0,0,2.5,Debris:1;Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6443,2025,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2025-05-09,35,1,2,1,0,0,0,0,2.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6444,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2025-05-09,35,2,4,1,0,1,0,0,2.0,Contact:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6455,2025,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2025-05-30,45,2,5,1,0,1,0,0,2.5,Contact:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6454,2025,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,2025-06-14,75,0,0,0,0,0,0,0,,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6453,2025,Grand Prix at Road America,Road America,road,road_america,2025-06-20,20,0,0,0,0,0,0,0,,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6452,2025,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,2025-07-04,33,1,2,1,0,0,0,0,2.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,2025-07-11,75,3,10,0,3,0,0,0,3.0,Spin:3,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
