sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,cautionNumber,startLap,endLap,durationLaps,totalRaceLaps,lapFraction,third,restartLap,ranToFlag,category,reason,sourceHash
session_indy_nxt_2024_6324,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,1,32,35,4,45,0.7111,final,36,false,Contact,Contact - Car 27 - Exit of turn 10,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6324,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,37,37,1,45,0.8222,final,38,false,Contact,Contact - Car 40 - turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,2024,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,1,5,5,1,35,0.1429,opening,6,false,Off course,Off Course: Car 22 in Turn 14,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,2024,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,2,34,35,2,35,0.9714,final,,true,Spin,Spin: Car 28 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,21,25,5,35,0.6,middle,26,false,Off course,Off Course: Car 22 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,30,31,2,35,0.8571,final,32,false,Contact,Contact: Car 21 in Turn 7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,1,3,8,6,45,0.0667,opening,9,false,Contact,Contact: Car 27 in Turn 7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2,25,26,2,45,0.5556,middle,27,false,Off course,Off Course: Car 40 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,3,39,40,2,45,0.8667,final,41,false,Spin,Spin: Car 7 in Turn 7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,4,42,45,4,45,0.9333,final,,true,Contact,"Contact: Cars 7, 11, 29 and 33 in Turn 7",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,1,3,4,2,20,0.15,opening,5,false,Contact,Contact: Cars 29 and 39 in Turn 7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,2,10,10,1,20,0.5,middle,11,false,Off course,Off Course: Car 2 in Turn 14,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,3,16,16,1,20,0.8,final,17,false,Contact,Contact: Car 21 and 99 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6317,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,6,7,2,35,0.1714,opening,8,false,Contact,Contact: Car 10 in Turn 5,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6327,2024,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,16,16,1,35,0.4571,middle,17,false,Contact,Contact: Cars 17 and 39 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6318,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,1,1,3,3,35,0.0286,opening,4,false,Contact,"Contact: Cars 21, 27, 28 and 40 in Turn 4",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6319,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,1,13,38,26,55,0.2364,opening,39,false,Contact,Contact: Cars 18 and 99 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6319,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,2,54,55,2,55,0.9818,final,,true,Contact,Contact: Car 40 in Turn 3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6320,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,world_wide_technology_raceway,1,2,5,4,75,0.0267,opening,6,false,Contact,Contact: Car 99 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6320,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,world_wide_technology_raceway,2,8,15,8,75,0.1067,opening,16,false,Contact,Contact: Cars 18 and 28 on Front Straight,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6320,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,world_wide_technology_raceway,3,53,59,7,75,0.7067,final,60,false,Contact,Contact: Car 14 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6321,2024,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,8,9,2,35,0.2286,opening,10,false,Contact,Contact: Cars 29 and 76 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6322,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,30,32,3,90,0.3333,opening,33,false,Spin,Spin: Car 99 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6323,2024,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,52,57,6,65,0.8,final,58,false,Contact,Contact: Cars 28 and 40 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,1,1,1,1,44,0.0227,opening,2,false,Contact,"Contact: Car 10, 16 and 29 in Turn 1",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,10,13,4,44,0.2273,opening,14,false,Contact,Contact: Car 29 in Turn 10,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
