sessionId,eventId,eventName,seriesId,seriesName,seasonYear,sessionType,totalContextRows,racecraftCount,penaltyCount,incidentCount,weatherCount,mediaCount,bryceContextCount,wetDryStates,firstLapNumber,lastLapNumber,sourceStateCounts,sourceHash
session_euroformula_2023_01-portimao-qualifying,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,series_euroformula_open,Euroformula Open,2023,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_01-portimao-race-1,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_01-portimao-race-2,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_01-portimao-race-3,event_euroformula_2023_r1_portimao,Euroformula Open 2023 Round 1 - Portimao,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_02-spa_francorchamps-qualifying,event_euroformula_2023_r2_spa_francorchamps,Euroformula Open 2023 Round 2 - Spa-Francorchamps,series_euroformula_open,Euroformula Open,2023,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_02-spa_francorchamps-race-1,event_euroformula_2023_r2_spa_francorchamps,Euroformula Open 2023 Round 2 - Spa-Francorchamps,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_02-spa_francorchamps-race-2,event_euroformula_2023_r2_spa_francorchamps,Euroformula Open 2023 Round 2 - Spa-Francorchamps,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_02-spa_francorchamps-race-3,event_euroformula_2023_r2_spa_francorchamps,Euroformula Open 2023 Round 2 - Spa-Francorchamps,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_03-hungaroring-qualifying,event_euroformula_2023_r3_hungaroring,Euroformula Open 2023 Round 3 - Hungaroring,series_euroformula_open,Euroformula Open,2023,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_03-hungaroring-race-1,event_euroformula_2023_r3_hungaroring,Euroformula Open 2023 Round 3 - Hungaroring,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_03-hungaroring-race-2,event_euroformula_2023_r3_hungaroring,Euroformula Open 2023 Round 3 - Hungaroring,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_03-hungaroring-race-3,event_euroformula_2023_r3_hungaroring,Euroformula Open 2023 Round 3 - Hungaroring,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_04-paul_ricard-qualifying,event_euroformula_2023_r4_paul_ricard,Euroformula Open 2023 Round 4 - Paul Ricard,series_euroformula_open,Euroformula Open,2023,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_04-paul_ricard-race-1,event_euroformula_2023_r4_paul_ricard,Euroformula Open 2023 Round 4 - Paul Ricard,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_04-paul_ricard-race-2,event_euroformula_2023_r4_paul_ricard,Euroformula Open 2023 Round 4 - Paul Ricard,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_euroformula_2023_04-paul_ricard-race-3,event_euroformula_2023_r4_paul_ricard,Euroformula Open 2023 Round 4 - Paul Ricard,series_euroformula_open,Euroformula Open,2023,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
