weatherId,seriesId,seriesName,seasonYear,eventId,eventName,sessionId,sessionType,sessionName,trackId,trackName,observedAt,wetDry,trackCondition,ambientConditionRaw,ambientTempC,trackTempC,precipitationMm,windSpeedKph,source,weatherSourceType,confidence,timeConfidence,locationConfidence,timeWindowStart,timeWindowEnd,timeWindowReason,joinNotes,provenanceRefCount,sourceState,sourceHash
weather_formula_ford_2020_festival_grand_final_race_21_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_grand_final_race_21,race,GRAND FINAL (RACE 21),track_brands_hatch_indy,Brands Hatch Indy,2020-10-25T15:39:00,drying,drying,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-25T15:39:00,2020-10-25T15:39:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_heat_1_race_4_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_heat_1_race_4,heat,HEAT 1 (RACE 4),track_brands_hatch_indy,Brands Hatch Indy,2020-10-24T14:37:00,damp,damp,Drizzle,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-24T14:37:00,2020-10-24T14:37:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_heat_2_race_5_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_heat_2_race_5,heat,HEAT 2 (RACE 5),track_brands_hatch_indy,Brands Hatch Indy,2020-10-24T15:02:00,damp,damp,Drizzle,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-24T15:02:00,2020-10-24T15:02:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_heat_3_race_6_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_heat_3_race_6,heat,HEAT 3 (RACE 6),track_brands_hatch_indy,Brands Hatch Indy,2020-10-24T15:30:00,damp,damp,Drizzle,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-24T15:30:00,2020-10-24T15:30:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_historic_final_race_17_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_historic_final_race_17,race,HISTORIC FINAL - RACE 17,track_brands_hatch_indy,Brands Hatch Indy,2020-10-25T13:47:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-25T13:47:00,2020-10-25T13:47:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_last_chance_race_race_19_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_last_chance_race_race_19,race,LAST CHANCE RACE (RACE 19),track_brands_hatch_indy,Brands Hatch Indy,2020-10-25T14:45:00,damp,damp,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-25T14:45:00,2020-10-25T14:45:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_qualifying_heat_1_race_4_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_qualifying_heat_1_race_4,qualifying,QUALIFYING - HEAT 1 (RACE 4),track_brands_hatch_indy,Brands Hatch Indy,2020-10-24T09:50:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-24T09:50:00,2020-10-24T09:50:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_qualifying_heat_2_race_5_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_qualifying_heat_2_race_5,qualifying,QUALIFYING - HEAT 2 (RACE 5),track_brands_hatch_indy,Brands Hatch Indy,2020-10-24T10:34:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-24T10:34:00,2020-10-24T10:34:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_qualifying_heat_3_race_6_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_qualifying_heat_3_race_6,qualifying,QUALIFYING - HEAT 3 (RACE 6),track_brands_hatch_indy,Brands Hatch Indy,2020-10-24T11:33:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-24T11:33:00,2020-10-24T11:33:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_festival_semi_final_1_race_13_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_semi_final_1_race_13,race,SEMI FINAL 1 (RACE 13),track_brands_hatch_indy,Brands Hatch Indy,2020-10-25T11:48:00,wet,wet,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-25T11:48:00,2020-10-25T11:48:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
