sessionId,eventId,eventName,seasonYear,sessionType,sessionName,trackName,trackConfig,trackLengthKm,wetDry,weatherConfidence,sourceLapRows,validLapCount,bestLapSeconds,bestLapNumber,bestLapPctOfSession,medianValidLapSeconds,medianDeltaToBestSeconds,lapTimeStdDevSeconds,firstValidLapSeconds,firstToBestImprovementSeconds,lateMedianDeltaToBestSeconds,slowOutlierCount,shapeArchetype,finishPosition,startPosition,finishPercentile,fieldSize,status,sourceState,sourceHash
session_formula_ford_2020_champion_brands_qualifying_race_5,event_formula_ford_2020_champion_brands,Champion of Brands 2020,2020,qualifying,QUALIFYING - RACE 5,Brands Hatch Indy,Indy,1.944,dry,official,15,14,50.913,15,1.0,54.2565,3.3435,16.2655,55.698,4.785,3.351,6,interrupted_or_variable,5,,0.8462,26,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_brands_race_11,event_formula_ford_2020_champion_brands,Champion of Brands 2020,2020,race,RACE 11,Brands Hatch Indy,Indy,1.944,dry,official,18,18,50.651,9,0.4706,51.149,0.498,1.628,58.074,7.423,0.5215,1,large_ramp_to_pace,3,3,0.9231,26,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_brands_race_5,event_formula_ford_2020_champion_brands,Champion of Brands 2020,2020,race,RACE 5,Brands Hatch Indy,Indy,1.944,dry,official,18,18,50.949,14,0.7647,51.379,0.43,1.5724,58.128,7.179,0.5195,1,large_ramp_to_pace,3,5,0.92,25,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_cadwell_qualifying_race_2,event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,2020,qualifying,QUALIFYING - RACE 2,Cadwell Park,Full Circuit,3.5195,dry,official,7,7,92.371,4,0.5,92.567,0.196,1.4043,96.575,4.204,0.18,0,tight_consistent_run,1,,1,16,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_cadwell_race_2,event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,2020,race,RACE 2,Cadwell Park,Full Circuit,3.5195,dry,official,10,10,92.68,5,0.4444,93.432,0.752,4.3564,100.603,7.923,1.193,2,large_ramp_to_pace,3,1,0.875,16,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_cadwell_race_5,event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,2020,race,RACE 5,Cadwell Park,Full Circuit,3.5195,dry,official,10,10,92.97,3,0.2222,93.403,0.433,2.8573,102.88,9.91,0.626,1,large_ramp_to_pace,1,3,1,13,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_festival_grand_final_race_21,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,2020,race,GRAND FINAL (RACE 21),Brands Hatch Indy,Indy,1.944,drying,official,20,20,55.248,20,1.0,55.871,0.623,18.5542,65.627,10.379,1.863,4,large_ramp_to_pace,5,5,0.8667,30,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_festival_heat_1_race_4,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,2020,heat,HEAT 1 (RACE 4),Brands Hatch Indy,Indy,1.944,damp,official,5,5,62.212,5,1.0,62.556,0.344,3.2576,70.606,8.394,0.172,1,large_ramp_to_pace,4,3,0.8235,17,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_festival_qualifying_heat_1_race_4,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,2020,qualifying,QUALIFYING - HEAT 1 (RACE 4),Brands Hatch Indy,Indy,1.944,dry,official,14,14,50.556,9,0.6154,51.072,0.516,1.8372,57.35,6.794,0.502,1,large_ramp_to_pace,3,,0.8824,17,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_festival_semi_final_1_race_13,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,2020,race,SEMI FINAL 1 (RACE 13),Brands Hatch Indy,Indy,1.944,wet,official,15,15,61.583,12,0.7857,62.557,0.974,2.0086,70.4,8.817,1.175,1,large_ramp_to_pace,3,6,0.9167,24,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_national_brands_hatch_qualifying_race_2,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,2020,qualifying,QUALIFYING - RACE 2,Brands Hatch Indy,Indy,1.944,dry,official,17,17,50.136,11,0.625,50.739,0.603,2.4602,58.297,8.161,0.5715,2,large_ramp_to_pace,1,,1,22,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_national_brands_hatch_race_11,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,2020,race,RACE 11,Brands Hatch Indy,Indy,1.944,dry,official,18,18,50.782,11,0.5882,51.5335,0.7515,1.7701,58.952,8.17,0.7515,1,large_ramp_to_pace,5,5,0.8182,22,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_national_brands_hatch_race_18,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,2020,race,RACE 18,Brands Hatch Indy,Indy,1.944,dry,official,18,18,50.764,9,0.4706,51.6605,0.8965,1.5389,57.856,7.092,1.099,1,large_ramp_to_pace,5,2,0.8182,22,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_national_brands_hatch_race_2,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,2020,race,RACE 2,Brands Hatch Indy,Indy,1.944,dry,official,18,18,50.575,6,0.2941,51.1115,0.5365,1.6108,57.955,7.38,0.416,1,large_ramp_to_pace,5,1,0.8182,22,running,official_lap_analysis_bryce_only_session_shape,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
