seasonYear,eventId,eventName,sessionId,raceNumber,sessionName,trackName,trackType,teamName,fieldSize,startPosition,finishPosition,positionGain,finishPercentile,qPrimaryPosition,qSecondFastestPosition,qBestPosition,qBestToFinishDelta,points,status,pitStops,bestLapTime,gapToLeader,sourceFamily,sourceState,confidence,caveat,provenanceRefs,sourceHash
2021,event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,session_gb3_2021_212005_race_1_result,1,Race 1 Result,Brands Hatch Circuit,road,Carlin,19.0,12.0,10.0,2.0,0.5263,12.0,12.0,12.0,2.0,,running,,1:22.164,27.274,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212005_rc1_bf3_pdf;source_gb3_2021_212005_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,session_gb3_2021_212005_race_2_result,2,Race 2 Result,Brands Hatch Circuit,road,Carlin,19.0,11.0,9.0,2.0,0.5789,12.0,12.0,12.0,3.0,,running,,1:21.782,11.951,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212005_rc2_bf3_pdf;source_gb3_2021_212005_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,session_gb3_2021_212005_race_3_result,3,Race 3 Result,Brands Hatch Circuit,road,Carlin,19.0,8.0,4.0,4.0,0.8421,12.0,12.0,12.0,8.0,,running,,1:21.933,4.483,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212005_rc3_bf3_pdf;source_gb3_2021_212005_gr3_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r2_silverstone,GB3 2021 Round 2 - Silverstone,session_gb3_2021_212505_race_1_result,1,Race 1 Result,Silverstone Circuit,road,Carlin,16.0,13.0,9.0,4.0,0.5,12.0,11.0,11.0,2.0,,running,,1:56.792,14.356,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212505_rc1_bf3_pdf;source_gb3_2021_212505_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r2_silverstone,GB3 2021 Round 2 - Silverstone,session_gb3_2021_212505_race_2_result,2,Race 2 Result,Silverstone Circuit,road,Carlin,16.0,11.0,11.0,0.0,0.375,12.0,11.0,11.0,0.0,,running,,1:57.628,19.682,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212505_rc2_bf3_pdf;source_gb3_2021_212505_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,session_gb3_2021_212705_race_1_result,1,Race 1 Result,Donington Park,road,Carlin,17.0,12.0,13.0,-1.0,0.2941,12.0,12.0,12.0,-1.0,,running,,1:26.011,21.631,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212705_rc1_bf3_pdf;source_gb3_2021_212705_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,session_gb3_2021_212705_race_2_result,2,Race 2 Result,Donington Park,road,Carlin,16.0,12.0,11.0,1.0,0.375,12.0,12.0,12.0,1.0,,running,,1:25.923,15.139,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212705_rc2_bf3_pdf;source_gb3_2021_212705_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,session_gb3_2021_212705_race_3_result,3,Race 3 Result,Donington Park,road,Carlin,17.0,6.0,4.0,2.0,0.8235,12.0,12.0,12.0,8.0,,running,,1:25.557,4.508,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212705_rc3_bf3_pdf;source_gb3_2021_212705_gr3_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,session_gb3_2021_212905_race_1_result,1,Race 1 Result,Circuit de Spa-Francorchamps,road,Carlin,16.0,9.0,10.0,-1.0,0.4375,10.0,9.0,9.0,-1.0,,running,,2:37.749,27.287,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212905_rc1_bf3_pdf;source_gb3_2021_212905_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,session_gb3_2021_212905_race_2_result,2,Race 2 Result,Circuit de Spa-Francorchamps,road,Carlin,16.0,9.0,11.0,-2.0,0.375,10.0,9.0,9.0,-2.0,,running,,2:22.168,19.067,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212905_rc2_bf3_pdf;source_gb3_2021_212905_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
