seasonYear,eventName,trackName,raceRows,avgFinish,bestFinish,avgFinishPercentile,avgPositionGainWhenStartKnown,top5Count,top10Count,points,bestQualifyingPosition,weatherDrySessions,weatherWetSessions,sourceFamily,sourceState,confidence,caveat,sourceHash
2021,GB3 2021 Round 1 - Brands Hatch,Brands Hatch Circuit,3,7.666666666666667,4.0,0.6491,2.6666666666666665,1,3,,12.0,5,1,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Silverstone Circuit,2,10.0,9.0,0.4375,2.0,0,1,,11.0,5,0,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 3 - Donington Park,Donington Park,3,9.333333333333334,4.0,0.4975333333333333,0.6666666666666666,1,1,,12.0,5,0,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Circuit de Spa-Francorchamps,3,11.666666666666666,10.0,0.3333333333333333,-3.3333333333333335,0,1,,9.0,7,1,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Snetterton Circuit,3,10.0,6.0,0.49996666666666667,0.0,0,1,,6.0,3,0,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Oulton Park,3,11.666666666666666,8.0,0.3566,-1.0,0,1,,15.0,4,1,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Donington Park,3,8.333333333333334,6.0,0.6508,3.3333333333333335,0,2,,12.0,4,1,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 1 - Oulton Park,Oulton Park,3,14.666666666666666,12.0,0.3492,,0,0,19.0,21.0,0,0,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 2 - Silverstone,Silverstone Circuit,3,11.333333333333334,3.0,0.48333333333333334,,1,1,29.0,15.0,0,0,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2022,GB3 2022 Round 3 - Donington Park,Donington Park,3,10.666666666666666,1.0,0.5606,,1,1,31.0,21.0,0,0,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
