eventId,eventName,seasonYear,sessionId,sessionName,sessionSegment,position,fieldSize,bestLapTime,gapToPole,sourceTable,sourceState,confidence,caveat,provenanceRefs,sourceHash
event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,2021,session_gb3_2021_212005_qualifying,Qualifying,Qualifying,12.0,,1:21.579,1.281,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212005_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r1_brands_hatch,GB3 2021 Round 1 - Brands Hatch,2021,session_gb3_2021_212005_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,12.0,,1:21.623,1.124,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212005_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r2_silverstone,GB3 2021 Round 2 - Silverstone,2021,session_gb3_2021_212505_qualifying,Qualifying,Qualifying,12.0,,1:56.950,1.042,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212505_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r2_silverstone,GB3 2021 Round 2 - Silverstone,2021,session_gb3_2021_212505_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,11.0,,1:57.219,1.265,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212505_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,2021,session_gb3_2021_212705_qualifying,Qualifying,Qualifying,12.0,,1:25.718,1.028,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212705_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,2021,session_gb3_2021_212705_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,12.0,,1:25.768,1.011,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212705_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,2021,session_gb3_2021_212905_qualifying,Qualifying,Qualifying,10.0,,2:20.205,0.894,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212905_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,2021,session_gb3_2021_212905_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,9.0,,2:20.350,0.902,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212905_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,2021,session_gb3_2021_213105_qualifying,Qualifying,Qualifying,12.0,,2:00.984,3.646,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213105_qu1_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,2021,session_gb3_2021_213105_qualifying_2nd_fastest,Qualifying 2nd Fastest,Qualifying 2nd Fastest,6.0,,2:01.540,1.573,qualifyingResults,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213105_qu2_bf3_pdf,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
