seasonYear,eventName,sessionName,raceNumber,trackName,teamName,teamRaceDriverCount,teammateCount,bryceFinishPosition,bryceWithinTeamRank,teamBestFinish,teamMedianFinish,teammateBestFinish,teammateMedianFinish,sourceFamily,sourceState,confidence,caveat,sessionId,sourceHash
2021,GB3 2021 Round 1 - Brands Hatch,Race 1 Result,1,Brands Hatch Circuit,Carlin,3,2,10.0,3,3.0,8.0,3.0,5.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212005_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Race 2 Result,2,Brands Hatch Circuit,Carlin,3,2,9.0,2,1.0,9.0,1.0,5.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212005_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Race 3 Result,3,Brands Hatch Circuit,Carlin,3,2,4.0,2,1.0,4.0,1.0,4.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212005_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Race 1 Result,1,Silverstone Circuit,Carlin,3,2,9.0,3,2.0,8.0,2.0,5.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212505_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Race 2 Result,2,Silverstone Circuit,Carlin,3,2,11.0,3,2.0,7.0,2.0,4.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212505_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 3 - Donington Park,Race 1 Result,1,Donington Park,Carlin,3,2,13.0,3,1.0,5.0,1.0,3.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212705_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 3 - Donington Park,Race 2 Result,2,Donington Park,Carlin,3,2,11.0,3,1.0,6.0,1.0,3.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212705_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 3 - Donington Park,Race 3 Result,3,Donington Park,Carlin,3,2,4.0,1,4.0,5.0,6.0,6.0,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212705_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Race 1 Result,1,Circuit de Spa-Francorchamps,Carlin,3,2,10.0,3,1.0,2.0,1.0,1.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212905_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Race 2 Result,2,Circuit de Spa-Francorchamps,Carlin,3,2,11.0,3,2.0,3.0,2.0,2.5,2021 TSL official PDFs,official_full_field_results_descriptive_team_context,medium,"Team context is result-position context only. It does not support engineering, setup, strategy, or reliability attribution.",session_gb3_2021_212905_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
