seasonYear,eventName,sessionName,sessionType,trackName,observedAt,ambientConditionRaw,trackConditionRaw,wetDry,weatherConfidence,timeConfidence,locationConfidence,bryceFinishPositionIfRace,bryceFinishPercentileIfRace,sourceState,confidence,caveat,provenanceRefs,eventId,sessionId,sourceHash
2021,GB3 2021 Round 1 - Brands Hatch,Free Practice 1,practice,Brands Hatch Circuit,2021-05-22T09:00:00,Overcast,Wet,wet,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212005_fp1_bf3_pdf,event_gb3_2021_r1_brands_hatch,session_gb3_2021_212005_free_practice_1,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Qualifying,qualifying,Brands Hatch Circuit,2021-05-22T11:49:00,Overcast,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212005_qu1_bf3_pdf,event_gb3_2021_r1_brands_hatch,session_gb3_2021_212005_qualifying,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Qualifying 2nd Fastest,qualifying,Brands Hatch Circuit,2021-05-22T11:49:00,Overcast,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212005_qu2_bf3_pdf,event_gb3_2021_r1_brands_hatch,session_gb3_2021_212005_qualifying_2nd_fastest,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Race 1 Result,race,Brands Hatch Circuit,2021-05-22T15:27:00,Overcast,Dry,dry,official,high,track_exact,10.0,0.5263,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212005_rc1_bf3_pdf,event_gb3_2021_r1_brands_hatch,session_gb3_2021_212005_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Race 2 Result,race,Brands Hatch Circuit,2021-05-23T11:23:00,Overcast,Dry,dry,official,high,track_exact,9.0,0.5789,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212005_rc2_bf3_pdf,event_gb3_2021_r1_brands_hatch,session_gb3_2021_212005_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 1 - Brands Hatch,Race 3 Result,race,Brands Hatch Circuit,2021-05-23T16:28:00,Overcast,Dry,dry,official,high,track_exact,4.0,0.8421,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212005_rc3_bf3_pdf,event_gb3_2021_r1_brands_hatch,session_gb3_2021_212005_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Race 2 Result,race,Silverstone Circuit,2021-06-27T10:10:00,Overcast,Dry,dry,official,high,track_exact,11.0,0.375,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212505_rc2_bf3_pdf,event_gb3_2021_r2_silverstone,session_gb3_2021_212505_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Qualifying,qualifying,Silverstone Circuit,2021-06-27T11:10:00,Overcast,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212505_qu1_bf3_pdf,event_gb3_2021_r2_silverstone,session_gb3_2021_212505_qualifying,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Qualifying 2nd Fastest,qualifying,Silverstone Circuit,2021-06-27T11:10:00,Overcast,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212505_qu2_bf3_pdf,event_gb3_2021_r2_silverstone,session_gb3_2021_212505_qualifying_2nd_fastest,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 2 - Silverstone,Race 1 Result,race,Silverstone Circuit,2021-06-27T15:24:00,Cloudy,Dry,dry,official,high,track_exact,9.0,0.5,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212505_rc1_bf3_pdf,event_gb3_2021_r2_silverstone,session_gb3_2021_212505_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
