sessionId,stintId,carId,carNumber,class,driverId,driverName,stintIndexForCar,driverStintIndex,startLap,endLap,lapCount,validLapCount,validNonPitLapCount,pitInLapCount,startSessionHour,endSessionHour,medianValidLapSeconds,medianValidNonPitLapSeconds,bestValidLapSeconds,best20LapAverageSeconds,medianDeltaToClassHourSeconds,medianDeltaToOverallHourSeconds,bryceMedianMinusCar85CoDriverMedianSeconds,sourceState,sourceHash
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_007,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,7,1,172,190,19,17,17,1,5,5,101.185,101.185,99.024,,1.636,-8.597,1.846,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_008,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,8,2,191,220,30,28,28,1,5,6,101.2045,101.2045,100.049,101.0177,2.1405,-7.8395,1.8655,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_016,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,16,3,388,396,9,7,7,1,12,12,145.149,145.149,115.552,,45.411,35.4775,45.81,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_017,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,17,4,397,399,3,1,1,1,12,12,169.256,169.256,169.256,,69.518,59.5845,69.917,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_018,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,18,5,400,407,8,6,6,1,12,12,119.982,119.982,99.567,,20.244,10.3105,20.643,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_019,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,19,6,408,426,19,17,17,1,12,13,99.55,99.55,98.838,,0.377,-9.2765,0.211,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_020,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,20,7,427,446,20,18,18,1,13,14,101.374,101.374,100.327,,2.201,-7.4525,2.035,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_027,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,27,8,599,600,2,0,0,1,18,18,,,,,,,,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_028,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,28,9,601,602,2,0,0,1,18,18,,,,,,,,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_85_stint_029,car_imsa_2025_jdc_miller_motorsports_85,85,GTP,driver_bryce_aron,Bryce Aron,29,10,603,632,30,28,28,1,18,19,99.3385,99.3385,98.111,99.0332,0.8315,-9.097,-0.0005,official_alkamel_time_cards_bryce_stint_context,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
