driverId,driverName,driverLicense,carId,carNumber,teamId,teamName,class,vehicle,lapCount,validLapCount,validNonPitLapCount,stintCount,bestValidLapSeconds,medianValidNonPitLapSeconds,best20LapAverageSeconds,medianDeltaToClassHourSeconds,medianDeltaToOverallHourSeconds,medianSector1Seconds,medianSector2Seconds,medianSector3Seconds,classDriverCount,classMedianDriverCount,classMedianRank,classMedianPercentile,classBest20DriverCount,classBest20Rank,classBest20Percentile,sourceState,sourceHash
driver_jules_gounon,Jules Gounon,Platinum,car_imsa_2025_75_express_75,75,team_75_express,75 Express,GTDPRO,Mercedes-AMG GT3,25,24,24,1,107.765,108.988,108.8202,-0.8165,-0.868,25.7345,50.755,32.463,54,54,1,1.0,52,25,0.5294,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_kenny_habul,Kenny Habul,Bronze,car_imsa_2025_75_express_75,75,team_75_express,75 Express,GTDPRO,Mercedes-AMG GT3,16,14,14,1,109.823,110.4895,,0.6085,0.9235,25.97,51.38,33.007,54,54,50,0.0755,,,,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_maro_engel,Maro Engel,Platinum,car_imsa_2025_75_express_75,75,team_75_express,75 Express,GTDPRO,Mercedes-AMG GT3,32,30,30,1,108.408,109.344,109.1446,-0.189,0.18,25.856,50.9125,32.4975,54,54,19,0.6604,52,38,0.2745,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_mikael_grenier,Mikael Grenier,Gold,car_imsa_2025_75_express_75,75,team_75_express,75 Express,GTDPRO,Mercedes-AMG GT3,77,69,69,4,107.824,109.823,109.1033,0.021,0.4035,25.891,51.169,32.707,54,54,42,0.2264,52,37,0.2941,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_colin_braun,Colin Braun,Gold,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,177,163,163,7,96.233,99.004,98.0421,0.034,-9.876,24.214,46.13,28.451,42,42,23,0.4634,42,17,0.6098,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_felix_rosenqvist,Felix Rosenqvist,Gold,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,136,124,124,6,97.293,99.498,98.6783,0.3255,-9.8267,24.3645,46.322,28.629,42,42,39,0.0732,42,30,0.2927,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_scott_dixon,Scott Dixon,Platinum,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,221,197,197,12,96.423,98.849,97.8975,-0.136,-10.191,24.181,46.038,28.496,42,42,16,0.6341,42,10,0.7805,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_tom_blomqvist,Tom Blomqvist,Platinum,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,247,228,228,10,96.188,98.738,97.7975,-0.0575,-10.2888,24.2345,46.014,28.3695,42,42,9,0.8049,42,7,0.8537,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_alex_palou,Alex Palou,Platinum,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_93,93,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,201,182,182,9,96.168,98.7575,98.0305,-0.0545,-10.1605,24.1365,46.1535,28.509,42,42,11,0.7561,42,16,0.6341,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
driver_kaku_ohta,Kaku Ohta,Gold,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_93,93,team_acura_meyer_shank_racing_w_curb_agajanian,Acura Meyer Shank Racing w/Curb Agajanian,GTP,Acura ARX-06,179,161,161,9,96.204,99.353,98.1629,0.004,-10.0145,24.421,46.28,28.622,42,42,34,0.1951,42,21,0.5122,official_alkamel_time_cards_driver_summary,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
