sessionId,sessionHour,class,validNonPitLapCount,driverCount,carCount,medianLapSeconds,p25LapSeconds,p75LapSeconds,bestLapSeconds,overallHourMedianLapSeconds,classToOverallMedianDeltaSeconds,sourceState,sourceHash
session_imsa_2025_daytona_rolex_24_race,0,GTD,618,23,22,110.2665,109.6965,111.0048,108.459,109.164,1.1025,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,0,GTDPRO,432,17,15,109.533,109.1605,109.8342,107.936,109.164,0.369,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,0,GTP,382,12,12,98.903,98.2265,99.7092,95.977,109.164,-10.261,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,0,LMP2,361,13,12,103.499,102.447,104.741,100.03,109.164,-5.665,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,1,GTD,650,31,22,110.466,109.9673,111.119,108.194,109.566,0.9,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,1,GTDPRO,429,22,15,109.881,109.581,110.439,107.825,109.566,0.315,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,1,GTP,361,21,11,99.212,98.738,99.844,97.0,109.566,-10.354,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,1,LMP2,382,18,12,102.982,102.146,103.9775,99.716,109.566,-6.584,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,2,GTD,561,22,22,111.002,110.047,114.913,108.252,109.8715,1.1305,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,2,GTDPRO,380,18,15,109.857,109.2908,112.8648,107.899,109.8715,-0.0145,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
