sessionId,stintId,carId,carNumber,class,driverId,driverName,stintIndexForCar,driverStintIndex,startLap,endLap,lapCount,validLapCount,validNonPitLapCount,pitInLapCount,pitOutLapCount,startSessionHour,endSessionHour,medianValidLapSeconds,medianValidNonPitLapSeconds,bestValidLapSeconds,best20LapAverageSeconds,medianDeltaToClassHourSeconds,medianDeltaToOverallHourSeconds,medianSector1Seconds,medianSector2Seconds,medianSector3Seconds,sourceState,sourceHash
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_001,car_imsa_2025_75_express_75,75,GTDPRO,driver_maro_engel,Maro Engel,1,1,1,32,32,30,30,1,0,0,0,109.344,109.344,108.408,109.1446,-0.189,0.18,25.856,50.9125,32.4975,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_002,car_imsa_2025_75_express_75,75,GTDPRO,driver_kenny_habul,Kenny Habul,2,1,33,48,16,14,14,1,0,1,1,110.4895,110.4895,109.823,,0.6085,0.9235,25.97,51.38,33.007,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_003,car_imsa_2025_75_express_75,75,GTDPRO,driver_mikael_grenier,Mikael Grenier,3,1,49,51,3,1,1,1,0,1,1,110.463,110.463,110.463,,0.582,0.897,25.971,51.644,32.848,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_004,car_imsa_2025_75_express_75,75,GTDPRO,driver_mikael_grenier,Mikael Grenier,4,2,52,67,16,14,14,1,0,1,2,111.0725,111.0725,109.878,,1.2155,1.201,26.131,51.6425,33.1265,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_005,car_imsa_2025_75_express_75,75,GTDPRO,driver_mikael_grenier,Mikael Grenier,5,3,68,98,31,29,29,1,0,2,3,109.769,109.769,109.132,109.7184,-0.007,0.214,26.015,51.097,32.7,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_006,car_imsa_2025_75_express_75,75,GTDPRO,driver_mikael_grenier,Mikael Grenier,6,4,99,125,27,25,25,1,0,3,4,109.325,109.325,107.824,109.1033,-0.328,-0.198,25.576,51.109,32.616,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_75_stint_007,car_imsa_2025_75_express_75,75,GTDPRO,driver_jules_gounon,Jules Gounon,7,1,126,150,25,24,24,0,0,4,5,108.988,108.988,107.765,108.8202,-0.8165,-0.868,25.7345,50.755,32.463,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_60_stint_001,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,GTP,driver_tom_blomqvist,Tom Blomqvist,1,1,1,30,30,28,28,1,0,0,0,98.6345,98.6345,97.324,98.8359,-0.2685,-10.5295,24.1505,46.1475,28.3375,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_60_stint_002,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,GTP,driver_tom_blomqvist,Tom Blomqvist,2,2,31,60,30,28,28,1,0,0,1,99.6095,99.6095,98.771,99.7248,0.4865,-9.8235,24.443,46.519,28.4515,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,imsa_2025_daytona_60_stint_003,car_imsa_2025_acura_meyer_shank_racing_w_curb_agajanian_60,60,GTP,driver_felix_rosenqvist,Felix Rosenqvist,3,1,61,78,18,16,16,1,0,1,2,99.6625,99.6625,97.332,,0.2715,-10.149,24.2555,46.5785,28.4015,official_alkamel_time_cards_driver_stint,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
