seasonYear,roundIndex,sessionId,raceLabel,bryceRacePoints,bryceCumulativePoints,bryceStandingRank,leaderDriver,leaderPoints,pointsBehindLeader,sourceState,caveat
2024,1,session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,11,11.0,19,Nolan Siegel,54.0,43.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,2,session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,24,35.0,13,Jacob Abel,95.0,60.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,3,session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,16,51.0,14,Jacob Abel,149.0,98.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,4,session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,11,62.0,14,Jacob Abel,190.0,128.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,5,session_indy_nxt_2024_6326,2024 Detroit Grand Prix,10,72.0,16,Jacob Abel,221.0,149.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,6,session_indy_nxt_2024_6316,2024 Grand Prix at Road America,24,96.0,15,Jacob Abel,256.0,160.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,7,session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,14,110.0,16,Jacob Abel,291.0,181.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,8,session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,35,145.0,15,Louis Foster,345.0,200.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,9,session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,12,157.0,15,Louis Foster,386.0,229.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,10,session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,24,181.0,14,Louis Foster,437.0,256.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,11,session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,28,209.0,13,Louis Foster,491.0,282.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,12,session_indy_nxt_2024_6321,2024 Grand Prix of Portland,35,244.0,11,Louis Foster,532.0,288.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,13,session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,32,276.0,9,Louis Foster,586.0,310.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2024,14,session_indy_nxt_2024_6323,2024 Music City Grand Prix,26,302.0,9,Louis Foster,639.0,337.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,1,session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,17,17.0,13,Dennis Hauger,54.0,37.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,2,session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,15,32.0,13,Dennis Hauger,108.0,76.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,3,session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,15,47.0,14,Dennis Hauger,133.0,86.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,4,session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,15,62.0,15,Dennis Hauger,187.0,125.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,5,session_indy_nxt_2025_6455,2025 Detroit Grand Prix,20,82.0,13,Dennis Hauger,241.0,159.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,6,session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,16,98.0,14,Dennis Hauger,273.0,175.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,7,session_indy_nxt_2025_6453,2025 Grand Prix at Road America,22,120.0,13,Dennis Hauger,317.0,197.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,8,session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,18,138.0,12,Dennis Hauger,371.0,233.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,9,session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,22,160.0,11,Dennis Hauger,414.0,254.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,10,session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,20,180.0,11,Dennis Hauger,455.0,275.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,11,session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,11,191.0,11,Dennis Hauger,470.0,279.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,12,session_indy_nxt_2025_6449,2025 Grand Prix of Portland,11,202.0,11,Dennis Hauger,523.0,321.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,13,session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,30,232.0,11,Dennis Hauger,564.0,332.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2025,14,session_indy_nxt_2025_6447,2025 Music City Grand Prix,28,260.0,11,Dennis Hauger,599.0,339.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,1,session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,12,12.0,18,Nikita Johnson,54.0,42.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,2,session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,12,24.0,19,Max Taylor,92.0,68.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,3,session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,24,48.0,15,Nikita Johnson,133.0,85.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,4,session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,26,74.0,12,Nikita Johnson,168.0,94.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,5,session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,8,82.0,14,Nikita Johnson,203.0,121.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,6,session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,18,100.0,14,Nikita Johnson,231.0,131.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,7,session_indy_nxt_2026_6749,2026 Detroit Grand Prix,24,124.0,12,Enzo Fittipaldi,266.0,142.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,8,session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,7,131.0,14,Nikita Johnson,285.0,154.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,9,session_indy_nxt_2026_6762,2026 Grand Prix at Road America Race 1 R1,9,140.0,16,Nikita Johnson,314.0,174.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
2026,10,session_indy_nxt_2026_6754,2026 Grand Prix at Road America Race 2 R2,20,160.0,17,Nikita Johnson,350.0,190.0,official_results_points_progression,Progression uses imported INDY NXT race rows available in the canonical dataset; future 2026 sessions are excluded.
