sessionId,raceLabel,fieldRatedRivals,fieldStrengthMean,fieldStrengthMedian,topRatedRivals,bryceFinish,bryceFinishPercentile,resultVsFieldStrength,sourceState,caveat
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,20,0.5176333862499558,0.5007631973576245,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Nolan Siegel:0.60; Myles Rowe:0.59,19,0.1429,-0.3747333862499558,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,20,0.5176333862499558,0.5007631973576245,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Nolan Siegel:0.60; Myles Rowe:0.59,8,0.6667,0.14906661375004415,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,20,0.5170104213273207,0.5007631973576245,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Nolan Siegel:0.60; Myles Rowe:0.59,14,0.381,-0.13601042132732066,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,20,0.5170104213273207,0.5007631973576245,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Nolan Siegel:0.60; Myles Rowe:0.59,19,0.1429,-0.37411042132732064,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,20,0.5124639047416775,0.5007631973576245,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Nolan Siegel:0.60; Myles Rowe:0.59,20,0.0952,-0.41726390474167746,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,20,0.5115403358572352,0.49214064014760606,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,8,0.6667,0.15515966414276472,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,19,0.5088711840889267,0.4898368358507677,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,16,0.25,-0.25887118408892673,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,19,0.5088711840889267,0.4898368358507677,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,3,0.9,0.3911288159110733,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,18,0.5261623771448576,0.5007631973576245,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,18,0.1053,-0.4208623771448576,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,17,0.5314163304514752,0.5116895588644814,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,8,0.6111,0.0796836695485248,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,17,0.5314936815540907,0.5116895588644814,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,6,0.7222,0.19070631844590924,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,16,0.536663694840736,0.5261096682189275,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,3,0.8824,0.345736305159264,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,17,0.5261448385121575,0.5116895588644814,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,4,0.8333,0.3071551614878425,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2024_6323,2024 Music City Grand Prix,17,0.5269642279176993,0.5405297775733736,Louis Foster:0.78; Caio Collet:0.71; Jacob Abel:0.70; Myles Rowe:0.59; Salvador de Alba:0.58,7,0.6667,0.1397357720823007,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,20,0.4935151364555051,0.4823335913312694,Dennis Hauger:0.74; Caio Collet:0.71; Nikita Johnson:0.67; Lochie Hughes:0.66; Myles Rowe:0.59,13,0.4286,-0.06491513645550512,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,19,0.490064489691755,0.4824561403508772,Dennis Hauger:0.74; Caio Collet:0.71; Lochie Hughes:0.66; Myles Rowe:0.59; Salvador de Alba:0.58,15,0.3,-0.190064489691755,official_results_descriptive_strength,"Field strength uses same-sample outcome history and should be read as context, not predictive truth."
