sessionId,raceLabel,driverId,driverName,lapSamples,firstLapPosition,finalLapPosition,bestRunningPosition,worstRunningPosition,netLapChartGain,positionVolatility,positiveLapMoves,negativeLapMoves,sourceState
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_reece_gold,Reece Gold,45,5.0,5.0,5.0,8.0,0.0,6.0,3,2,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_nolan_allaer,Nolan Allaer,45,18.0,14.0,13.0,18.0,4.0,6.0,5,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_josh_pierson,Josh Pierson,45,9.0,13.0,9.0,20.0,-4.0,20.0,7,3,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_callum_hedge,Callum Hedge,45,16.0,11.0,11.0,16.0,5.0,5.0,5,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_caio_collet,Caio Collet,45,6.0,7.0,5.0,11.0,-1.0,11.0,5,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_salvador_de_alba,Salvador de Alba,45,12.0,9.0,8.0,12.0,3.0,5.0,4,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_josh_mason,Josh Mason,38,19.0,15.0,13.0,20.0,4.0,10.0,5,2,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,45,14.0,12.0,10.0,15.0,2.0,10.0,5,3,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_jonathan_browne,Jonathan BROWNE,45,10.0,6.0,6.0,10.0,4.0,4.0,4,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_louis_foster,Louis Foster,45,4.0,3.0,3.0,4.0,1.0,1.0,1,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_bryce_aron,Bryce Aron,31,7.0,6.0,6.0,8.0,1.0,3.0,2,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_jamie_chadwick,Jamie Chadwick,21,21.0,20.0,17.0,21.0,1.0,9.0,4,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_james_roe,James Roe,41,11.0,16.0,10.0,20.0,-5.0,15.0,5,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_michael_d_orlando,Michael d'Orlando,45,8.0,4.0,4.0,8.0,4.0,4.0,4,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_niels_koolen,Niels Koolen,12,17.0,19.0,16.0,19.0,-2.0,4.0,1,2,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_nolan_siegel,Nolan Siegel,45,1.0,1.0,1.0,1.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_jack_william_miller,Jack William Miller,36,15.0,11.0,11.0,15.0,4.0,4.0,4,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_jacob_abel,Jacob Abel,45,2.0,2.0,2.0,2.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_christian_bogle,Christian Bogle,45,13.0,10.0,9.0,13.0,3.0,7.0,5,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_lindsay_brewer,Lindsay Brewer,42,20.0,15.0,15.0,21.0,5.0,7.0,6,1,available
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,driver_myles_rowe,Myles Rowe,45,3.0,8.0,3.0,8.0,-5.0,5.0,0,4,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_reece_gold,Reece Gold,35,8.0,11.0,8.0,12.0,-3.0,5.0,1,3,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_nolan_allaer,Nolan Allaer,35,18.0,18.0,17.0,19.0,0.0,4.0,2,2,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_josh_pierson,Josh Pierson,35,11.0,17.0,11.0,21.0,-6.0,14.0,3,1,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_callum_hedge,Callum Hedge,35,10.0,9.0,9.0,11.0,1.0,3.0,2,1,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_caio_collet,Caio Collet,35,4.0,4.0,4.0,4.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_salvador_de_alba,Salvador de Alba,35,12.0,10.0,10.0,12.0,2.0,4.0,3,1,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_josh_mason,Josh Mason,35,13.0,16.0,11.0,17.0,-3.0,9.0,2,4,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,32,17.0,21.0,15.0,21.0,-4.0,10.0,2,2,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_jonathan_browne,Jonathan BROWNE,35,14.0,14.0,14.0,17.0,0.0,6.0,3,2,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_louis_foster,Louis Foster,35,20.0,5.0,5.0,20.0,15.0,15.0,9,0,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_bryce_aron,Bryce Aron,35,7.0,8.0,5.0,8.0,-1.0,5.0,1,2,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_jamie_chadwick,Jamie Chadwick,33,5.0,8.0,5.0,8.0,-3.0,3.0,0,3,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_james_roe,James Roe,35,3.0,3.0,3.0,3.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_michael_d_orlando,Michael d'Orlando,35,6.0,7.0,6.0,9.0,-1.0,7.0,2,3,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_niels_koolen,Niels Koolen,35,19.0,15.0,15.0,19.0,4.0,4.0,4,0,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_nolan_siegel,Nolan Siegel,35,2.0,2.0,2.0,2.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_jack_william_miller,Jack William Miller,35,15.0,12.0,12.0,15.0,3.0,5.0,3,1,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_jacob_abel,Jacob Abel,35,1.0,1.0,1.0,1.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_christian_bogle,Christian Bogle,35,16.0,13.0,13.0,17.0,3.0,5.0,4,1,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_lindsay_brewer,Lindsay Brewer,34,21.0,19.0,19.0,21.0,2.0,4.0,3,1,available
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,driver_myles_rowe,Myles Rowe,35,9.0,6.0,6.0,9.0,3.0,7.0,4,2,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_reece_gold,Reece Gold,35,7.0,6.0,5.0,7.0,1.0,3.0,2,1,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_nolan_allaer,Nolan Allaer,35,17.0,13.0,9.0,17.0,4.0,16.0,9,5,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_josh_pierson,Josh Pierson,6,13.0,13.0,12.0,14.0,0.0,4.0,2,2,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_callum_hedge,Callum Hedge,35,6.0,4.0,4.0,6.0,2.0,2.0,2,0,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_caio_collet,Caio Collet,32,2.0,19.0,2.0,20.0,-17.0,21.0,2,3,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_salvador_de_alba,Salvador de Alba,35,11.0,11.0,6.0,15.0,0.0,34.0,9,2,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_jordan_missig,Jordan Missig,33,20.0,18.0,10.0,20.0,2.0,20.0,9,4,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,31,8.0,20.0,6.0,20.0,-12.0,16.0,2,6,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_jonathan_browne,Jonathan BROWNE,35,9.0,8.0,6.0,9.0,1.0,11.0,5,5,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_louis_foster,Louis Foster,35,3.0,7.0,2.0,16.0,-4.0,26.0,8,2,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_bryce_aron,Bryce Aron,34,12.0,14.0,12.0,19.0,-2.0,14.0,6,3,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_jamie_chadwick,Jamie Chadwick,35,5.0,3.0,3.0,5.0,2.0,2.0,2,0,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_james_roe,James Roe,34,21.0,15.0,14.0,21.0,6.0,10.0,7,2,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_michael_d_orlando,Michael d'Orlando,35,10.0,12.0,6.0,15.0,-2.0,24.0,10,4,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_niels_koolen,Niels Koolen,35,19.0,10.0,8.0,19.0,9.0,15.0,9,2,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_nolan_siegel,Nolan Siegel,35,4.0,2.0,2.0,4.0,2.0,2.0,2,0,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_jack_william_miller,Jack William Miller,34,15.0,16.0,8.0,17.0,-1.0,23.0,8,3,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_jacob_abel,Jacob Abel,35,1.0,1.0,1.0,1.0,0.0,0.0,0,0,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_christian_bogle,Christian Bogle,35,16.0,9.0,9.0,16.0,7.0,17.0,10,3,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_lindsay_brewer,Lindsay Brewer,33,18.0,17.0,17.0,21.0,1.0,7.0,4,1,available
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,driver_myles_rowe,Myles Rowe,35,14.0,5.0,5.0,14.0,9.0,13.0,9,2,available
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,driver_reece_gold,Reece Gold,35,10.0,11.0,10.0,11.0,-1.0,3.0,1,2,available
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,driver_nolan_allaer,Nolan Allaer,35,19.0,17.0,17.0,19.0,2.0,4.0,3,1,available
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,driver_josh_pierson,Josh Pierson,35,13.0,12.0,12.0,15.0,1.0,5.0,3,1,available
