sessionId,raceLabel,fieldLapDrivers,fieldMeanLapGain,fieldMedianVolatility,fieldMeanVolatility,fieldVolatilityGini,topLapChartMover,topLapChartGain,mostVolatileDriver,mostVolatileScore,bryceNetLapChartGain,bryceLapGainPercentile,bryceVolatility,bryceStabilityPercentile,bryceBestRunningPosition,bryceWorstRunningPosition,bryceFinishPosition,brycePrimaryStory,sourceState
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,21,1.1428571428571428,5.0,6.476190476190476,0.38445378151260506,Callum Hedge,5.0,Josh Pierson,20.0,1.0,0.5238095238095238,3.0,0.8571428571428571,6.0,8.0,19,incident_or_reliability_limited,official_lap_chart
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,21,0.5714285714285714,5.0,5.238095238095238,0.412987012987013,Louis Foster,15.0,Louis Foster,15.0,-1.0,0.3333333333333333,5.0,0.5238095238095238,5.0,8.0,8,steady_conversion,official_lap_chart
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,21,0.38095238095238093,14.0,13.333333333333334,0.386734693877551,Niels Koolen,9.0,Salvador de Alba,34.0,-2.0,0.23809523809523808,14.0,0.5238095238095238,12.0,19.0,14,volatile_race_shape,official_lap_chart
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,21,0.0,4.0,4.761904761904762,0.36,Salvador de Alba,5.0,Jamie Chadwick,14.0,-3.0,0.09523809523809523,9.0,0.09523809523809523,14.0,20.0,19,position_loss_race,official_lap_chart
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,21,1.0952380952380953,9.0,9.0,0.3441672965482489,Myles Rowe,10.0,Michael d'Orlando,19.0,0.0,0.42857142857142855,0.0,1.0,11.0,11.0,20,incident_or_reliability_limited,official_lap_chart
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,21,1.1904761904761905,8.0,8.80952380952381,0.3588159588159588,Nolan Allaer,7.0,Jonathan Browne,21.0,-2.0,0.19047619047619047,8.0,0.5238095238095238,5.0,9.0,8,steady_conversion,official_lap_chart
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,20,0.1,4.0,4.8,0.42291666666666666,Salvador de Alba,4.0,Reece Gold,20.0,-8.0,0.1,14.0,0.1,7.0,18.0,16,position_loss_race,official_lap_chart
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,20,1.2,8.0,7.2,0.3840277777777778,Niels Koolen,7.0,Jack William Miller,15.0,2.0,0.6,2.0,0.85,3.0,5.0,3,front_running_conversion,official_lap_chart
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,19,0.0,2.0,2.736842105263158,0.5728744939271255,Jamie Chadwick,6.0,Myles Rowe,10.0,0.0,0.6842105263157895,2.0,0.5263157894736842,18.0,19.0,18,steady_context_race,official_lap_chart
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,18,1.1111111111111112,7.0,7.111111111111111,0.2595486111111111,Myles Rowe,8.0,Reece Gold,14.0,1.0,0.4444444444444444,7.0,0.6111111111111112,8.0,11.0,8,steady_context_race,official_lap_chart
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,17,1.0,9.0,8.529411764705882,0.33427991886409736,Bryce Aron,8.0,Salvador de Alba,18.0,8.0,1.0,10.0,0.47058823529411764,6.0,14.0,6,recovery_drive,official_lap_chart
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,17,0.058823529411764705,3.0,3.4705882352941178,0.4247258225324028,Salvador de Alba,5.0,Salvador de Alba,7.0,0.0,0.5882352941176471,0.0,1.0,3.0,3.0,3,front_running_conversion,official_lap_chart
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,16,0.0,4.0,4.5,0.2204861111111111,Jacob Abel,4.0,Myles Rowe,8.0,3.0,0.9375,3.0,0.9375,4.0,7.0,4,front_running_conversion,official_lap_chart
session_indy_nxt_2024_6323,2024 Music City Grand Prix,18,0.2222222222222222,13.5,11.777777777777779,0.3270440251572327,Michael d'Orlando,10.0,Christian Bogle,23.0,4.0,0.7777777777777778,10.0,0.6111111111111112,6.0,13.0,7,volatile_race_shape,official_lap_chart
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,20,0.85,2.5,3.05,0.46475409836065573,Josh Pierson,5.0,Seb Murray,12.0,3.0,0.9,5.0,0.3,13.0,16.0,13,recovery_drive,official_lap_chart
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,20,0.15,6.0,5.75,0.45521739130434785,Jack William Miller,8.0,Caio Collet,17.0,-7.0,0.1,11.0,0.15,8.0,17.0,15,position_loss_race,official_lap_chart
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,21,0.7619047619047619,7.0,5.619047619047619,0.43422114608555284,Dennis Hauger,11.0,Niels Koolen,13.0,1.0,0.6666666666666666,11.0,0.19047619047619047,12.0,16.0,15,volatile_race_shape,official_lap_chart
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,21,0.19047619047619047,7.0,6.380952380952381,0.3383084577114428,Nikita Johnson,6.0,Jordan Missig,14.0,5.0,0.9047619047619048,11.0,0.19047619047619047,15.0,20.0,15,volatile_race_shape,official_lap_chart
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,18,0.1111111111111111,4.0,6.777777777777778,0.4763205828779599,Niels Koolen,4.0,Callum Hedge,18.0,1.0,0.6111111111111112,9.0,0.4444444444444444,9.0,12.0,10,recovery_drive,official_lap_chart
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,19,0.0,3.0,3.3684210526315788,0.22697368421052633,Davey Hamilton Jr.,4.0,Lochie Hughes,6.0,0.0,0.5789473684210527,2.0,0.8947368421052632,13.0,14.0,14,steady_context_race,official_lap_chart
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,19,0.0,1.0,2.1052631578947367,0.4605263157894737,James Roe,4.0,Jordan Missig,10.0,1.0,0.8421052631578947,1.0,0.8947368421052632,9.0,10.0,9,steady_context_race,official_lap_chart
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,19,0.631578947368421,1.0,2.1052631578947367,0.65,Myles Rowe,9.0,Myles Rowe,9.0,-3.0,0.05263157894736842,3.0,0.3157894736842105,9.0,12.0,12,steady_context_race,official_lap_chart
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,19,0.0,7.0,8.842105263157896,0.33521303258145363,Max Taylor,7.0,Lochie Hughes,22.0,5.0,0.8947368421052632,7.0,0.6842105263157895,9.0,14.0,9,steady_context_race,official_lap_chart
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,17,0.29411764705882354,2.0,2.176470588235294,0.5151033386327504,Niels Koolen,3.0,Liam Sceats,6.0,-1.0,0.11764705882352941,5.0,0.17647058823529413,7.0,10.0,10,steady_context_race,official_lap_chart
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,18,0.8888888888888888,5.5,5.777777777777778,0.41239316239316237,Jack William Miller,7.0,Lochie Hughes,13.0,,,,,,,19,incident_or_reliability_limited,official_lap_chart
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,18,0.0,5.0,4.666666666666667,0.4351851851851852,JM Correa,9.0,Nolan Allaer,9.0,,,,,,,19,incident_or_reliability_limited,official_lap_chart
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,18,0.2222222222222222,4.5,4.555555555555555,0.44037940379403795,Hailie Deegan,4.0,Jordan Missig,14.0,2.0,0.8888888888888888,6.0,0.3888888888888889,5.0,9.0,5,front_running_conversion,official_lap_chart
session_indy_nxt_2025_6447,2025 Music City Grand Prix,18,0.5555555555555556,5.5,6.333333333333333,0.3304093567251462,Myles Rowe,6.0,Michael d'Orlando,18.0,0.0,0.4444444444444444,2.0,0.9444444444444444,6.0,7.0,6,steady_conversion,official_lap_chart
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,24,0.8333333333333334,3.0,4.0,0.5677083333333334,Jack Beeton,12.0,Jack Beeton,14.0,-1.0,0.375,9.0,0.20833333333333334,16.0,18.0,18,steady_context_race,official_lap_chart
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,23,0.6086956521739131,5.0,7.913043478260869,0.4271380793119924,Alessandro de Tullio,12.0,Jack Beeton,29.0,2.0,0.6086956521739131,6.0,0.4782608695652174,18.0,21.0,18,recovery_drive,official_lap_chart
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,23,0.0,4.0,6.173913043478261,0.41151255358236377,JM Correa,10.0,Alessandro de Tullio,25.0,-1.0,0.2608695652173913,5.0,0.4782608695652174,7.0,10.0,8,steady_conversion,official_lap_chart
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,24,0.0,0.0,1.25,0.6972222222222222,Colin Kaminsky,3.0,Josh Pierson,8.0,0.0,0.8333333333333334,0.0,1.0,7.0,7.0,7,steady_context_race,official_lap_chart
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,24,0.16666666666666666,18.0,17.333333333333332,0.23958333333333334,Niels Koolen,14.0,Colin Kaminsky,30.0,-8.0,0.16666666666666666,24.0,0.20833333333333334,10.0,22.0,22,position_loss_race,official_lap_chart
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,24,0.20833333333333334,8.0,7.041666666666667,0.44501972386587774,Bryce Aron,10.0,Alexander Koreiba,17.0,10.0,1.0,10.0,0.4166666666666667,12.0,22.0,12,volatile_race_shape,official_lap_chart
