sessionId,raceLabel,sessionPenaltyCount,sessionIncidentCount,brycePenaltyCount,bryceIncidentCount,penaltyTypes,incidentTypes,mostIncidentExposedDriver,mostPenaltyExposedDriver,bryceIncidentDescriptions,brycePenaltyDescriptions,sourceState
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,2,5,0,2,yield_positions:2,caution_contact:2; contact:2; mechanical:1,Bryce Aron,Reece Gold,"Official caution 1 ran from lap 32 to lap 35 for Contact - Car 27 - Exit of turn 10. | Official INDY NXT result status reported ""Contact"" for Bryce Aron.",,official_results_pdf_summaries
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,0,2,0,0,,caution_off_course:1; caution:1,Yuven Sundaramoorthy,,,,official_results_pdf_summaries
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,5,2,0,0,yield_positions:2; drive_through:2; back_of_field:1,caution_off_course:1; caution_contact:1,Yuven Sundaramoorthy,Nolan Allaer,,,official_results_pdf_summaries
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,3,0,1,0,yield_positions:2; drive_through:1,,,Josh Pierson,,drive_through Avoidable Contact,official_results_pdf_summaries
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,4,7,0,2,yield_positions:2; drive_through:1; disqualification:1,contact:3; caution_contact:2; caution_off_course:1; caution:1,Bryce Aron,Ricardo Escotto,"Official caution 1 ran from lap 3 to lap 8 for Contact: Car 27 in Turn 7. | Official INDY NXT result status reported ""Contact"" for Bryce Aron.",,official_results_pdf_summaries
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,1,6,0,0,drive_through:1,caution_contact:2; contact:2; caution_off_course:1; mechanical:1,Salvador de Alba,Kiko Porto,,,official_results_pdf_summaries
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,0,2,0,0,,caution_contact:1; mechanical:1,Reece Gold,,,,official_results_pdf_summaries
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,4,3,0,0,drive_through:2; yield_positions:1; no_further_penalty:1,caution_contact:1; mechanical:1; contact:1,Callum Hedge,Jonathan Browne,,,official_results_pdf_summaries
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,0,2,0,1,,caution_contact:1; mechanical:1,Jordan Missig,,"Official caution 1 ran from lap 1 to lap 3 for Contact: Cars 21, 27, 28 and 40 in Turn 4.",,official_results_pdf_summaries
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,0,5,0,0,,contact:3; caution_contact:2,Caio Collet,,,,official_results_pdf_summaries
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,1,8,0,0,pending:1,contact:5; caution_contact:3,Myles Rowe,Caio Collet,,,official_results_pdf_summaries
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,4,2,0,0,no_further_penalty:1; drive_through:1; yield_positions:1; pending:1,caution_contact:1; contact:1,Ricardo Escotto,Ricardo Escotto,,,official_results_pdf_summaries
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,2,4,0,0,yield_positions:1; stop_and_repair:1,dns:2; caution:1; mechanical:1,Myles Rowe,Christian Brooks,,,official_results_pdf_summaries
session_indy_nxt_2024_6323,2024 Music City Grand Prix,2,2,0,0,drive_through:2,caution_contact:1; contact:1,Jamie Chadwick,Jack William Miller,,,official_results_pdf_summaries
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,1,8,0,0,stop_and_hold:1,caution_contact:4; contact:4,James Roe,Tommy Smith,,,official_results_pdf_summaries
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,0,4,0,0,,mechanical:2; caution_off_course:1; caution_debris:1,Callum Hedge,,,,official_results_pdf_summaries
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,1,5,0,0,stop_and_hold:1,contact:3; caution_contact:2,JM Correa,Niels Koolen,,,official_results_pdf_summaries
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,4,2,1,0,yield_positions:3; drive_through:1,caution_contact:1; mechanical:1,Nolan Allaer,Nolan Allaer,,yield_positions Avoidable Contact,official_results_pdf_summaries
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,4,7,0,0,pending:3; stop_and_hold:1,contact:5; caution_contact:2,Jordan Missig,James Roe,,,official_results_pdf_summaries
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,0,0,0,0,,,,,,,official_results_pdf_summaries
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,0,0,0,0,,,,,,,official_results_pdf_summaries
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,2,3,0,0,yield_positions:1; drive_through:1,contact:2; caution_contact:1,Seb Murray,Niels Koolen,,,official_results_pdf_summaries
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,1,3,0,0,drive_through:1,caution:3,Josh Pierson,Lochie Hughes,,,official_results_pdf_summaries
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,1,4,0,0,drive_through:1,contact:2; caution_off_course:1; mechanical:1,Seb Murray,JM Correa,,,official_results_pdf_summaries
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,6,8,0,2,drive_through:3; no_further_penalty:1; stop_and_hold:1; yield_positions:1,caution_contact:4; contact:4,Liam Sceats,Tommy Smith,"Official caution 1 ran from lap 1 to lap 5 for Contact: Cars 9, 16, and 30 in Turn 3. | Official INDY NXT result status reported ""Contact"" for Bryce Aron.",,official_results_pdf_summaries
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,0,2,0,2,,caution_contact:1; contact:1,Bryce Aron,,"Official caution 1 ran from lap 1 to lap 3 for Contact: Car 9 in Turn 1. | Official INDY NXT result status reported ""Contact"" for Bryce Aron.",,official_results_pdf_summaries
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,0,3,0,0,,contact:2; caution_contact:1,Jack William Miller,,,,official_results_pdf_summaries
session_indy_nxt_2025_6447,2025 Music City Grand Prix,2,2,0,0,yield_positions:1; stop_and_hold:1,caution_contact:1; contact:1,Callum Hedge,Michael d'Orlando,,,official_results_pdf_summaries
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,2,8,0,0,back_of_field:2,contact:4; caution_contact:3; caution_debris:1,Carson Etter,Matteo Nannini,,,official_results_pdf_summaries
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,4,4,0,0,drive_through:2; back_of_field:1; stop_and_hold:1,caution_contact:2; contact:2,Colin Kaminsky,Jack Beeton,,,official_results_pdf_summaries
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,2,3,0,0,stop_and_hold:2,caution_contact:2; contact:1,Josh Pierson,Seb Murray,,,official_results_pdf_summaries
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,2,0,0,0,yield_positions:1; stop_and_hold:1,,,Josh Pierson,,,official_results_pdf_summaries
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,2,2,0,1,drive_through:1; back_of_field:1,caution:2,Bryce Aron,Seb Murray,Official caution 2 ran from lap 29 to lap 29 for Spin: Car 9 in Turn 3.,,official_results_pdf_summaries
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,7,1,0,0,yield_positions:4; drive_through:2; no_further_penalty:1,contact:1,Myles Rowe,Ricardo Escotto,,,official_results_pdf_summaries
session_indy_nxt_2026_6749,2026 Detroit Grand Prix,6,6,0,0,drive_through:3; yield_positions:2; stop_and_hold:1,caution_contact:3; contact:2; caution_debris:1,Niels Koolen,Matteo Nannini,,,official_results_pdf_summaries
session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,1,7,0,1,pending:1,contact:3; caution_contact:2; caution_debris:1; mechanical:1,Alexander Koreiba,Salvador de Alba,"Official INDY NXT result status reported ""Mechanical"" for Bryce Aron.",,official_results_pdf_summaries
session_indy_nxt_2026_6762,2026 Grand Prix at Road America Race 1 R1,2,5,1,1,pending:1; drive_through:1,caution_contact:3; contact:2,Jordan Missig,Alexander Koreiba,Official caution 3 ran from lap 9 to lap 10 for Contact: Cars 9 and 57 in Turn 1.,drive_through Avoidable Contact,official_results_pdf_summaries
session_indy_nxt_2026_6754,2026 Grand Prix at Road America Race 2 R2,2,3,0,0,disqualification:2,caution_off_course:1; caution_contact:1; contact:1,Colin Kaminsky,Alessandro de Tullio,,,official_results_pdf_summaries
