sessionId,raceLabel,leaderLapRows,leaderCount,leaderChangesFromLapRows,topLeader,topLeaderLaps,topLeaderShare,leaderEntropy,bryceLapsLedFromLeaderSummary,sourceState
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,45,1,0,Nolan Siegel,45,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,35,1,0,Jacob Abel,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,35,1,0,Jacob Abel,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,35,2,1,Caio Collet,24,0.6857142857142857,0.8980587934501658,0,official_leader_lap_summary
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,45,1,0,Louis Foster,45,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,20,1,0,Jamie Chadwick,20,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,35,1,0,Louis Foster,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,35,1,0,Louis Foster,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,35,1,0,Caio Collet,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,55,2,1,James Roe,49,0.8909090909090909,0.49716776141607527,0,official_leader_lap_summary
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,75,1,0,Louis Foster,75,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,35,1,0,Jacob Abel,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,90,1,0,Louis Foster,90,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2024_6323,2024 Music City Grand Prix,65,1,0,Louis Foster,65,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,44,1,0,Dennis Hauger,44,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,35,1,0,Dennis Hauger,35,1.0,0.0,0,official_leader_lap_summary
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,35,1,0,Lochie Hughes,35,1.0,0.0,0,official_leader_lap_summary
