sessionId,raceLabel,seasonYear,trackName,trackType,teamName,startPosition,finishPosition,positionGain,finishPercentile,conversionPercentileDelta,paceIndex,bestLapRank,medianSectionPercentile,sectionComparisonRows,bryceLapGainPercentile,bryceStabilityPercentile,chaosExposureIndex,cautionShare,sessionIncidentCount,sessionPenaltyCount,bryceVsTeamAvgFinish,teamFinishRank,leaderEntropy,weatherContext,archetype,sourceState,confidence,caveat
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,2024,Streets of St. Petersburg,street,Andretti Global,8.0,19.0,-11.0,0.1429,-0.5071,0.7055555555555556,5.0,0.6111111111111112,337,0.5238095238095238,0.8571428571428571,0.3111111111111111,0.1111111111111111,5,2,4.5,3,0.0,dry/moderate/medium,incident_or_reliability_limited,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,2024,Barber Motorsports Park,road,Andretti Global,7.0,8.0,-1.0,0.6667,-0.033299999999999996,0.7,6.0,0.65,385,0.3333333333333333,0.5238095238095238,0.1395238095238095,0.0571428571428571,2,0,-1.0,3,0.0,dry/moderate/high,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,2024,Indianapolis Motor Speedway Road Course,road,Andretti Global,11.0,14.0,-3.0,0.381,-0.119,0.5868421052631578,7.0,0.4736842105263158,434,0.23809523809523808,0.5238095238095238,0.4116666666666667,0.2,2,5,4.25,3,0.0,dry/cool/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,2024,Indianapolis Motor Speedway Road Course,road,Andretti Global,11.0,19.0,-8.0,0.1429,-0.3571,0.8,5.0,,,0.09523809523809523,0.09523809523809523,0.29461175869003314,0.0,0,3,9.0,4,0.8980587934501658,dry/cool/high,hidden_pace_bad_result,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,2024,Detroit Downtown Street Circuit,street,Andretti Global,11.0,20.0,-9.0,0.0952,-0.4048,0.050000000000000044,20.0,,36,0.42857142857142855,1.0,0.5055555555555555,0.2888888888888888,7,4,7.75,4,0.0,wet/moderate/medium,incident_or_reliability_limited,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,2024,Road America,road,Andretti Global,7.0,8.0,-1.0,0.6667,-0.033299999999999996,0.6277777777777778,7.0,0.5555555555555556,439,0.19047619047619047,0.5238095238095238,0.385,0.2,6,1,0.75,3,0.0,dry/cool/high,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,2024,WeatherTech Raceway Laguna Seca,road,Andretti Global,9.0,16.0,-7.0,0.25,-0.32894736842105265,0.5657894736842105,8.0,0.5,528,0.1,0.1,0.1295238095238095,0.0571428571428571,2,0,8.25,4,0.0,dry/moderate/medium,conversion_loss,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,2024,WeatherTech Raceway Laguna Seca,road,Andretti Global,5.0,3.0,2.0,0.9,0.1105263157894737,0.6705366357069144,7.0,0.6568627450980392,560,0.6,0.85,0.2914285714285714,0.0285714285714285,3,4,-4.25,2,0.0,dry/moderate/medium,podium_top5_conversion,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,2024,Mid-Ohio Sports Car Course,road,Andretti Global,14.0,18.0,-4.0,0.1053,-0.17247777777777779,0.5163398692810457,11.0,0.5882352941176471,542,0.6842105263157895,0.5263157894736842,0.12095238095238095,0.0857142857142857,2,0,6.75,4,0.0,dry/moderate/low,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,2024,Iowa Speedway,oval,Andretti Global,9.0,8.0,1.0,0.6111,0.08168823529411762,0.5,9.0,0.47058823529411764,440,0.4444444444444444,0.6111111111111112,0.5324638553135181,0.4909090909090909,5,0,3.5,4,0.49716776141607527,dry/hot/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,2024,World Wide Technology Raceway,oval,Andretti Global,13.0,6.0,7.0,0.7222,0.42808235294117647,0.5962566844919786,7.0,0.5454545454545454,600,1.0,0.47058823529411764,0.41633333333333333,0.2533333333333333,8,1,-2.25,2,0.0,dry/hot/high,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,2024,Portland International Raceway,road,Andretti Global,6.0,3.0,3.0,0.8824,0.19489999999999996,0.6145833333333334,8.0,0.6666666666666667,455,0.5882352941176471,1.0,0.2195238095238095,0.0571428571428571,2,4,-5.75,2,0.0,dry/moderate/low,podium_top5_conversion,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,2024,The Milwaukee Mile,oval,Andretti Global,7.0,4.0,3.0,0.8333,0.18624117647058835,0.792016806722689,2.0,0.6428571428571428,810,0.9375,0.9375,0.23666666666666664,0.0333333333333333,4,2,0.0,2,0.0,dry/hot/medium,podium_top5_conversion,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2024_6323,2024 Music City Grand Prix,2024,Nashville Superspeedway,oval,Andretti Global,10.0,7.0,3.0,0.6667,0.19611176470588237,0.6047794117647058,7.0,0.5625,520,0.7777777777777778,0.6111111111111112,0.2885897435897436,0.0923076923076923,2,2,-0.25,3,0.0,dry/moderate/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,2025,Streets of St. Petersburg,street,HMD Motorsports,20.0,13.0,7.0,0.4286,0.3786,0.285233918128655,15.0,0.27046783625730997,484,0.9,0.3,0.3409090909090909,0.2272727272727272,8,1,0.3333333333333339,5,0.0,dry/moderate/medium,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,2025,Barber Motorsports Park,road,Chip Ganassi Racing,6.0,15.0,-9.0,0.3,-0.436842105263158,0.3315789473684211,15.0,0.4,385,0.1,0.15,0.25047619047619046,0.1428571428571428,4,0,1.0,2,0.0,dry/cool/medium,conversion_loss,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,2025,Indianapolis Motor Speedway Road Course,road,Chip Ganassi Racing,18.0,15.0,3.0,0.3333,0.1833,0.3625,14.0,0.375,455,0.6666666666666666,0.19047619047619047,0.30738095238095237,0.1142857142857142,5,1,-1.5,1,0.0,dry/cool/low,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,2025,Indianapolis Motor Speedway Road Course,road,Chip Ganassi Racing,18.0,15.0,3.0,0.3333,0.1833,0.4328947368421053,10.0,0.3157894736842105,455,0.9047619047619048,0.19047619047619047,0.377858365240275,0.0571428571428571,2,4,4.5,2,0.5916727785823274,dry/moderate/low,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
