driverId,driverName,officialMostImprovedCount,sourceState
driver_niels_koolen,Niels Koolen,6,official_event_summary_racecraft
driver_myles_rowe,Myles Rowe,6,official_event_summary_racecraft
driver_jack_william_miller,Jack William Miller,3,official_event_summary_racecraft
driver_liam_sceats,Liam Sceats,2,official_event_summary_racecraft
driver_max_taylor,Max Taylor,2,official_event_summary_racecraft
driver_jack_beeton,Jack Beeton,2,official_event_summary_racecraft
driver_louis_foster,Louis Foster,1,official_event_summary_racecraft
driver_christian_brooks,Christian Brooks,1,official_event_summary_racecraft
driver_salvador_de_alba,Salvador de Alba,1,official_event_summary_racecraft
driver_bryce_aron,Bryce Aron,1,official_event_summary_racecraft
driver_jonathan_browne,Jonathan Browne,1,official_event_summary_racecraft
driver_callum_hedge,Callum Hedge,1,official_event_summary_racecraft
driver_jamie_chadwick,Jamie Chadwick,1,official_event_summary_racecraft
driver_nikita_johnson,Nikita Johnson,1,official_event_summary_racecraft
driver_josh_pierson,Josh Pierson,1,official_event_summary_racecraft
driver_michael_d_orlando,Michael d'Orlando,1,official_event_summary_racecraft
driver_seb_murray,Seb Murray,1,official_event_summary_racecraft
driver_jm_correa,JM Correa,1,official_event_summary_racecraft
driver_enzo_fittipaldi,Enzo Fittipaldi,1,official_event_summary_racecraft
driver_alexander_koreiba,Alexander Koreiba,1,official_event_summary_racecraft
driver_tymek_kucharczyk,Tymek Kucharczyk,1,official_event_summary_racecraft
driver_carson_etter,Carson Etter,1,official_event_summary_racecraft
