sessionId,raceLabel,sectionComparisonRows,medianSectionPercentile,topQuartileShare,bottomQuartileShare,bestSectionFamilies,weakestSectionFamilies,sourceState,caveat
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,337,0.6111111111111112,0.3115727002967359,0.10385756676557864,Turn 10:0.76; Turn 4:0.72; Turn 9a:0.65; Turns 13/14:0.64,FS-PI:0.39; Turn 9:0.48; Turn 1:0.52; Turns 5-8:0.52,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,385,0.65,0.36623376623376624,0.17922077922077922,Turn 17:0.77; Turns 1-3:0.74; FS-PO:0.73; Turns 5-6:0.66,Turn 4:0.32; Turns 8-9:0.40; Turn 10:0.43; Turn 11:0.48,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,434,0.4736842105263158,0.27419354838709675,0.31336405529953915,Backstretch:0.62; Turn 14:0.57; FS - PI:0.57; Turn 10:0.56,Turn 3:0.34; Turn 11:0.34; Turn 1/2:0.39; Turn 12/13:0.41,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,36,0.5,0.1388888888888889,0.16666666666666666,I16 to SF:0.92; I12 to I13:0.73; I4 to I5:0.65; I5 to I6:0.65,I15 to I16:0.18; I2A to I2:0.30; I2 to I3:0.30; SF to I1:0.33,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,439,0.5555555555555556,0.2847380410022779,0.15034168564920272,I10 to I11:0.74; I13 to I13A:0.70; I11 to I11B:0.67; I9 to I10:0.66,PI to PO:0.08; I2 to I3:0.32; PO to SF:0.33; SF to PI:0.38,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,528,0.5,0.21022727272727273,0.23106060606060605,Turn 3:0.77; Turn 4:0.69; Turn 7:0.62; Turn 4A:0.61,Turn 9:0.33; FS - PI:0.35; Corkscrew:0.37; Turn 6:0.37,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,560,0.6568627450980392,0.36964285714285716,0.10357142857142858,Turn 3:0.86; Turn 4:0.80; Turn 2:0.75; Turn 1 Exit:0.74,Turn 6:0.36; Corkscrew:0.41; Turn 7:0.49; Turn 1 Entry:0.51,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,542,0.5882352941176471,0.3966789667896679,0.25276752767527677,Turn 13:0.83; Turn 5:0.83; Turn 12C:0.79; Turn 2:0.77,Turn 1A:0.27; Turn 1:0.33; Turn 3:0.35; Turn 12:0.39,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,440,0.47058823529411764,0.2,0.2340909090909091,T3 to SS2:0.54; T2 to BS:0.53; BS to T3:0.49; T1 to SS1:0.49,SF to T1:0.42; SS1 to T2:0.47; SS2 to T4:0.48; T4 to SF:0.48,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,600,0.5454545454545454,0.31,0.24666666666666667,FS - PO:0.66; Turn 3:0.57; FS - PI:0.57; BS - T3:0.56,BS - T2:0.40; Turn 2:0.47; Turn 1:0.47; Turn 4:0.54,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,455,0.6666666666666667,0.3758241758241758,0.14945054945054945,Turn 2:0.80; Turn 12:0.77; Turn 6:0.74; Turn 3:0.71,Turn 9:0.35; FS-PO:0.48; Turn 5:0.48; Turn 8:0.51,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,810,0.6428571428571428,0.37777777777777777,0.1419753086419753,SS1 to T2:0.77; T3 to SS2:0.71; BS to T3:0.71; T2 to BS:0.67,T4 to FS:0.37; FS to SF:0.50; SF to T1:0.57; SS2 to T4:0.58,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2024_6323,2024 Music City Grand Prix,520,0.5625,0.3346153846153846,0.21346153846153845,Turn 1 Exit:0.60; BackStretch Exit:0.58; Turn 1 Entry:0.58; Turn 3:0.57,Turn 4 Entry:0.50; Turn 4 Exit:0.52; Turn 2 Entry:0.52; BackStretch Entry:0.56,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,484,0.27046783625730997,0.1384297520661157,0.493801652892562,Turns 5-8:0.52; Turn 1:0.41; Turns 2/3:0.41; Turns 11/12:0.37,FS-PO:0.27; Turn 9a:0.27; Turn 10:0.30; Turn 4:0.30,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,385,0.4,0.21298701298701297,0.36623376623376624,Turns 5-6:0.68; Turns 14-16:0.62; Turn 17:0.57; Turns 12-13:0.48,Turn 10:0.26; Turn 11:0.27; Turns 8-9:0.34; Turn 7:0.35,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
