sessionId,raceLabel,sectionName,comparisonRows,meanPercentile,medianPercentile,topQuartileShare,bottomQuartileShare,sourceState
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,FS-PO,31,0.6035709133681769,0.65,0.3225806451612903,0.06451612903225806,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turn 1,31,0.5157866995128555,0.5,0.2903225806451613,0.1935483870967742,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turns 2/3,31,0.5621580833804942,0.631578947368421,0.2903225806451613,0.12903225806451613,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turn 4,31,0.7152424070930014,0.75,0.5161290322580645,0.06451612903225806,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turns 5-8,31,0.51877004338804,0.6111111111111112,0.0967741935483871,0.1935483870967742,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turn 9,31,0.4847858894548199,0.4736842105263158,0.0967741935483871,0.16129032258064516,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turn 9a,31,0.6539803810601773,0.7,0.41935483870967744,0.0,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turn 10,31,0.7578287115638559,0.8,0.6451612903225806,0.03225806451612903,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turns 11/12,31,0.6219392567440106,0.65,0.3548387096774194,0.06451612903225806,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,Turns 13/14,29,0.6433988114301982,0.6111111111111112,0.3103448275862069,0.0,official_section_results
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,FS-PI,29,0.3912055324247061,0.38888888888888884,0.06896551724137931,0.2413793103448276,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,FS-PO,35,0.7284593837535014,0.8,0.6857142857142857,0.08571428571428572,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 1-3,35,0.7417175291169099,0.75,0.6857142857142857,0.02857142857142857,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 4,35,0.32259570494864614,0.25,0.05714285714285714,0.5714285714285714,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 5-6,35,0.6613740232935279,0.75,0.5142857142857142,0.11428571428571428,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 7,35,0.5999906629318394,0.65,0.37142857142857144,0.17142857142857143,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 8-9,35,0.40242911199567544,0.35,0.02857142857142857,0.3142857142857143,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 10,35,0.4291596638655462,0.44999999999999996,0.08571428571428572,0.22857142857142856,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 11,35,0.4848557668681508,0.5,0.14285714285714285,0.17142857142857143,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 12-13,35,0.6255378642685144,0.7,0.34285714285714286,0.11428571428571428,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 14-16,35,0.6061049683031108,0.6,0.4,0.02857142857142857,official_section_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 17,35,0.7745673006044523,0.9,0.7142857142857143,0.14285714285714285,official_section_results
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,FS - PO,33,0.5445955947503935,0.6,0.36363636363636365,0.24242424242424243,official_section_results
