sessionId,raceLabel,seasonYear,teamId,teamName,bryceFinish,teamCars,teammates,teamBestFinish,teamWorstFinish,teamAverageFinish,bryceVsTeamAvgFinish,bryceTeamFinishRank,teamTop10Count,teamIssueLikeStatuses,statusCaveat,sourceState
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,2024,team_andretti_global,Andretti Global,19,4,James Roe; Jamie Chadwick; Louis Foster,3,20,14.5,4.5,3,1,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,2024,team_andretti_global,Andretti Global,8,4,James Roe; Jamie Chadwick; Louis Foster,3,20,9,-1,3,3,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,2024,team_andretti_global,Andretti Global,14,4,James Roe; Jamie Chadwick; Louis Foster,3,15,9.75,4.25,3,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,2024,team_andretti_global,Andretti Global,19,4,James Roe; Jamie Chadwick; Louis Foster,1,19,10,9,4,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,2024,team_andretti_global,Andretti Global,20,4,James Roe; Jamie Chadwick; Louis Foster,1,20,12.25,7.75,4,1,2,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,2024,team_andretti_global,Andretti Global,8,4,James Roe; Jamie Chadwick; Louis Foster,1,18,7.25,0.75,3,3,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,2024,team_andretti_global,Andretti Global,16,4,James Roe; Jamie Chadwick; Louis Foster,1,16,7.75,8.25,4,3,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,2024,team_andretti_global,Andretti Global,3,4,James Roe; Jamie Chadwick; Louis Foster,1,19,7.25,-4.25,2,3,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,2024,team_andretti_global,Andretti Global,18,4,James Roe; Jamie Chadwick; Louis Foster,2,18,11.25,6.75,4,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,2024,team_andretti_global,Andretti Global,8,4,James Roe; Jamie Chadwick; Louis Foster,1,8,4.5,3.5,4,4,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,2024,team_andretti_global,Andretti Global,6,4,James Roe; Jamie Chadwick; Louis Foster,1,16,8.25,-2.25,2,3,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,2024,team_andretti_global,Andretti Global,3,4,James Roe; Jamie Chadwick; Louis Foster,2,16,8.75,-5.75,2,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,2024,team_andretti_global,Andretti Global,4,4,James Roe; Jamie Chadwick; Louis Foster,1,6,4,0,2,4,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2024_6323,2024 Music City Grand Prix,2024,team_andretti_global,Andretti Global,7,4,James Roe; Jamie Chadwick; Louis Foster,1,17,7.25,-0.25,3,3,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,2025,team_hmd_motorsports,HMD Motorsports,13,9,Caio Collet; Hailie Deegan; Josh Pierson; Liam Sceats; Nikita Johnson; Nolan Allaer; Sophia Floersch; Tommy Smith,3,19,12.666666666666666,0.3333333333333339,5,2,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,2025,team_chip_ganassi_racing,Chip Ganassi Racing,15,2,Niels Koolen,13,15,14,1,2,0,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,2025,team_chip_ganassi_racing,Chip Ganassi Racing,15,2,Niels Koolen,15,18,16.5,-1.5,1,0,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,2025,team_chip_ganassi_racing,Chip Ganassi Racing,15,2,Niels Koolen,6,15,10.5,4.5,2,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,2025,team_chip_ganassi_racing,Chip Ganassi Racing,10,2,Niels Koolen,9,10,9.5,0.5,2,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,2025,team_chip_ganassi_racing,Chip Ganassi Racing,14,2,Niels Koolen,10,14,12,2,2,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,2025,team_chip_ganassi_racing,Chip Ganassi Racing,9,2,Niels Koolen,9,15,12,-3,1,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,2025,team_chip_ganassi_racing,Chip Ganassi Racing,12,2,Niels Koolen,12,14,13,-1,1,0,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,2025,team_chip_ganassi_racing,Chip Ganassi Racing,9,2,Niels Koolen,5,9,7,2,2,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,2025,team_chip_ganassi_racing,Chip Ganassi Racing,10,2,Niels Koolen,10,11,10.5,-0.5,1,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,2025,team_chip_ganassi_racing,Chip Ganassi Racing,19,2,Niels Koolen,6,19,12.5,6.5,2,1,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,2025,team_chip_ganassi_racing,Chip Ganassi Racing,19,2,Niels Koolen,6,19,12.5,6.5,2,1,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,2025,team_chip_ganassi_racing,Chip Ganassi Racing,5,2,Niels Koolen,5,12,8.5,-3.5,1,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2025_6447,2025 Music City Grand Prix,2025,team_chip_ganassi_racing,Chip Ganassi Racing,6,2,Niels Koolen,6,7,6.5,-0.5,1,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,2026,team_chip_ganassi_racing,Chip Ganassi Racing,18,4,Carson Etter; James Roe; Niels Koolen,18,24,21.25,-3.25,1,0,3,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,2026,team_chip_ganassi_racing,Chip Ganassi Racing,18,4,Carson Etter; James Roe; Niels Koolen,13,19,16.75,1.25,3,0,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,2026,team_chip_ganassi_racing,Chip Ganassi Racing,8,4,Carson Etter; James Roe; Niels Koolen,8,23,17.25,-9.25,1,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,2026,team_chip_ganassi_racing,Chip Ganassi Racing,7,4,Carson Etter; James Roe; Niels Koolen,7,21,15,-8,1,1,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,2026,team_chip_ganassi_racing,Chip Ganassi Racing,22,4,Carson Etter; James Roe; Niels Koolen,8,22,14.25,7.75,4,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,2026,team_chip_ganassi_racing,Chip Ganassi Racing,12,4,Carson Etter; James Roe; Niels Koolen,12,22,16.75,-4.75,1,0,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6749,2026 Detroit Grand Prix,2026,team_chip_ganassi_racing,Chip Ganassi Racing,8,4,Carson Etter; James Roe; Niels Koolen,8,23,17,-9,1,1,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,2026,team_chip_ganassi_racing,Chip Ganassi Racing,23,4,Carson Etter; James Roe; Niels Koolen,4,23,15.25,7.75,4,1,1,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6762,2026 Grand Prix at Road America Race 1 R1,2026,team_chip_ganassi_racing,Chip Ganassi Racing,21,4,Carson Etter; James Roe; Niels Koolen,11,21,15.75,5.25,4,0,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
session_indy_nxt_2026_6754,2026 Grand Prix at Road America Race 2 R2,2026,team_chip_ganassi_racing,Chip Ganassi Racing,10,4,Carson Etter; James Roe; Niels Koolen,9,19,12.75,-2.75,2,2,0,"status taxonomy is official result status, not engineering root-cause attribution",official_results
