driverId,driverName,racesTogether,bryceAhead,bryceBehind,headToHeadWinRate,avgFinishDeltaVsRival,avgStartDeltaVsRival,sameTeamRaces,notableRaces
driver_james_roe,James Roe,40,23,17,0.575,-1.275,-1.2,26,2024 Indianapolis Grand Prix Race 2 R2 (+15) | 2024 Grand Prix at Road America (-10) | 2024 Grand Prix of Monterey Race 1 R1 (+11) | 2024 Grand Prix of Monterey Race 2 R2 (-16)
driver_josh_pierson,Josh Pierson,40,16,24,0.4,2.55,2.5,1,2024 Grand Prix of Alabama (-9) | 2024 Detroit Grand Prix (+12) | 2024 Grand Prix at Mid-Ohio (+9) | 2024 INDY NXT By Firestone at The Milwaukee Mile (-8)
driver_salvador_de_alba,Salvador de Alba,40,9,31,0.225,3.3,1.275,0,2024 Grand Prix of St. Petersburg (+10) | 2024 Indianapolis Grand Prix Race 2 R2 (+10) | 2024 Detroit Grand Prix (+13) | 2024 Grand Prix at Road America (-13)
driver_myles_rowe,Myles Rowe,40,13,27,0.325,3.775,1.45,0,2024 Grand Prix of St. Petersburg (+11) | 2024 Indianapolis Grand Prix Race 1 R1 (+9) | 2024 Indianapolis Grand Prix Race 2 R2 (+12) | 2024 Detroit Grand Prix (+16)
driver_niels_koolen,Niels Koolen,35,18,17,0.5142857142857142,0.37142857142857144,-2.9714285714285715,25,2024 Grand Prix of Monterey Race 2 R2 (-9) | 2025 Grand Prix of St. Petersburg (-8) | 2025 Indianapolis Grand Prix Race 2 R2 (+9) | 2025 Grand Prix of Monterey Race 2 R2 (+13)
driver_jordan_missig,Jordan Missig,31,14,17,0.45161290322580644,0.5161290322580645,-0.4838709677419355,0,2024 Grand Prix at Road America (-12) | 2025 Grand Prix at Road America (-10) | 2025 Grand Prix of Monterey Race 1 R1 (-8) | 2025 Grand Prix of Monterey Race 2 R2 (+9)
driver_jack_william_miller,Jack William Miller,28,15,13,0.5357142857142857,-1.75,-3.607142857142857,0,2024 OUTFRONT Showdown (-12) | 2024 Grand Prix of Portland (-12) | 2024 INDY NXT By Firestone at The Milwaukee Mile (-12) | 2024 Music City Grand Prix (-8)
driver_callum_hedge,Callum Hedge,28,8,20,0.2857142857142857,3.2142857142857144,2.3214285714285716,0,2024 Grand Prix of St. Petersburg (+8) | 2024 Indianapolis Grand Prix Race 1 R1 (+10) | 2024 Indianapolis Grand Prix Race 2 R2 (+9) | 2024 Detroit Grand Prix (+17)
driver_caio_collet,Caio Collet,28,7,21,0.25,6.321428571428571,6.928571428571429,1,2024 Grand Prix of St. Petersburg (+12) | 2024 Indianapolis Grand Prix Race 2 R2 (+16) | 2024 Detroit Grand Prix (+18) | 2024 Grand Prix of Monterey Race 1 R1 (+14)
driver_lochie_hughes,Lochie Hughes,26,5,21,0.19230769230769232,6.384615384615385,7.384615384615385,0,2025 Grand Prix of St. Petersburg (+11) | 2025 Grand Prix of Alabama (+12) | 2025 Indianapolis Grand Prix Race 1 R1 (+14) | 2025 Indianapolis Grand Prix Race 2 R2 (+13)
driver_nolan_allaer,Nolan Allaer,25,16,9,0.64,-2.32,-3.72,1,2024 Grand Prix of Alabama (-10) | 2024 Grand Prix of Monterey Race 2 R2 (-11) | 2024 Grand Prix at Mid-Ohio (+10) | 2025 INDY NXT by Firestone at Iowa Speedway (-10)
driver_seb_murray,Seb Murray,25,11,14,0.44,0.92,1.72,0,2025 Grand Prix of Monterey Race 2 R2 (+14) | 2025 INDY NXT by Firestone at the Milwaukee Mile (-11) | 2026 Grand Prix of St. Petersburg (+14) | 2026 Grand Prix of Arlington (+11)
driver_ricardo_escotto,Ricardo Escotto,24,15,9,0.625,-2.7083333333333335,-3.1666666666666665,0,2024 Grand Prix of Monterey Race 2 R2 (-10) | 2024 Grand Prix of Portland (-14) | 2024 INDY NXT By Firestone at The Milwaukee Mile (-9) | 2025 Detroit Grand Prix (-10)
driver_jm_correa,JM Correa,21,7,14,0.3333333333333333,3.5714285714285716,2.142857142857143,0,2025 Grand Prix of Portland (+10) | 2026 Grand Prix of St. Petersburg (+9) | 2026 Grand Prix of Arlington (+14) | 2026 Indianapolis Grand Prix Race 1 R1 (+10)
driver_max_taylor,Max Taylor,18,7,11,0.3888888888888889,4.166666666666667,5.722222222222222,0,2025 Grand Prix of Alabama (+8) | 2025 Detroit Grand Prix (-9) | 2025 Grand Prix of Monterey Race 2 R2 (+15) | 2026 Grand Prix of St. Petersburg (+16)
driver_jonathan_browne,Jonathan Browne,15,8,7,0.5333333333333333,0.26666666666666666,-2.3333333333333335,0,2024 Grand Prix of St. Petersburg (+13) | 2024 Indianapolis Grand Prix Race 2 R2 (+11) | 2024 Detroit Grand Prix (+11) | 2024 Grand Prix at Road America (-9)
driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,15,8,7,0.5333333333333333,0.4,-1.6,0,2024 Grand Prix of Alabama (-13) | 2024 Grand Prix of Monterey Race 1 R1 (+12)
driver_nikita_johnson,Nikita Johnson,15,1,14,0.06666666666666667,8.666666666666666,8.733333333333333,1,2025 Indianapolis Grand Prix Race 2 R2 (+8) | 2026 Grand Prix of St. Petersburg (+17) | 2026 Grand Prix of Arlington (+12) | 2026 Indianapolis Grand Prix Race 1 R1 (+19)
driver_hailie_deegan,Hailie Deegan,14,12,2,0.8571428571428571,-3.357142857142857,-5.928571428571429,1,2025 Grand Prix at Road America (-9) | 2025 INDY NXT by Firestone at Iowa Speedway (-9) | 2025 Grand Prix of Monterey Race 2 R2 (+8) | 2025 INDY NXT by Firestone at the Milwaukee Mile (-9)
driver_tommy_smith,Tommy Smith,14,10,4,0.7142857142857143,-3.357142857142857,-3.5,1,2025 Grand Prix at Road America (-8) | 2025 INDY NXT by Firestone at Iowa Speedway (-8) | 2025 INDY NXT by Firestone at the Milwaukee Mile (-13) | 2025 Music City Grand Prix (-11)
driver_jamie_chadwick,Jamie Chadwick,14,7,7,0.5,-0.21428571428571427,2.4285714285714284,14,2024 Grand Prix of Alabama (-12) | 2024 Indianapolis Grand Prix Race 1 R1 (+11) | 2024 Detroit Grand Prix (+8) | 2024 Grand Prix at Mid-Ohio (+8)
driver_christian_bogle,Christian Bogle,14,7,7,0.5,0.35714285714285715,-3.4285714285714284,0,2024 Grand Prix of St. Petersburg (+9) | 2024 Detroit Grand Prix (+9) | 2024 Grand Prix of Monterey Race 1 R1 (+9) | 2024 Grand Prix of Portland (-8)
driver_jacob_abel,Jacob Abel,14,3,11,0.21428571428571427,6.714285714285714,6.214285714285714,0,2024 Grand Prix of St. Petersburg (+17) | 2024 Indianapolis Grand Prix Race 1 R1 (+13) | 2024 Indianapolis Grand Prix Race 2 R2 (+17) | 2024 Detroit Grand Prix (+15)
driver_louis_foster,Louis Foster,14,0,14,0.0,8.857142857142858,5.857142857142857,14,2024 Grand Prix of St. Petersburg (+16) | 2024 Indianapolis Grand Prix Race 2 R2 (+18) | 2024 Detroit Grand Prix (+19) | 2024 Grand Prix of Monterey Race 1 R1 (+15)
driver_dennis_hauger,Dennis Hauger,14,0,14,0.0,8.928571428571429,10.285714285714286,0,2025 Grand Prix of St. Petersburg (+12) | 2025 Grand Prix of Alabama (+14) | 2025 Indianapolis Grand Prix Race 2 R2 (+14) | 2025 Detroit Grand Prix (+9)
driver_nicholas_monteiro,Nicholas Monteiro,13,9,4,0.6923076923076923,-3.5384615384615383,-5.461538461538462,0,2026 Grand Prix of Alabama Race 2 R2 (-12) | 2026 Detroit Grand Prix (-9) | 2026 INDY NXT by Firestone at World Wide Technology Raceway (+8) | 2026 Grand Prix at Road America Race 2 R2 (-14)
