sessionId,raceLabel,lapDataState,lapSamples,firstLapPosition,finalLapPosition,bestRunningPosition,worstRunningPosition,runningPositionRange,netLapChartGain,positionVolatility,positiveLapMoves,negativeLapMoves,largestLapGain,largestLapLoss,earlyDelta,middleDelta,lateDelta
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,available,32.0,18.0,18.0,18.0,19.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,available,90.0,7.0,5.0,5.0,9.0,4.0,2.0,6.0,4.0,2.0,1.0,-1.0,-2.0,4.0,0.0
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,available,35.0,7.0,8.0,7.0,10.0,3.0,-1.0,5.0,2.0,1.0,1.0,-3.0,-3.0,0.0,2.0
session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,available,5.0,21.0,21.0,21.0,22.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,-1.0,0.0,
session_indy_nxt_2025_6444,2025 Indianapolis Grand Prix Race 1 R1,available,35.0,16.0,15.0,12.0,16.0,4.0,1.0,11.0,5.0,2.0,2.0,-3.0,0.0,2.0,-1.0
session_indy_nxt_2026_6749,2026 Detroit Grand Prix,available,42.0,7.0,8.0,6.0,9.0,3.0,-1.0,7.0,3.0,3.0,1.0,-2.0,0.0,1.0,-2.0
session_indy_nxt_2024_6322,2024 INDY NXT By Firestone at The Milwaukee Mile,available,90.0,7.0,4.0,4.0,7.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0
session_indy_nxt_2024_6320,2024 OUTFRONT Showdown,available,75.0,14.0,6.0,6.0,14.0,8.0,8.0,10.0,7.0,1.0,2.0,-1.0,5.0,0.0,3.0
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,available,42.0,17.0,18.0,16.0,18.0,2.0,-1.0,9.0,4.0,4.0,1.0,-2.0,-1.0,0.0,0.0
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,available,20.0,6.0,8.0,5.0,9.0,4.0,-2.0,8.0,3.0,3.0,1.0,-3.0,1.0,-2.0,-1.0
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,available,35.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,unavailable,,,,,,,,,,,,,,,
