sessionId,eventId,seasonYear,eventName,sessionName,raceNumber,raceLabel,scheduledStart,timezone,trackId,trackName,trackType,trackLengthMi,cornerCount,fieldSize,qualifyingPosition,qualifyingSource,qualifyingContextState,startPosition,gridPosition,finishPosition,positionGain,qualifyingToFinishDelta,qualifyingToStartDelta,normalizedGain,startPercentile,finishPercentile,percentileDelta,status,statusRaw,points,lapsCompleted,lapsLed,pitStops,bestLapRank,averageSpeed,gapToLeader,teamName,teammateCount,bestTeammateFinish,deltaToBestTeammateFinish,teammateFinishRank,brycePenaltyCount,bryceIncidentCount,sessionPenaltyCount,sessionIncidentCount,totalLaps,greenLaps,cautionLaps,cautionShare,leadChanges,totalPasses,positionPasses,passesPerLap,leaderDominanceShare,leaderCount,weatherId,weatherConfidence,weatherSourceType,ambientTempC,apparentTempC,relativeHumidityPct,dewPointC,windSpeedKph,windGustKph,windDirectionDeg,precipitationMm,cloudCoverPct,wetDry,timeConfidence,locationConfidence,lapDataState,lapSamples,firstLapPosition,finalLapPosition,bestRunningPosition,worstRunningPosition,runningPositionRange,netLapChartGain,positionVolatility,positiveLapMoves,negativeLapMoves,largestLapGain,largestLapLoss,earlyDelta,middleDelta,lateDelta,thermalStress,windRisk,primaryStory,storyDrivers
session_indy_nxt_2024_6324,event_indy_nxt_2024_5480,2024,Grand Prix of St. Petersburg,Race,,2024 Grand Prix of St. Petersburg,2024-03-10T10:00:00,America/New_York,track_streets_of_st_petersburg,Streets of St. Petersburg,street,1.8,14,21,8.0,Combined Qualifications,combined_or_direct,8,8,19,-11,-11.0,0.0,-0.55,0.65,0.1429,-0.5071,contact,Contact,11,31,,0,5.0,97.898,-,Andretti Global,3,3,16,3,0,2,2,5,45,40,5,0.1111111111111111,0,0,0,0.0,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6324,modeled_medium,grid_reanalysis,19.9,18.6,80,16.4,24.2,44.3,342,0.0,48,dry,exact_session_hour,track_coordinate,available,31.0,7.0,6.0,6.0,8.0,2.0,1.0,3.0,2.0,1.0,1.0,-1.0,0.0,0.0,1.0,moderate,medium,incident_or_reliability_limited,status=Contact
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Race,,2024 Grand Prix of Alabama,2024-04-28T10:05:00,America/Chicago,track_barber_motorsports_park,Barber Motorsports Park,road,2.38,16,21,7.0,Combined Qualifications,combined_or_direct,7,7,8,-1,-1.0,0.0,-0.05,0.7,0.6667,-0.033299999999999996,running,Running,24,35,,0,6.0,106.407,10.2803,Andretti Global,3,3,5,3,0,0,0,2,35,33,2,0.05714285714285714,0,84,65,1.9696969696969697,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6314,modeled_medium,grid_reanalysis,21.4,20.2,68,15.3,20.1,46.1,151,0.0,100,dry,exact_session_hour,track_coordinate,available,35.0,7.0,8.0,5.0,8.0,3.0,-1.0,5.0,1.0,2.0,2.0,-2.0,2.0,0.0,-3.0,moderate,high,steady_conversion,started_and_finished_inside_top_8|high_wind_gust_context
session_indy_nxt_2024_6315,event_indy_nxt_2024_5471,2024,Indianapolis Grand Prix Race 1,Race,1.0,2024 Indianapolis Grand Prix Race 1 R1,2024-05-10T18:10:00,America/Indiana/Indianapolis,track_indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,road,2.439,14,21,11.0,Combined Qualifications,combined_or_direct,11,11,14,-3,-3.0,0.0,-0.15,0.5,0.381,-0.119,running,Running,16,34,,1,7.0,102.003,-,Andretti Global,3,3,11,3,0,0,5,2,35,28,7,0.2,0,165,136,4.857142857142857,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6315,modeled_medium,grid_reanalysis,17.5,14.7,49,6.7,13.3,29.2,303,0.0,100,dry,exact_session_hour,track_coordinate,available,34.0,12.0,14.0,12.0,19.0,7.0,-2.0,14.0,6.0,3.0,1.0,-5.0,-6.0,1.0,2.0,cool,medium,volatile_race_shape,high_lap_position_volatility
session_indy_nxt_2024_6325,event_indy_nxt_2024_5481,2024,Indianapolis Grand Prix Race 2,Race,2.0,2024 Indianapolis Grand Prix Race 2 R2,2024-05-11T13:00:00,America/Indiana/Indianapolis,track_indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,road,2.439,14,21,11.0,Combined Qualifications,combined_or_direct,11,11,19,-8,-8.0,0.0,-0.4,0.5,0.1429,-0.3571,running,Running,11,35,,0,5.0,111.552,46.4279,Andretti Global,3,1,18,4,1,0,3,0,35,35,0,0.0,1,18,18,0.5142857142857142,0.6857142857142857,2,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6325,modeled_medium,grid_reanalysis,18.5,15.0,42,5.2,26.4,55.1,302,0.0,8,dry,exact_session_hour,track_coordinate,available,35.0,16.0,19.0,14.0,20.0,6.0,-3.0,9.0,3.0,1.0,1.0,-6.0,-4.0,0.0,1.0,cool,high,position_loss_race,lost_7_plus_positions|high_wind_gust_context
session_indy_nxt_2024_6326,event_indy_nxt_2024_5482,2024,Detroit Grand Prix,Race,,2024 Detroit Grand Prix,2024-06-02T10:20:00,America/Detroit,track_streets_of_detroit,Detroit Downtown Street Circuit,street,1.645,9,21,11.0,Combined Qualifications,combined_or_direct,11,11,20,-9,-9.0,0.0,-0.45,0.5,0.0952,-0.4048,contact,Contact,10,2,,0,20.0,71.002,-,Andretti Global,3,1,19,4,0,2,4,7,45,32,13,0.28888888888888886,0,206,112,3.5,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6326,modeled_medium,grid_reanalysis,19.0,19.4,88,16.9,14.0,28.4,226,0.1,100,wet,exact_session_hour,track_coordinate,available,2.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,moderate,medium,incident_or_reliability_limited,status=Contact|high_caution_share|wet_context
session_indy_nxt_2024_6316,event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Race,,2024 Grand Prix at Road America,2024-06-09T12:05:00,America/Chicago,track_road_america,Road America,road,4.048,14,21,7.0,Combined Qualifications,combined_or_direct,7,7,8,-1,-1.0,0.0,-0.05,0.7,0.6667,-0.033299999999999996,running,Running,24,20,,1,7.0,100.098,4.1967,Andretti Global,3,1,7,3,0,0,1,6,20,16,4,0.2,0,207,184,11.5,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6316,modeled_medium,grid_reanalysis,21.6,17.6,39,7.1,28.0,56.5,298,0.0,38,dry,exact_session_hour,track_coordinate,available,20.0,6.0,8.0,5.0,9.0,4.0,-2.0,8.0,3.0,3.0,1.0,-3.0,1.0,-2.0,-1.0,cool,high,steady_conversion,started_and_finished_inside_top_8|high_wind_gust_context
session_indy_nxt_2024_6317,event_indy_nxt_2024_5473,2024,Grand Prix of Monterey Race 1,Race,1.0,2024 Grand Prix of Monterey Race 1 R1,2024-06-22T12:25:00,America/Los_Angeles,track_weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,road,2.238,11,20,9.0,Combined Qualifications,combined_or_direct,9,9,16,-7,-7.0,0.0,-0.3684210526315789,0.5789473684210527,0.25,-0.32894736842105265,running,Running,14,34,,0,8.0,99.817,-,Andretti Global,3,1,15,4,0,0,0,2,35,33,2,0.05714285714285714,0,174,146,4.424242424242424,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6317,modeled_medium,grid_reanalysis,22.3,23.2,52,12.1,11.2,29.5,291,0.0,20,dry,exact_session_hour,track_coordinate,available,34.0,8.0,16.0,7.0,18.0,11.0,-8.0,14.0,3.0,1.0,1.0,-11.0,1.0,-11.0,2.0,moderate,medium,position_loss_race,lost_7_plus_positions
session_indy_nxt_2024_6327,event_indy_nxt_2024_5483,2024,Grand Prix of Monterey Race 2,Race,2.0,2024 Grand Prix of Monterey Race 2 R2,2024-06-23T12:55:00,America/Los_Angeles,track_weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,road,2.238,11,20,5.0,Combined Qualifications,combined_or_direct,5,5,3,2,2.0,0.0,0.10526315789473684,0.7894736842105263,0.9,0.1105263157894737,running,Running,35,35,,0,7.0,104.849,22.0412,Andretti Global,3,1,2,2,0,0,4,3,35,34,1,0.02857142857142857,0,90,75,2.2058823529411766,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6327,modeled_medium,grid_reanalysis,20.7,21.3,56,11.7,12.9,33.1,293,0.0,15,dry,exact_session_hour,track_coordinate,available,35.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,moderate,medium,front_running_conversion,top_5_finish_with_positive_conversion
session_indy_nxt_2024_6318,event_indy_nxt_2024_5474,2024,Grand Prix at Mid-Ohio,Race,,2024 Grand Prix at Mid-Ohio,2024-07-07T11:15:00,America/New_York,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,road,2.258,13,19,14.0,Combined Qualifications,combined_or_direct,14,14,18,-4,-4.0,0.0,-0.2222222222222222,0.2777777777777778,0.1053,-0.17247777777777779,running,Running,12,32,,1,11.0,95.347,-,Andretti Global,3,2,16,4,0,1,0,2,35,32,3,0.08571428571428572,0,53,37,1.15625,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6318,modeled_medium,grid_reanalysis,25.2,27.3,54,15.1,3.5,13.7,246,0.0,0,dry,exact_session_hour,track_coordinate,available,32.0,18.0,18.0,18.0,19.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,moderate,low,steady_context_race,
session_indy_nxt_2024_6319,event_indy_nxt_2024_5475,2024,INDY NXT by Firestone at Iowa Speedway,Race,,2024 INDY NXT by Firestone at Iowa Speedway,2024-07-13T13:05:00,America/Chicago,track_iowa_speedway,Iowa Speedway,oval,0.894,4,18,9.0,Qualifications,combined_or_direct,9,9,8,1,1.0,0.0,0.058823529411764705,0.5294117647058824,0.6111,0.08168823529411762,running,Running,24,55,,0,9.0,106.496,13.5696,Andretti Global,3,1,7,4,0,0,0,5,55,28,27,0.4909090909090909,1,79,63,2.25,0.8909090909090909,2,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6319,modeled_medium,grid_reanalysis,30.2,36.0,67,23.3,11.7,30.2,198,0.0,85,dry,exact_session_hour,track_coordinate,available,55.0,9.0,8.0,8.0,11.0,3.0,1.0,7.0,3.0,3.0,2.0,-1.0,0.0,0.0,1.0,hot,medium,steady_context_race,high_caution_share
