sessionId,raceLabel,sectionName,sectionLengthMi,bryceRank,fieldRows,rankPercentile,time,speedMph,lapNumber,confidence,provenanceRefs
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Lap,2.3,6.0,21,0.75,01:13.0139,113.403,19,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,FS-PO,0.08447,6.0,21,0.75,00:02.0283,149.925,27,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 1-3,0.288257,7.0,21,0.7,00:10.4238,99.553,21,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 4,0.266666,20.0,21,0.050000000000000044,00:07.3897,129.91,23,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 5-6,0.111174,5.0,21,0.8,00:05.7302,69.845,26,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 7,0.288257,12.0,21,0.44999999999999996,00:08.0252,129.308,26,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 8-9,0.180491,11.0,21,0.5,00:07.6111,85.371,18,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 10,0.151515,16.0,21,0.25,00:04.2679,127.804,27,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 11,0.250567,17.0,21,0.19999999999999996,00:06.0353,149.461,27,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 12-13,0.198862,5.0,21,0.8,00:05.7456,124.6,18,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turns 14-16,0.167235,11.0,21,0.5,00:05.6653,106.269,2,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 17,0.295832,3.0,21,0.9,00:09.6220,110.683,27,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,I2 to I3,0.37784,18.0,21,0.15000000000000002,00:13.1978,103.064,26,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,I4 to I5,0.332006,17.0,21,0.19999999999999996,00:11.9572,99.958,18,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,SF to SFT,0.025379,13.0,21,0.4,00:00.6228,146.699,27,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,I6T to I6,0.022917,13.0,21,0.4,00:00.5228,157.806,18,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,I7T to I7,0.018939,8.0,22,0.6666666666666667,00:00.5485,124.303,16,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,PO to SF,2.19147,15.0,21,0.30000000000000004,01:48.2049,72.911,0,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,PO to I2,0.28087,14.0,21,0.35,00:17.6646,57.241,0,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,SF to Turn 7,1.03882,8.0,21,0.65,00:33.7994,110.646,17,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 7 to Turn 11,0.582573,17.0,21,0.19999999999999996,00:18.0252,116.352,18,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Turn 11 to SF,0.661929,3.0,21,0.9,00:21.0878,113.001,18,official,source_indy_nxt_2024_6314_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Lap,2.439,7.0,21,0.7,01:16.6784,114.509,9,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,FS - PO,0.200379,13.0,21,0.4,00:04.1898,172.172,17,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,FS - PO 2,0.053788,19.0,21,0.09999999999999998,00:01.1028,175.587,33,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 1/2,0.25284,6.0,21,0.75,00:09.2723,98.166,8,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 3,0.108523,19.0,21,0.09999999999999998,00:03.5760,109.251,8,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 4/5/6,0.232196,8.0,21,0.65,00:07.9116,105.656,17,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Backstretch,0.341287,7.0,21,0.7,00:07.6865,159.843,1,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 7,0.16572,4.0,21,0.85,00:06.1998,96.228,8,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 8/9,0.129167,15.0,21,0.30000000000000004,00:05.0948,91.27,6,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 10,0.205114,13.0,22,0.4285714285714286,00:07.1620,103.101,6,official,source_indy_nxt_2024_6315_top_section_times_pdf
