dimension,segment,races,avgFinish,avgGain,top10Rate,dnfOrIssueRate,avgCautionShare
wetDry,dry,35,11.6,-0.2,0.5142857142857142,0.08571428571428572,0.14443074385931529
wetDry,wet,3,21.666666666666668,-9.666666666666666,0.0,0.6666666666666666,0.22932311621966794
thermalStress,cold,1,7.0,4.0,1.0,0.0,0.0
thermalStress,cool,12,13.583333333333334,-2.1666666666666665,0.4166666666666667,0.08333333333333333,0.16489691662105455
thermalStress,hot,7,10.857142857142858,-0.2857142857142857,0.5714285714285714,0.14285714285714285,0.1521212121212121
thermalStress,moderate,18,12.5,-0.6666666666666666,0.4444444444444444,0.16666666666666666,0.14996854996854994
windRisk,high,5,10.6,-0.2,0.6,0.0,0.1020952380952381
windRisk,low,7,11.571428571428571,2.0,0.42857142857142855,0.0,0.09508110936682365
windRisk,medium,26,12.961538461538462,-1.8846153846153846,0.46153846153846156,0.19230769230769232,0.1756539010650417
weatherConfidence,modeled_medium,38,12.394736842105264,-0.9473684210526315,0.47368421052631576,0.13157894736842105,0.15113277325618524
