sessionId,raceLabel,lapNumber,previousPosition,position,positionDelta,trigger,cautionState,magnitude,sourceHash
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,2,7.0,5.0,2.0,green_flag_gain,green,2.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,33,5.0,7.0,-2.0,green_flag_loss,green,2.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,34,7.0,8.0,-1.0,caution_reorder_loss,caution,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,2,12.0,17.0,-5.0,green_flag_loss,green,5.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,4,17.0,16.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,5,16.0,18.0,-2.0,green_flag_loss,green,2.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,6,18.0,19.0,-1.0,green_flag_loss,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,7,19.0,18.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,13,18.0,17.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,19,17.0,16.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,27,16.0,15.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,31,15.0,14.0,1.0,caution_reorder_gain,caution,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,6,6.0,5.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,9,5.0,6.0,-1.0,green_flag_loss,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,12,6.0,7.0,-1.0,green_flag_loss,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,18,7.0,6.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,19,6.0,9.0,-3.0,green_flag_loss,green,3.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,20,9.0,8.0,1.0,green_flag_gain,green,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1,6,8.0,7.0,1.0,caution_reorder_gain,caution,1.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
