sessionId,eventId,seasonYear,raceLabel,trackName,trackType,lapNumber,position,previousPosition,positionDelta,netFromLapOne,fieldSizeAtLap,runningPositionPercentile,cautionState,sourceCompleteness,sourceState,sourceHash
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,7.0,,,0.0,21,0.7,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,2,5.0,7.0,2.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,3,5.0,5.0,0.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,4,5.0,5.0,0.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,5,5.0,5.0,0.0,2.0,21,0.8,caution,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,6,5.0,5.0,0.0,2.0,21,0.8,restart_lap,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,7,5.0,5.0,0.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,8,5.0,5.0,0.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,9,5.0,5.0,0.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,10,5.0,5.0,0.0,2.0,21,0.8,green,complete_validated_against_result_lap_counts,official_lap_chart,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
