sessionId,raceLabel,trackName,segmentId,segmentType,startLap,endLap,lapCount,startPosition,endPosition,netGain,bestPosition,worstPosition,volatility,medianRunningPositionPercentile,sourceCompleteness,sourceHash
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2024_6314_segment_01,green_run,1,4,4,7.0,5.0,2.0,5.0,7.0,2.0,0.8,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2024_6314_segment_02,caution_window,5,5,1,5.0,5.0,0.0,5.0,5.0,0,0.8,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2024_6314_segment_03,restart_window,6,6,1,5.0,5.0,0.0,5.0,5.0,0,0.8,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2024_6314_segment_04,green_run,7,33,27,5.0,7.0,-2.0,5.0,7.0,2.0,0.8,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2024_6314_segment_05,caution_window,34,35,2,8.0,8.0,0.0,8.0,8.0,0,0.5997,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315_segment_01,green_run,1,20,20,12.0,16.0,-4.0,12.0,19.0,12.0,0.1579,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315_segment_02,caution_window,21,25,5,16.0,16.0,0.0,16.0,16.0,0,0.2105,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315_segment_03,restart_window,26,26,1,16.0,16.0,0.0,16.0,16.0,0,0.2105,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315_segment_04,green_run,27,29,3,15.0,15.0,0.0,15.0,15.0,0,0.2632,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315_segment_05,caution_window,30,31,2,15.0,14.0,1.0,14.0,15.0,1.0,0.2895,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315_segment_06,restart_window,32,32,1,14.0,14.0,0.0,14.0,14.0,0,0.2778,complete_validated_against_result_lap_counts,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
