sessionId,eventId,seasonYear,raceLabel,trackName,trackType,lapNumber,sectionName,sectionFamily,sectionType,timeSeconds,speedMph,fieldComparisonCount,fieldRank,fieldPercentile,cleanRaceLapCandidate,cautionState,sourceState,sourceMetricId,sourceHash
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,FS-PO,FS-PO,pit_or_timing_line,3.6514,83.281,21,11,0.5,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turns 1-3,Turns 1-3,track_section,15.7357,65.947,21,7,0.7,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turn 4,Turn 4,track_section,12.7643,75.21,21,7,0.7,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turns 5-6,Turns 5-6,track_section,6.3136,63.391,21,6,0.75,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turn 7,Turn 7,track_section,10.7786,96.276,21,1,1.0,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turns 8-9,Turns 8-9,track_section,8.8525,73.399,21,12,0.45,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turn 10,Turn 10,track_section,6.046,90.217,21,12,0.45,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turn 11,Turn 11,track_section,9.9493,90.664,21,15,0.3,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turns 12-13 Turns 14-16,Turns 12-13 Turns 14-16,track_section,9.2209,77.639,21,16,0.25,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Turn 17,Turn 17,track_section,11.8416,89.937,21,15,0.3,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,1,Lap,Lap,lap_total,103.7652,79.796,21,17,0.2,no,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,2,FS-PO,FS-PO,pit_or_timing_line,2.2922,132.664,21,6,0.75,yes,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,2,Turns 1-3,Turns 1-3,track_section,11.9947,86.515,20,5,0.7895,yes,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,2,Turn 4,Turn 4,track_section,7.4627,128.639,20,1,1.0,yes,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,2,Turns 5-6,Turns 5-6,track_section,6.0984,65.628,21,4,0.85,yes,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,2,Turn 7,Turn 7,track_section,8.3754,123.902,21,3,0.9,yes,green,official_section_results+official_lap_chart+official_incident_caution_context,metric_indy_nxt_2024_6314_section_results,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
