sessionId,eventId,seasonYear,raceLabel,trackName,trackType,cleanRaceLapCount,cleanSectionComparisonRows,medianCleanTrackSectionPercentile,topQuartileCleanSectionShare,bottomQuartileCleanSectionShare,bestCleanSectionFamilies,weakestCleanSectionFamilies,sourceState,sourceHash
session_indy_nxt_2024_6314,event_indy_nxt_2024_5470,2024,2024 Grand Prix of Alabama,Barber Motorsports Park,road,30,270,0.6408,0.3593,0.1926,Turn 17:0.93 n=30; Turns 1-3:0.79 n=30; Turns 5-6:0.72 n=30; Turns 12-13 Turns 14-16:0.70 n=30,Turn 4:0.25 n=30; Turns 8-9:0.35 n=30; Turn 10:0.40 n=30; Turn 11:0.53 n=30,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,event_indy_nxt_2024_5471,2024,2024 Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,23,206,0.4211,0.1699,0.335,Turn 14:0.65 n=23; Turn 4/5/6 Backstretch:0.58 n=23; Turn 10:0.58 n=23; Turn 8/9:0.47 n=22,Turn 1/2:0.26 n=23; Turn 3:0.26 n=23; Turn 11:0.26 n=23; Turn 12/13:0.26 n=23,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6316,event_indy_nxt_2024_5472,2024,2024 Grand Prix at Road America,Road America,road,12,192,0.6,0.3281,0.1094,I11B to I12 I12 to I13 I13 to I13A I13A to I14 I14 to I15C I15C to I15:0.94 n=12; I10 to I11 I11 to I11B:0.85 n=12; I7 to I8:0.72 n=12; I9 to I10:0.72 n=12,I2 to I3:0.36 n=12; I4A to I5:0.42 n=12; I6 to I7:0.46 n=12; I3 to I3A:0.49 n=12,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6317,event_indy_nxt_2024_5473,2024,2024 Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,30,406,0.5,0.2217,0.2143,Turn 3:0.79 n=29; Turn 4:0.72 n=29; Turn 7:0.72 n=29; Turn 4A:0.68 n=29,Turn 6:0.33 n=29; Corkscrew:0.33 n=29; Turn 5:0.37 n=29; Turn 9:0.37 n=29,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6318,event_indy_nxt_2024_5474,2024,2024 Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,28,448,0.5294,0.3304,0.2768,Turn 12C:0.94 n=28; Turn 13:0.94 n=28; Turn 5:0.88 n=28; Turn 2:0.82 n=28,Turn 1A:0.09 n=28; Turn 1:0.18 n=28; Turn 3:0.29 n=28; Turn 8:0.35 n=28,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6319,event_indy_nxt_2024_5475,2024,2024 INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,24,192,0.5,0.25,0.2344,SS1 to T2:0.58 n=24; T3 to SS2:0.53 n=24; T2 to BS:0.53 n=24; BS to T3:0.53 n=24,T4 to SF:0.31 n=24; SS2 to T4:0.31 n=24; SF to T1:0.41 n=24; T1 to SS1:0.47 n=24,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6320,event_indy_nxt_2024_5476,2024,2024 OUTFRONT Showdown,World Wide Technology Raceway,oval,52,312,0.4545,0.2885,0.3205,BS - T3:0.64 n=52; Turn 3:0.64 n=52; Turn 4:0.55 n=52; Turn 1:0.44 n=52,BS - T2:0.33 n=52; Turn 2:0.36 n=52; Turn 1:0.44 n=52; Turn 4:0.55 n=52,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6321,event_indy_nxt_2024_5477,2024,2024 Grand Prix of Portland,Portland International Raceway,road,32,352,0.6875,0.3977,0.0938,Turn 2:0.90 n=32; Turn 3:0.87 n=32; Turn 12:0.81 n=32; Turn 6:0.80 n=32,Turn 9:0.27 n=32; Turn 8:0.52 n=32; Turn 5:0.53 n=32; Turn 1:0.67 n=32,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6322,event_indy_nxt_2024_5478,2024,2024 INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,86,774,0.6429,0.3889,0.1395,SS1 to T2:0.79 n=86; T3 to SS2:0.79 n=86; T2 to BS:0.75 n=86; BS to T3:0.72 n=86,T4 to FS:0.32 n=86; FS to SF:0.50 n=86; SF to T1:0.57 n=86; T1 to SS1:0.64 n=86,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6323,event_indy_nxt_2024_5479,2024,2024 Music City Grand Prix,Nashville Superspeedway,oval,57,171,0.5,0.2865,0.1988,Turn 3:0.55 n=57; Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.50 n=57; Turn 4 Entry Turn 4 Exit:0.50 n=57,Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.50 n=57; Turn 4 Entry Turn 4 Exit:0.50 n=57; Turn 3:0.55 n=57,official_section_results+official_lap_chart+official_incident_caution_context_clean_lap_filtered+section_only_rows_excluded,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
