sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,lapNumber,sectionName,sectionFamily,sectionType,timeSeconds,speedMph,fieldComparisonCount,fieldRank,fieldPercentile,cleanLapCandidate,sourceState,sourceMetricId,sourceHash
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turn 4,Turn 4,track_section,11.1723,85.927,21,12,0.45,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turns 5-6,Turns 5-6,track_section,7.5811,52.793,21,9,0.6,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turn 7,Turn 7,track_section,10.6842,97.127,21,12,0.45,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turns 8-9,Turns 8-9,track_section,10.3872,62.555,21,10,0.55,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turn 10,Turn 10,track_section,6.0791,89.726,21,17,0.2,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turn 11,Turn 11,track_section,8.3143,108.493,21,14,0.35,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,0,Turns 12-13,Turns 12-13,track_section,8.0965,88.421,21,11,0.5,unknown,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turn 4,Turn 4,track_section,8.6401,111.11,21,12,0.45,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turns 5-6,Turns 5-6,track_section,6.5442,61.157,21,13,0.4,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turn 7,Turn 7,track_section,8.8757,116.918,21,13,0.4,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turns 8-9,Turns 8-9,track_section,8.7826,73.984,21,12,0.45,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turn 10,Turn 10,track_section,4.4916,121.439,21,8,0.65,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turn 11,Turn 11,track_section,6.7599,133.44,21,9,0.6,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Turns 12-13,Turns 12-13,track_section,7.0118,102.1,21,12,0.45,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,Lap,Lap,lap_total,280.315,29.538,21,17,0.2,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,1,PI to PO,PI to PO,pit_or_timing_line,194.1742,4.502,14,10,0.3077,no,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turns 14-16,Turns 14-16,track_section,6.7052,89.788,21,13,0.4,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turn 17,Turn 17,track_section,10.2661,103.739,21,10,0.55,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,FS-PO,FS-PO,pit_or_timing_line,2.1536,141.202,21,6,0.75,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turns 1-3,Turns 1-3,track_section,10.9386,94.868,21,4,0.85,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turn 4,Turn 4,track_section,7.695,124.756,21,9,0.6,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turns 5-6,Turns 5-6,track_section,5.9648,67.098,21,4,0.85,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turn 7,Turn 7,track_section,8.488,122.258,21,11,0.5,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turns 8-9,Turns 8-9,track_section,8.2137,79.108,21,13,0.4,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turn 10,Turn 10,track_section,4.4155,123.532,21,9,0.6,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turn 11,Turn 11,track_section,6.2775,143.694,21,8,0.65,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Turns 12-13,Turns 12-13,track_section,6.5158,109.872,21,13,0.4,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,Lap,Lap,lap_total,77.6338,106.655,21,11,0.5,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,2,PO to SF,PO to SF,pit_or_timing_line,83.3316,94.673,14,10,0.3077,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,3,Turns 14-16,Turns 14-16,track_section,6.1602,97.732,18,9,0.5294,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,3,Turn 17,Turn 17,track_section,9.9524,107.009,18,2,0.9412,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,3,FS-PO,FS-PO,pit_or_timing_line,2.123,143.237,18,6,0.7059,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,3,Turns 1-3,Turns 1-3,track_section,10.8617,95.54,18,8,0.5882,yes,official_section_results,metric_indy_nxt_2024_6354_section_results,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
