sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
Turn 10,practice,Barber Motorsports Park,99,0.5455,0.5221,0.2929,0.2626,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 11,practice,Barber Motorsports Park,99,0.4615,0.4851,0.2121,0.1919,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 17,practice,Barber Motorsports Park,99,0.6111,0.5738,0.2929,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4,practice,Barber Motorsports Park,99,0.5294,0.5439,0.2424,0.1515,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 7,practice,Barber Motorsports Park,99,0.6364,0.5728,0.404,0.2121,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 1-3,practice,Barber Motorsports Park,99,0.6667,0.6204,0.3939,0.1616,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 12-13,practice,Barber Motorsports Park,99,0.5263,0.5191,0.1515,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 14-16,practice,Barber Motorsports Park,99,0.5556,0.5485,0.2828,0.1717,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 5-6,practice,Barber Motorsports Park,99,0.65,0.6153,0.4242,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 8-9,practice,Barber Motorsports Park,99,0.5333,0.5022,0.2424,0.2323,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 10,qualifying,Barber Motorsports Park,29,0.625,0.5958,0.4138,0.2069,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
