eventId,seasonYear,eventName,trackName,raceSessionId,raceSessionName,raceFinish,raceStart,finishPercentile,prepSessionCount,practiceMedianTrackSectionPercentile,qualifyingMedianTrackSectionPercentile,bestPrepSectionFamilies,transferClaimStrength,sourceHash
event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2024_6314,Race,8,7,0.6667,3,0.6006,0.6667,Turn 7:0.75 n=47; Turn 17:0.71 n=47; Turns 1-3:0.71 n=47; Turn 10:0.67 n=47,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5471,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6315,Race,14,11,0.381,2,0.6283,0.6,Backstretch:0.80 n=35; Turn 12/13:0.76 n=35; Turn 11:0.70 n=35; Turn 1/2:0.70 n=35,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,session_indy_nxt_2024_6316,Race,8,7,0.6667,3,0.703,0.65,I13A to I14:0.84 n=21; I1 to I2:0.84 n=21; I7 to I8:0.84 n=21; I4A to I5:0.80 n=21,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5473,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,session_indy_nxt_2024_6317,Race,16,9,0.25,3,0.5461,0.625,Turn 4:0.79 n=33; Turn 5:0.78 n=33; Turn 3:0.74 n=33; Turn 4A:0.74 n=33,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5474,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,session_indy_nxt_2024_6318,Race,18,14,0.1053,3,0.5057,0.375,Back Stretch:0.83 n=50; Turn 4:0.62 n=50; Turn 3:0.59 n=50; Turn 5:0.58 n=50,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5475,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,session_indy_nxt_2024_6319,Race,8,9,0.6111,2,0.5294,0.3824,BS to T3:0.59 n=43; T2 to BS:0.53 n=43; T1 to SS1:0.47 n=43; SS2 to T4:0.47 n=43,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5476,2024,OUTFRONT Showdown,World Wide Technology Raceway,session_indy_nxt_2024_6320,Race,6,13,0.7222,2,0.5294,0.2667,Turn 1:0.62 n=47; Turn 4:0.62 n=47; BS - T3:0.59 n=47; Turn 3:0.50 n=47,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2024_6321,Race,3,6,0.8824,3,0.6,0.5,Turn 8:0.86 n=52; Turn 9:0.80 n=52; Turn 3:0.65 n=52; Turn 7:0.61 n=52,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5478,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,session_indy_nxt_2024_6322,Race,4,7,0.8333,2,0.5333,0.7333,BS to T3:0.73 n=39; SS1 to T2:0.71 n=39; T2 to BS:0.67 n=39; T3 to SS2:0.56 n=39,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5479,2024,Music City Grand Prix,Nashville Superspeedway,session_indy_nxt_2024_6323,Race,7,10,0.6667,3,0.7333,0.5,Turn 3:0.80 n=64; BackStretch Exit:0.76 n=65; BackStretch Entry:0.75 n=65; Turn 2 Entry:0.73 n=65,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5480,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,session_indy_nxt_2024_6324,Race,19,8,0.1429,3,0.6199,0.6333,Turn 9a:0.72 n=42; Turns 13/14:0.70 n=27; Turn 10:0.68 n=42; Turns 11/12:0.68 n=42,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5481,2024,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,session_indy_nxt_2024_6325,Race,19,11,0.1429,1,,0.6,Turn 1/2:0.90 n=9; Turn 12/13:0.80 n=9; Backstretch:0.80 n=9; Turn 11:0.70 n=9,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5482,2024,Detroit Grand Prix,Streets of Detroit,session_indy_nxt_2024_6326,Race,20,11,0.0952,3,0.5441,0.4,I9 to I10:0.70 n=50; I2A to I2:0.65 n=50; I5 to I6:0.64 n=50; I4 to I5:0.61 n=50,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2024_5483,2024,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,session_indy_nxt_2024_6327,Race,3,5,0.9,1,,0.625,Turn 4:0.88 n=8; Turn 5:0.83 n=8; Turn 4A:0.72 n=8; Turn 1 Entry:0.69 n=8,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5484,2025,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,session_indy_nxt_2025_6442,Race,10,14,0.5263,3,0.4853,0.625,Turn 1 Entry:0.71 n=33; Turn 2:0.62 n=33; Turn 4A:0.60 n=33; Turn 5:0.56 n=33,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5485,2025,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,session_indy_nxt_2025_6443,Race,15,18,0.3333,1,,0.4,Turn 4/5/6:0.76 n=10; Turn 8/9:0.59 n=10; Turn 7:0.55 n=10; Turn 12/13:0.50 n=10,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5486,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2025_6444,Race,15,18,0.3333,2,0.5,0.4,Turn 12/13:0.78 n=31; Turn 4/5/6:0.70 n=31; Turn 7:0.60 n=31; Turn 8/9:0.60 n=31,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5487,2025,Grand Prix of Alabama,Barber Motorsports Park,session_indy_nxt_2025_6445,Race,15,6,0.3,3,0.479,0.5556,Turns 1-3:0.75 n=43; Turn 7:0.58 n=43; Turns 12-13:0.56 n=43; Turns 8-9:0.53 n=43,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5488,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,session_indy_nxt_2025_6446,Race,13,20,0.4286,3,0.4137,0.3,Turns 2/3:0.56 n=58; Turns 5-8:0.55 n=58; Turn 1:0.40 n=58; Turn 9:0.40 n=58,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5489,2025,Music City Grand Prix,Nashville Superspeedway,session_indy_nxt_2025_6447,Race,6,8,0.7222,2,0.5714,0.5294,Turn 3:0.69 n=45; Turn 2 Entry:0.62 n=45; Turn 1 Exit:0.59 n=45; BackStretch Exit:0.59 n=45,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5490,2025,INDY NXT by Firestone at the Milwaukee Mile,The Milwaukee Mile,session_indy_nxt_2025_6448,Race,5,6,0.7778,2,0.6,0.7647,T2 to BS:0.70 n=48; SS1 to T2:0.68 n=48; BS to T3:0.64 n=36; SS2 to T4:0.64 n=48,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5491,2025,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2025_6449,Race,19,5,0.0526,3,0.5482,0.6905,Turn 1:0.64 n=52; Turn 4:0.61 n=53; Turn 3:0.56 n=52; Turn 2:0.56 n=52,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5492,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,session_indy_nxt_2025_6450,Race,19,12,0.0526,1,,0.625,Turn 5:0.88 n=9; Turn 1 Exit:0.75 n=9; Turn 4A:0.75 n=9; Turn 1 Entry:0.62 n=9,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5493,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,session_indy_nxt_2025_6451,Race,9,11,0.5789,1,0.5,,SS2 to T4:0.56 n=36; SS1 to T2:0.54 n=36; T3 to SS2:0.54 n=36; BS to T3:0.51 n=36,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
