sessionId,raceLabel,seasonYear,trackName,trackType,teamName,startPosition,finishPosition,positionGain,finishPercentile,bestQualifyingRank,avgQualifyingRank,bestPracticeRank,avgPracticeRank,raceStart,raceFinish,raceGain,fieldStrengthMean,fieldRatedRivals,teamCars,teamAverageFinish,bryceTeamFinishRank,paceIndex,bestLapRank,medianSectionPercentile,sectionComparisonRows,bryceLapGainPercentile,bryceStabilityPercentile,chaosExposureIndex,cautionShare,sessionIncidentCount,sessionPenaltyCount,bryceIncidentCount,brycePenaltyCount,leaderEntropy,weatherContext,archetype,bryceNetLapChartGain,bryceBestRunningPosition,bryceWorstRunningPosition,brycePrimaryStory,bestSectionFamilies,weakestSectionFamilies,sourceState,confidence,caveat,top10,top5,preRaceEligible,postRaceOnlyFields,modelLeakagePolicy,sourceHash
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,2024,Streets of St. Petersburg,street,Andretti Global,8.0,19.0,-11.0,0.1429,4.0,6.0,11.0,14.5,8,19,-11,0.5176616868628914,20,4,14.5,3,0.7250000000000001,5.0,0.65,189.0,0.5238095238095238,0.8571428571428571,0.3111111111111111,0.1111111111111111,5,2,2,0,0.0,dry/moderate/medium,incident_or_reliability_limited,1.0,6.0,8.0,incident_or_reliability_limited,Turn 10:0.76; Turn 4:0.75; FS-PO:0.69; Turns 11/12 Turns 13/14:0.67,FS-PI:0.46; Turn 9:0.49; Turns 5-8:0.58; Turn 1:0.58,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,2024,Barber Motorsports Park,road,Andretti Global,7.0,8.0,-1.0,0.6667,4.0,5.5,4.0,5.5,7,8,-1,0.5176616868628914,20,4,9.0,3,0.725,6.0,0.7,190.0,0.3333333333333333,0.5238095238095238,0.1395238095238095,0.0571428571428571,2,0,0,0,0.0,dry/moderate/high,baseline_execution,-1.0,5.0,8.0,steady_conversion,FS-PO:0.82; Turn 17:0.79; Turn 7:0.74; Turns 1-3:0.74,Turn 4:0.46; Turns 8-9:0.46; Turn 10:0.47; Turn 11:0.57,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,2024,Indianapolis Motor Speedway Road Course,road,Andretti Global,11.0,14.0,-3.0,0.381,6.0,8.5,3.0,3.0,11,14,-3,0.5165548642451403,20,4,9.75,3,0.5852941176470587,7.0,0.4705882352941176,221.0,0.238095238095238,0.5238095238095238,0.4116666666666667,0.2,2,5,0,0,0.0,dry/cool/medium,baseline_execution,-2.0,12.0,19.0,volatile_race_shape,FS - PI:0.66; FS - PO 2:0.62; Turn 14:0.61; FS - PO:0.60,Turn 3:0.22; Turn 1/2:0.27; Turn 11:0.35; Turn 7:0.36,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,2024,Indianapolis Motor Speedway Road Course,road,Andretti Global,11.0,19.0,-8.0,0.1429,6.0,8.5,,,11,19,-8,0.5165548642451403,20,4,10.0,4,0.8,5.0,,,0.0952380952380952,0.0952380952380952,0.2946117586900331,0.0,0,3,0,1,0.8980587934501658,dry/cool/high,hidden_pace_bad_result,-3.0,14.0,20.0,position_loss_race,,,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,2024,Detroit Downtown Street Circuit,street,Andretti Global,11.0,20.0,-9.0,0.0952,6.0,8.5,11.0,13.5,11,20,-9,0.5124922053546129,20,4,12.25,4,0.05,20.0,,45.0,0.4285714285714285,1.0,0.5055555555555555,0.2888888888888888,7,4,2,0,0.0,wet/moderate/medium,incident_or_reliability_limited,0.0,11.0,11.0,incident_or_reliability_limited,I4 to I5:0.77; I3 to I4:0.70; I2 to I3:0.50; I5 to I6:0.50,I6 to I7:0.25; Back Str 2:0.25; I2A to I2:0.28; I8 to I9:0.33,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,2024,Road America,road,Andretti Global,7.0,8.0,-1.0,0.6667,4.0,5.5,5.0,8.0,7,8,-1,0.5110847787750548,20,4,7.25,3,0.625,7.0,0.55,264.0,0.1904761904761904,0.5238095238095238,0.385,0.2,6,1,0,0,0.0,dry/cool/high,baseline_execution,-2.0,5.0,9.0,steady_conversion,I10 to I11 I11 to I11B:0.68; I9 to I10:0.64; I7 to I8:0.63; I1 to I2:0.61,I2 to I3:0.34; I4A to I5:0.40; I6 to I7:0.45; I8 to I9:0.47,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,2024,WeatherTech Raceway Laguna Seca,road,Andretti Global,9.0,16.0,-7.0,0.25,5.0,7.0,14.0,15.5,9,16,-7,0.5089009742078062,19,4,7.75,4,0.6133040935672515,8.0,0.5950292397660819,252.0,0.1,0.1,0.1295238095238095,0.0571428571428571,2,0,0,0,0.0,dry/moderate/medium,conversion_loss,-8.0,7.0,18.0,position_loss_race,Turn 3:0.84; Turn 7A:0.74; Turn 7:0.73; Turn 4:0.72,Turn 9:0.36; Corkscrew:0.39; Turn 5A:0.41; Turn 5:0.42,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,2024,WeatherTech Raceway Laguna Seca,road,Andretti Global,5.0,3.0,2.0,0.9,3.0,4.0,,,5,3,2,0.5089009742078062,19,4,7.25,2,0.6842105263157895,7.0,0.6842105263157895,266.0,0.6,0.85,0.2914285714285714,0.0285714285714285,3,4,0,0,0.0,dry/moderate/medium,podium_top5_conversion,2.0,3.0,5.0,front_running_conversion,Turn 4:0.85; Turn 3:0.82; Turn 4A:0.78; Turn 5:0.75,Turn 1 Entry Turn 1 Exit:0.38; Turn 6:0.41; Corkscrew:0.43; Turn 9:0.43,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,1,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,2024,Mid-Ohio Sports Car Course,road,Andretti Global,14.0,18.0,-4.0,0.1053,7.0,10.5,7.0,8.5,14,18,-4,0.5260858953387654,18,4,11.25,4,0.5163398692810457,11.0,0.5882352941176471,283.0,0.6842105263157895,0.5263157894736842,0.1209523809523809,0.0857142857142857,2,0,1,0,0.0,dry/moderate/low,baseline_execution,0.0,18.0,19.0,steady_context_race,Turn 5:0.83; Turn 2:0.74; Back Stretch:0.73; FS - PO:0.72,Turn 1A:0.41; Turn 8:0.41; Turn 3:0.43; Turn 1:0.47,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,0,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,2024,Iowa Speedway,oval,Andretti Global,9.0,8.0,1.0,0.6111,9.0,9.0,14.0,14.0,9,8,1,0.5314496252902229,17,4,4.5,4,0.4990196078431372,9.0,0.4686274509803921,152.0,0.4444444444444444,0.6111111111111112,0.5324638553135181,0.4909090909090909,5,0,0,0,0.4971677614160752,dry/hot/medium,baseline_execution,1.0,8.0,11.0,steady_context_race,T3 to SS2:0.50; T1 to SS1:0.48; SS1 to T2:0.48; T2 to BS:0.47,SS2 to T4:0.38; T4 to SF:0.41; SF to T1:0.44; BS to T3:0.46,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy,1,0,false,finishPosition;positionGain;paceIndex;lapDynamics;sectionResults;incidentPenalty;teamOutcome;archetype,full_feature_matrix_is_post_race_context;pre_race_models_must_exclude_postRaceOnlyFields,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
