id,seasonYear,date,venueName,source,sourceTier,lapCount,bryceBestSeconds,sessionBestSeconds,gapToSessionBestSeconds,onTrackGroupRank,groupFieldSize,combinedGridPosition,combinedFieldSize,doubleheaderRaceLabel,rankAttribution,positionCrossCheck,crosswalkVerdict
rt_2024_st-petersburg-street-circuit_qb_2024-03-09_a,2024,2024-03-09,St Petersburg Street Circuit,racetools,racetools_capture,7,64.9813,64.6587,0.3226,4,11,8,21,,single,match,
rt_2024_barber-motorsports-park_qb_2024-04-27_a,2024,2024-04-27,Barber Motorsports Park,racetools,racetools_capture,9,71.6959,71.4975,0.1984,4,11,7,20,,single,match,
rt_2024_indianapolis-motor-speedway-rc_qb_2024-05-10_a,2024,2024-05-10,Indianapolis Motor Speedway RC,racetools,racetools_capture,8,75.4982,74.8681,0.6301,6,11,11,20,Race 1,doubleheader_bestlap,match,
rt_2024_detroit-street-circuit_qb_2024-06-01_a,2024,2024-06-01,Detroit Street Circuit,racetools,racetools_capture,7,66.9449,64.8702,2.0747,6,11,11,20,,single,match,
rt_2024_road-america_qb_2024-06-08_a,2024,2024-06-08,Road America,racetools,racetools_capture,2,111.9698,111.7752,0.1946,4,11,7,20,,single,match,
rt_2024_weathertech-raceway-laguna-seca_qb_2024-06-22_a,2024,2024-06-22,WeatherTech Raceway Laguna Seca,racetools,racetools_capture,9,73.2822,72.4374,0.8448,5,10,9,19,Race 1,doubleheader_bestlap,match,
rt_2024_mid-ohio-sports-car-course_qa_2024-07-06_a,2024,2024-07-06,Mid-Ohio Sports Car Course,racetools,racetools_capture,10,71.059,70.2894,0.7696,7,9,14,18,,single,match,
rt_2024_iowa-speedway_qc_2024-07-12_a,2024,2024-07-12,Iowa Speedway,racetools,racetools_capture,3,19.1419,18.8114,0.3305,9,18,9,18,,single,match,
rt_2024_world-wide-technology-raceway_qc_2024-08-16_a,2024,2024-08-16,World Wide Technology Raceway,racetools,racetools_capture,3,27.8159,27.3986,0.4173,13,18,13,18,,single,match,
rt_2024_portland-international-raceway_qb_2024-08-24_a,2024,2024-08-24,Portland International Raceway,racetools,racetools_capture,10,62.8293,62.218,0.6113,4,9,7,16,,single,match,
rt_2024_milwaukee-mile_qc_2024-08-31_a,2024,2024-08-31,Milwaukee Mile,racetools,racetools_capture,3,24.2884,24.1403,0.1481,7,18,7,18,,single,match,
official_session_indy_nxt_2024_6489,2024,2024-09-14,Nashville Superspeedway,official_section_results,official_section_results,2,26.1936,26.1005,0.0931,,,,,,cancelled,na,
rt_2025_st-petersburg-street-circuit_qb_2025-03-01_d,2025,2025-03-01,St Petersburg Street Circuit,racetools,racetools_capture,10,65.0363,64.0642,0.9721,10,11,,,,single,match,
rt_2025_barber-motorsports-park_qa_2025-05-03_d,2025,2025-05-03,Barber Motorsports Park,racetools,racetools_capture,7,85.9451,84.9048,1.0403,3,10,,,,single,match,
rt_2025_indianapolis-motor-speedway-rc_qb_2025-05-09_d,2025,2025-05-09,Indianapolis Motor Speedway RC,racetools,racetools_capture,9,75.8373,74.9928,0.8445,9,11,18,21,Race 1,doubleheader_bestlap,match,
