raceSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,reason,note
session_frp_f1600_2019_r1_04_race_1,series_frp_f1600,F1600 Championship Series,2019,1,FRP F1600 2019 Round 1 - Road Atlanta,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r1_05_race_2,series_frp_f1600,F1600 Championship Series,2019,1,FRP F1600 2019 Round 1 - Road Atlanta,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r1_06_race_3,series_frp_f1600,F1600 Championship Series,2019,1,FRP F1600 2019 Round 1 - Road Atlanta,Race 3,3,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r2_04_race_1,series_frp_f1600,F1600 Championship Series,2019,2,FRP F1600 2019 Round 2 - Watkins Glen International,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r2_05_race_2,series_frp_f1600,F1600 Championship Series,2019,2,FRP F1600 2019 Round 2 - Watkins Glen International,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r2_06_race_3,series_frp_f1600,F1600 Championship Series,2019,2,FRP F1600 2019 Round 2 - Watkins Glen International,Race 3,3,no_finish,No classified finish for this race.
session_frp_f1600_2019_r3_04_race_1,series_frp_f1600,F1600 Championship Series,2019,3,FRP F1600 2019 Round 3 - Mid Ohio Sports Car Course,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r3_05_race_2,series_frp_f1600,F1600 Championship Series,2019,3,FRP F1600 2019 Round 3 - Mid Ohio Sports Car Course,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r3_06_race_3,series_frp_f1600,F1600 Championship Series,2019,3,FRP F1600 2019 Round 3 - Mid Ohio Sports Car Course,Race 3,3,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r4_02_race_1,series_frp_f1600,F1600 Championship Series,2019,4,FRP F1600 2019 Round 4 - Virginia International Raceway,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r4_03_race_2,series_frp_f1600,F1600 Championship Series,2019,4,FRP F1600 2019 Round 4 - Virginia International Raceway,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r4_04_race_3,series_frp_f1600,F1600 Championship Series,2019,4,FRP F1600 2019 Round 4 - Virginia International Raceway,Race 3,3,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r5_02_race_1,series_frp_f1600,F1600 Championship Series,2019,5,FRP F1600 2019 Round 5 - Pittsburgh International Race Complex,Race 1,1,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_frp_f1600_2019_r5_03_race_2,series_frp_f1600,F1600 Championship Series,2019,5,FRP F1600 2019 Round 5 - Pittsburgh International Race Complex,Race 2,2,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_frp_f1600_2019_r5_04_race_3,series_frp_f1600,F1600 Championship Series,2019,5,FRP F1600 2019 Round 5 - Pittsburgh International Race Complex,Race 3,3,no_qualifying_in_event,No Bryce qualifying classification exists for this event.
session_frp_f1600_2019_r6_04_race_1,series_frp_f1600,F1600 Championship Series,2019,6,FRP F1600 2019 Round 6 - Summit Point,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r6_05_race_2,series_frp_f1600,F1600 Championship Series,2019,6,FRP F1600 2019 Round 6 - Summit Point,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r6_06_race_3,series_frp_f1600,F1600 Championship Series,2019,6,FRP F1600 2019 Round 6 - Summit Point,Race 3,3,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r7_04_race_1,series_frp_f1600,F1600 Championship Series,2019,7,FRP F1600 2019 Round 7 - New Jersey Motorsports Park,Race 1,1,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r7_05_race_2,series_frp_f1600,F1600 Championship Series,2019,7,FRP F1600 2019 Round 7 - New Jersey Motorsports Park,Race 2,2,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_frp_f1600_2019_r7_06_race_3,series_frp_f1600,F1600 Championship Series,2019,7,FRP F1600 2019 Round 7 - New Jersey Motorsports Park,Race 3,3,no_grid_column,"Source family does not populate a grid column; qualifying position recorded, conversion not computed."
session_formula_ford_2020_national_oulton_park_race_8,series_formula_ford,Formula Ford,2020,1,BRSCC National FF1600 2020 - Oulton Park,RACE 8,8,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_champion_cadwell_race_5,series_formula_ford,Formula Ford,2020,2,The Champion of Cadwell for FF1600 2020,RACE 5,5,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_champion_brands_race_11,series_formula_ford,Formula Ford,2020,3,Champion of Brands 2020,RACE 11,11,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_national_brands_hatch_race_11,series_formula_ford,Formula Ford,2020,4,BRSCC National FF1600 2020 - Brands Hatch,RACE 11,11,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_national_brands_hatch_race_18,series_formula_ford,Formula Ford,2020,4,BRSCC National FF1600 2020 - Brands Hatch,RACE 18,18,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_national_silverstone_race_7,series_formula_ford,Formula Ford,2020,5,BRSCC National FF1600 2020 - Silverstone International,RACE 7,7,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_festival_grand_final_race_21,series_formula_ford,Formula Ford,2020,6,BRSCC Formula Ford Festival 2020,GRAND FINAL (RACE 21),21,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_festival_semi_final_1_race_13,series_formula_ford,Formula Ford,2020,6,BRSCC Formula Ford Festival 2020,SEMI FINAL 1 (RACE 13),13,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_wht_grand_final,series_formula_ford,Formula Ford,2020,7,Walter Hayes Trophy 2020,GRAND FINAL,,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
session_formula_ford_2020_wht_semi_final_2,series_formula_ford,Formula Ford,2020,7,Walter Hayes Trophy 2020,SEMI FINAL 2,,reverse_grid_no_quali_match,Grid does not match any qualifying rank in this event (grid set by a prior race's classification).
