raceSessionId,qualiSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,sourceFamily,sourceTable,qualiRank,qualiFieldSize,grid,start,finish,raceFieldSize,linkageTier,conversionOutcome,qualiToFinish,gridToFinish,sourceHash
session_formula_ford_2020_national_oulton_park_race_1,session_formula_ford_2020_national_oulton_park_qualifying_race_1,series_formula_ford,Formula Ford,2020,1,BRSCC National FF1600 2020 - Oulton Park,RACE 1,1,qualifying_session_result,results.qualifying_session,12,35,12,12,9,34,grid_confirmed,ahead,3,3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_cadwell_race_2,session_formula_ford_2020_champion_cadwell_qualifying_race_2,series_formula_ford,Formula Ford,2020,2,The Champion of Cadwell for FF1600 2020,RACE 2,2,qualifying_session_result,results.qualifying_session,1,16,1,1,3,16,grid_confirmed,behind,-2,-2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_champion_brands_race_5,session_formula_ford_2020_champion_brands_qualifying_race_5,series_formula_ford,Formula Ford,2020,3,Champion of Brands 2020,RACE 5,5,qualifying_session_result,results.qualifying_session,5,26,5,5,3,25,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_national_brands_hatch_race_2,session_formula_ford_2020_national_brands_hatch_qualifying_race_2,series_formula_ford,Formula Ford,2020,4,BRSCC National FF1600 2020 - Brands Hatch,RACE 2,2,qualifying_session_result,results.qualifying_session,1,22,1,1,5,22,grid_confirmed,behind,-4,-4,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_formula_ford_2020_national_silverstone_race_3,session_formula_ford_2020_national_silverstone_qualifying_race_3,series_formula_ford,Formula Ford,2020,5,BRSCC National FF1600 2020 - Silverstone International,RACE 3,3,qualifying_session_result,results.qualifying_session,6,29,6,6,9,28,grid_confirmed,behind,-3,-3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212005_race_1_result,session_gb3_2021_212005_qualifying,series_gb3,GB3 Championship,2021,1,GB3 2021 Round 1 - Brands Hatch,Race 1 Result,1,official_qualifying,qualifyingResults,12,19,12,12,10,19,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212505_race_2_result,session_gb3_2021_212505_qualifying_2nd_fastest,series_gb3,GB3 Championship,2021,2,GB3 2021 Round 2 - Silverstone,Race 2 Result,2,official_qualifying,qualifyingResults,11,16,11,11,11,16,grid_confirmed,held,0,0,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212705_race_1_result,session_gb3_2021_212705_qualifying,series_gb3,GB3 Championship,2021,3,GB3 2021 Round 3 - Donington Park,Race 1 Result,1,official_qualifying,qualifyingResults,12,17,12,12,13,17,grid_confirmed,behind,-1,-1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212705_race_2_result,session_gb3_2021_212705_qualifying,series_gb3,GB3 Championship,2021,3,GB3 2021 Round 3 - Donington Park,Race 2 Result,2,official_qualifying,qualifyingResults,12,17,12,12,11,16,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212905_race_1_result,session_gb3_2021_212905_qualifying_2nd_fastest,series_gb3,GB3 Championship,2021,4,GB3 2021 Round 4 - Spa-Francorchamps,Race 1 Result,1,official_qualifying,qualifyingResults,9,16,9,9,10,16,grid_confirmed,behind,-1,-1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_212905_race_2_result,session_gb3_2021_212905_qualifying_2nd_fastest,series_gb3,GB3 Championship,2021,4,GB3 2021 Round 4 - Spa-Francorchamps,Race 2 Result,2,official_qualifying,qualifyingResults,9,16,9,9,11,16,grid_confirmed,behind,-2,-2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_213105_race_1_result,session_gb3_2021_213105_qualifying,series_gb3,GB3 Championship,2021,5,GB3 2021 Round 5 - Snetterton,Race 1 Result,1,official_qualifying,qualifyingResults,12,18,12,12,11,18,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
