sessionId,eventId,seriesId,seriesName,seasonYear,roundIndex,eventName,sessionName,sourceFamily,sourceTable,qualiRank,qualiFieldSize,role,linkageTier,linkedRaceSessionIds,bestLapTime,gapToPole,provenanceRefs,sourceHash
session_frp_f1600_2019_r1_03_qualifying,event_frp_f1600_2019_r1_road_atlanta,series_frp_f1600,F1600 Championship Series,2019,1,FRP F1600 2019 Round 1 - Road Atlanta,Qualifying,qualifying_session_result,results.qualifying_session,3,18,grid_setting,unconfirmed_no_grid,,1:31.837,,source_frp_f1600_2019_r1_03_qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_frp_f1600_2019_r2_03_qualifying,event_frp_f1600_2019_r2_watkins_glen_international,series_frp_f1600,F1600 Championship Series,2019,2,FRP F1600 2019 Round 2 - Watkins Glen International,Qualifying,qualifying_session_result,results.qualifying_session,8,13,grid_setting,unconfirmed_no_grid,,2:01.250,,source_frp_f1600_2019_r2_03_qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_frp_f1600_2019_r3_03_qualifying,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,series_frp_f1600,F1600 Championship Series,2019,3,FRP F1600 2019 Round 3 - Mid Ohio Sports Car Course,Qualifying,qualifying_session_result,results.qualifying_session,7,20,grid_setting,unconfirmed_no_grid,,1:32.017,,source_frp_f1600_2019_r3_03_qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_frp_f1600_2019_r4_01_qualifying,event_frp_f1600_2019_r4_virginia_international_raceway,series_frp_f1600,F1600 Championship Series,2019,4,FRP F1600 2019 Round 4 - Virginia International Raceway,Qualifying,qualifying_session_result,results.qualifying_session,3,16,grid_setting,unconfirmed_no_grid,,1:59.230,,source_frp_f1600_2019_r4_01_qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_frp_f1600_2019_r6_03_qualifying,event_frp_f1600_2019_r6_summit_point,series_frp_f1600,F1600 Championship Series,2019,6,FRP F1600 2019 Round 6 - Summit Point,Qualifying,qualifying_session_result,results.qualifying_session,3,11,grid_setting,unconfirmed_no_grid,,1:29.457,,source_frp_f1600_2019_r6_03_qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_frp_f1600_2019_r7_03_qualifying,event_frp_f1600_2019_r7_new_jersey_motorsports_park,series_frp_f1600,F1600 Championship Series,2019,7,FRP F1600 2019 Round 7 - New Jersey Motorsports Park,Qualifying,qualifying_session_result,results.qualifying_session,3,15,grid_setting,unconfirmed_no_grid,,1:23.148,,source_frp_f1600_2019_r7_03_qualifying_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_formula_ford_2020_national_oulton_park_qualifying_race_1,event_formula_ford_2020_national_oulton_park,series_formula_ford,Formula Ford,2020,1,BRSCC National FF1600 2020 - Oulton Park,QUALIFYING - RACE 1,qualifying_session_result,results.qualifying_session,12,35,grid_setting,grid_confirmed,session_formula_ford_2020_national_oulton_park_race_1,2:07.645,2.191,source_formula_ford_2020_national_oulton_park_qualifying_race_1_classification,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_formula_ford_2020_champion_cadwell_qualifying_race_2,event_formula_ford_2020_champion_cadwell,series_formula_ford,Formula Ford,2020,2,The Champion of Cadwell for FF1600 2020,QUALIFYING - RACE 2,qualifying_session_result,results.qualifying_session,1,16,grid_setting,grid_confirmed,session_formula_ford_2020_champion_cadwell_race_2,1:32.371,,source_formula_ford_2020_champion_cadwell_qualifying_race_2_classification,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_formula_ford_2020_champion_brands_qualifying_race_5,event_formula_ford_2020_champion_brands,series_formula_ford,Formula Ford,2020,3,Champion of Brands 2020,QUALIFYING - RACE 5,qualifying_session_result,results.qualifying_session,5,26,grid_setting,grid_confirmed,session_formula_ford_2020_champion_brands_race_5,50.913,0.441,source_formula_ford_2020_champion_brands_qualifying_race_5_classification,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_formula_ford_2020_national_brands_hatch_qualifying_race_2,event_formula_ford_2020_national_brands_hatch,series_formula_ford,Formula Ford,2020,4,BRSCC National FF1600 2020 - Brands Hatch,QUALIFYING - RACE 2,qualifying_session_result,results.qualifying_session,1,22,grid_setting,grid_confirmed,session_formula_ford_2020_national_brands_hatch_race_2,50.136,,source_formula_ford_2020_national_brands_hatch_qualifying_race_2_classification,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
