sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,restartCount,cautionPeriods,bryceRestartsCounted,bryceNet,bryceGained,bryceHeld,bryceSlipped,bryceRankInField,fieldSizeRanked,fieldMedianNet,bryceBeatFieldTypical,soleBestInField,coBestInField,coverageNote,sourceHash
session_indy_nxt_2024_6314,2024,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,1,2,1,0,0,1,0,6,21,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6315,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,2,2,1,1,1,0,6,20,0.0,true,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,3,3,3,1,2,0,1,6,21,1.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6317,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,1,0,0,1,0,4,20,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6318,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,1,1,1,1,1,0,0,1,19,0.0,true,false,true,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6319,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,1,2,1,1,1,0,0,4,16,0.0,true,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6320,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,world_wide_technology_raceway,3,3,3,2,2,0,1,2,16,0.0,true,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6321,2024,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,1,1,0,0,1,0,3,16,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6322,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,1,1,1,1,0,0,1,15,0.0,true,false,true,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6323,2024,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,1,1,0,0,1,0,2,15,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6324,2024,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,2,0,0,0,0,0,,18,0.0,false,false,false,bryce_partial_restart_coverage,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6325,2024,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,0,0,0,0,0,0,0,,0,,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,3,4,0,0,0,0,0,,19,0.0,false,false,false,bryce_partial_restart_coverage,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6327,2024,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,1,0,0,1,0,5,20,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6442,2025,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,1,0,0,1,0,4,17,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6443,2025,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,1,1,0,0,1,0,7,21,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6444,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,2,2,0,0,2,0,5,20,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6445,2025,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,2,2,2,0,0,2,0,5,20,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,3,4,3,0,0,3,0,6,20,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6447,2025,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,1,1,0,0,1,0,7,17,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6448,2025,INDY NXT by Firestone at the Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,1,1,2,1,0,0,1,16,0.0,true,true,true,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6449,2025,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,1,0,0,0,0,0,,18,0.0,false,false,false,bryce_absent_from_lap_chart,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
