venueSlug,trackName,trackType,seasons,races,restarts,bryceRestartsCounted,bryceNet,bryceGained,bryceHeld,bryceSlipped,avgBryceNetPerRestart,fieldAvgNetPerRestart,sourceHash
barber_motorsports_park,Barber Motorsports Park,road,2024;2025;2026,3,5,5,-2,1,3,1,-0.4,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,road,2024;2025;2026,4,6,6,4,2,4,0,0.667,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
iowa_speedway,Iowa Speedway,oval,2024;2025,2,3,3,1,1,2,0,0.333,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
mid_ohio,Mid-Ohio Sports Car Course,road,2024;2025;2026,3,5,5,1,1,4,0,0.2,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
nashville_superspeedway,Nashville Superspeedway,oval,2024;2025;2026,3,4,4,-1,0,3,1,-0.25,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
portland_international_raceway,Portland International Raceway,road,2024;2025;2026,3,3,2,0,0,2,0,0.0,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
road_america,Road America,road,2024;2025;2026,3,8,8,-1,3,3,2,-0.125,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
streets_of_arlington,Streets of Arlington,street,2026,1,2,2,-1,0,1,1,-0.5,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
streets_of_detroit,Streets of Detroit,street,2024;2025;2026,3,8,4,1,1,3,0,0.25,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
streets_of_st_petersburg,Streets of St. Petersburg,street,2024;2025;2026,3,9,7,-4,0,4,3,-0.571,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
the_milwaukee_mile,The Milwaukee Mile,oval,2024;2025;2026,3,6,6,5,4,1,1,0.833,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,road,2024;2025;2026,6,11,7,0,0,7,0,0.0,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
world_wide_technology_raceway,World Wide Technology Raceway,oval,2024;2025;2026,2,6,3,2,2,0,1,0.667,0.0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
