sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,restartIndex,cautionNumbers,cautionReasons,totalLaps,baselineLap,restartLap,windowLaps,windowEndLap,fullWindow,truncated,truncateReason,fieldClassified,fieldNetMedian,fieldNetBest,bryceClassified,bryceBaselinePosition,bryceRestartPosition,bryceEndPosition,bryceNet,bryceRankInField,bryceFieldSizeRanked,sourceHash
session_indy_nxt_2024_6314,2024,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,1,1,Off Course: Car 22 in Turn 14,35,5,6,2,7,true,false,,21,0.0,1,true,5,5,5,0,6,21,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,1,Off Course: Car 22 in Turn 4,35,25,26,2,27,true,false,,20,0.0,4,true,16,16,15,1,7,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6315,2024,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,2,Contact: Car 21 in Turn 7,35,31,32,2,33,true,false,,18,0.0,2,true,14,14,14,0,5,18,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,1,1,Contact: Cars 29 and 39 in Turn 7,20,4,5,2,6,true,false,,21,0.0,3,true,6,6,5,1,3,21,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,2,2,Off Course: Car 2 in Turn 14,20,10,11,2,12,true,false,,20,0.0,1,true,6,6,7,-1,16,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6316,2024,Grand Prix at Road America,Road America,road,road_america,3,3,Contact: Car 21 and 99 in Turn 1,20,16,17,2,18,true,false,,18,1.0,3,true,7,7,6,1,8,18,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6317,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,Contact: Car 10 in Turn 5,35,7,8,2,9,true,false,,20,0.0,2,true,7,7,7,0,4,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6318,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,1,1,"Contact: Cars 21, 27, 28 and 40 in Turn 4",35,3,4,2,5,true,false,,19,0.0,1,true,19,19,18,1,1,19,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6319,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,1,1,Contact: Cars 18 and 99 in Turn 2,55,38,39,2,40,true,false,,16,0.0,2,true,9,9,8,1,4,16,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6320,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,world_wide_technology_raceway,1,1,Contact: Car 99 in Turn 2,75,5,6,2,7,true,false,,16,0.0,2,true,12,12,10,2,1,16,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
