venueSlug,trackName,trackType,seasons,spanFirstSeason,spanLastSeason,restarts,driverObservations,meanAbsoluteFieldMove,medianFieldMove,stable,sourceHash
weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,road,2024;2025;2026,2024,2026,11,212,0.745,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
streets_of_st_petersburg,Streets of St. Petersburg,street,2024;2025;2026,2024,2026,9,180,0.322,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
road_america,Road America,road,2024;2026,2024,2026,8,168,0.845,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
streets_of_detroit,Streets of Detroit,street,2024;2025;2026,2024,2026,8,149,0.604,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,road,2024;2025;2026,2024,2026,6,120,1.117,1.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
the_milwaukee_mile,The Milwaukee Mile,oval,2024;2025;2026,2024,2026,6,113,0.549,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
world_wide_technology_raceway,World Wide Technology Raceway,oval,2024;2026,2024,2026,6,107,0.636,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
barber_motorsports_park,Barber Motorsports Park,road,2024;2025;2026,2024,2026,5,106,0.698,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
mid_ohio,Mid-Ohio Sports Car Course,road,2024;2025;2026,2024,2026,5,106,0.283,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
nashville_superspeedway,Nashville Superspeedway,oval,2024;2025;2026,2024,2026,4,74,0.541,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
iowa_speedway,Iowa Speedway,oval,2024;2025,2024,2025,3,54,0.704,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
portland_international_raceway,Portland International Raceway,road,2024;2025;2026,2024,2026,3,58,1.034,0.0,true,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
streets_of_arlington,Streets of Arlington,street,2026,2026,2026,2,45,1.244,0.0,false,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
